method,best_truncation_ratio,best_accuracy,best_macro_f1,full_accuracy,full_macro_f1,accuracy_gain_over_full,macro_f1_gain_over_full
p8_refdiag_q_power_t42_r42,0.7,0.702,0.6458550695160208,0.5899,0.5427934256656063,0.11209999999999998,0.1030616438504145
p8_strong_q_power_t42_r42,0.8,0.7551,0.7221851920348612,0.6442,0.6165130633212306,0.1109,0.10567212871363063
p8_freeze_q_power_t42_r42,0.9,0.7523,0.7441270159896767,0.7174,0.7112198612747388,0.03489999999999993,0.03290715471493788
