method,checkpoint,retained_rank_ratio,accuracy,average_loss,macro_f1,mcc,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.1,0.2001,2.2541645233154295,0.06649290480684847,0.14622147619815867,0.0,0.0,0.9660852713178295,0.994059405940594,0.0,0.0,0.0,0.0,0.0,0.0
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.2,0.4609,1.290508211326599,0.4112729574743156,0.4309778673117857,0.14081632653061224,0.7515418502202643,0.4689922480620155,0.6574257425742575,0.9490835030549898,0.8576233183856502,0.0,0.1566147859922179,0.07392197125256673,0.535183349851338
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.3,0.5738,1.1445735708236695,0.531271806681916,0.5443338992482016,0.9459183673469388,0.9506607929515418,0.250968992248062,0.7247524752475247,0.3696537678207739,0.15695067264573992,0.24843423799582465,0.20136186770428016,0.8429158110882957,0.9633300297324083
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.4,0.6421,1.0948186630249024,0.5973684978625936,0.6128949514666281,0.9887755102040816,0.9682819383259912,0.21124031007751937,0.7247524752475247,0.46334012219959264,0.07511210762331838,0.49164926931106473,0.6760700389105059,0.7833675564681725,0.9435084241823588
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.5,0.6814,1.068345767211914,0.6274468224360326,0.6541644193526424,0.9816326530612245,0.9700440528634361,0.18023255813953487,0.7504950495049505,0.5610997963340122,0.03811659192825112,0.6941544885177453,0.8521400778210116,0.7813141683778234,0.9117938553022795
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.6,0.6838,1.0634686866760255,0.6283939316450172,0.6568356624770532,0.9857142857142858,0.9682819383259912,0.17732558139534885,0.7574257425742574,0.6364562118126272,0.0257847533632287,0.6617954070981211,0.8463035019455253,0.7813141683778234,0.9038652130822596
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.7,0.702,1.0406506132125855,0.6458550695160208,0.6770048667346772,0.9806122448979592,0.9674008810572687,0.19476744186046513,0.801980198019802,0.8574338085539714,0.01905829596412556,0.6315240083507306,0.9182879377431906,0.8121149897330595,0.7443012884043607
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.8,0.6735,1.0439896949768066,0.6203300724400107,0.6477809974172091,0.9540816326530612,0.9621145374449339,0.25193798449612403,0.7306930693069307,0.8472505091649695,0.007847533632286996,0.6043841336116911,0.9659533073929961,0.8757700205338809,0.44202180376610506
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,0.9,0.6697,0.9862608322143555,0.6289262621086374,0.639637831195375,0.8775510204081632,0.9885462555066079,0.4428294573643411,0.6821782178217822,0.8289205702647657,0.04820627802690583,0.615866388308977,0.933852140077821,0.7772073921971252,0.40138751238850345
p8_refdiag_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p8_refdiag_qpower050_t42_r42_-train-20260716_143716-57927643607dd96d-round0030.pt,1.0,0.5899,1.2060141586303712,0.5427934256656063,0.5671599350579546,0.4602040816326531,0.9779735682819384,0.2054263565891473,0.0009900990099009901,0.7535641547861507,0.9114349775784754,0.9832985386221295,0.9105058365758755,0.4024640657084189,0.2993062438057483
