rank,linear_layers_replaced,embedding_layers_replaced,total_layers_replaced,base_parameters,lora_parameters,total_parameters,base_weight_size_mb_fp32,lora_adapter_size_mb_fp32,total_weight_size_mb_fp32,trainable_parameters_lora_only,increase_vs_rank_1,lora_percent_of_total
32,146,3,149,355361794,15977408,371339202,1421.447176,63.909632,1485.356808,15977408,15478114,4.302645
33,146,3,149,355361794,16476702,371838496,1421.447176,65.906808,1487.353984,16476702,15977408,4.431145
34,146,3,149,355361794,16975996,372337790,1421.447176,67.903984,1489.35116,16975996,16476702,4.5593
35,146,3,149,355361794,17475290,372837084,1421.447176,69.90116,1491.348336,17475290,16975996,4.687112
36,146,3,149,355361794,17974584,373336378,1421.447176,71.898336,1493.345512,17974584,17475290,4.814581
37,146,3,149,355361794,18473878,373835672,1421.447176,73.895512,1495.342688,18473878,17974584,4.941711
38,146,3,149,355361794,18973172,374334966,1421.447176,75.892688,1497.339864,18973172,18473878,5.068501
39,146,3,149,355361794,19472466,374834260,1421.447176,77.889864,1499.33704,19472466,18973172,5.194954
40,146,3,149,355361794,19971760,375333554,1421.447176,79.88704,1501.334216,19971760,19472466,5.32107
41,146,3,149,355361794,20471054,375832848,1421.447176,81.884216,1503.331392,20471054,19971760,5.446851
42,146,3,149,355361794,20970348,376332142,1421.447176,83.881392,1505.328568,20970348,20471054,5.572298
43,146,3,149,355361794,21469642,376831436,1421.447176,85.878568,1507.325744,21469642,20970348,5.697413
44,146,3,149,355361794,21968936,377330730,1421.447176,87.875744,1509.32292,21968936,21469642,5.822196
45,146,3,149,355361794,22468230,377830024,1421.447176,89.87292,1511.320096,22468230,21968936,5.94665
46,146,3,149,355361794,22967524,378329318,1421.447176,91.870096,1513.317272,22967524,22468230,6.070776
47,146,3,149,355361794,23466818,378828612,1421.447176,93.867272,1515.314448,23466818,22967524,6.194574
48,146,3,149,355361794,23966112,379327906,1421.447176,95.864448,1517.311624,23966112,23466818,6.318046
49,146,3,149,355361794,24465406,379827200,1421.447176,97.861624,1519.3088,24465406,23966112,6.441194
50,146,3,149,355361794,24964700,380326494,1421.447176,99.8588,1521.305976,24964700,24465406,6.564018
51,146,3,149,355361794,25463994,380825788,1421.447176,101.855976,1523.303152,25463994,24964700,6.68652
