"category","dataset","distribution","rank_distribution","method","source_file","archive_relative_path","sha256","copy_verified"
"cost_matched","mnist","alpha_0_4","mismatch","sp","mnist_dirichlet_0_4_rank_mismatch_cost_matched_sp_-train-20260730_165635-ba7561fbf3b28fc0.csv","03_cost_matched\alpha_0_4\mnist\mismatch\mnist_dirichlet_0_4_rank_mismatch_cost_matched_sp_-train-20260730_165635-ba7561fbf3b28fc0.csv","4A019CCBBA471136110CE8F8DC8D5ADFA32DFACC84706436B5C9597DE743950A","True"
"cost_matched","mnist","alpha_0_4","mismatch","zeropadding","mnist_dirichlet_0_4_rank_mismatch_cost_matched_zeropadding_-train-20260730_171812-6293983665512142.csv","03_cost_matched\alpha_0_4\mnist\mismatch\mnist_dirichlet_0_4_rank_mismatch_cost_matched_zeropadding_-train-20260730_171812-6293983665512142.csv","18C93CA2E78F10312FFC445B21D01ED9693413BD971F9FE4BA1BD222CC8EB8D9","True"
"cost_matched","qmnist","alpha_0_4","mismatch","rbla","qmnist_dirichlet_0_4_rank_mismatch_cost_matched_rbla_-train-20260730_173944-3d9c72140cc96bfa.csv","03_cost_matched\alpha_0_4\qmnist\mismatch\qmnist_dirichlet_0_4_rank_mismatch_cost_matched_rbla_-train-20260730_173944-3d9c72140cc96bfa.csv","A4515AEFA225C18BB13796F1E9BAAB3020642B56D77129D8B476878D1399DF8F","True"
"cost_matched","qmnist","alpha_0_4","mismatch","rbla_plus","qmnist_dirichlet_0_4_rank_mismatch_cost_matched_rbla_plus_-train-20260730_181340-3088cb4a781db594.csv","03_cost_matched\alpha_0_4\qmnist\mismatch\qmnist_dirichlet_0_4_rank_mismatch_cost_matched_rbla_plus_-train-20260730_181340-3088cb4a781db594.csv","8DB075F320D7AFB69125DFF4295E17C3ED9AD0ECFFED1A983F2366660D14263A","True"
"cost_matched","qmnist","alpha_0_4","mismatch","sp","qmnist_dirichlet_0_4_rank_mismatch_cost_matched_sp_-train-20260730_184721-2800b9a8e37676e1.csv","03_cost_matched\alpha_0_4\qmnist\mismatch\qmnist_dirichlet_0_4_rank_mismatch_cost_matched_sp_-train-20260730_184721-2800b9a8e37676e1.csv","197502E6CD2F1E4394549FA5DFD4F6B6ADE88F4B0A25EDF33E3D995FB6FFDA73","True"
"cost_matched","qmnist","alpha_0_4","mismatch","zeropadding","qmnist_dirichlet_0_4_rank_mismatch_cost_matched_zeropadding_-train-20260730_192105-8c33a011744fac44.csv","03_cost_matched\alpha_0_4\qmnist\mismatch\qmnist_dirichlet_0_4_rank_mismatch_cost_matched_zeropadding_-train-20260730_192105-8c33a011744fac44.csv","9616B0697C4A75FEC111AC42AA3C7406C7A17D66ED6085B275372FD5B80E719F","True"
"dirichlet_main","fmnist","alpha_0_1","correct","rbla","fmnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_025357-7b96fb037f66b60c.csv","01_dirichlet_main\alpha_0_1\fmnist\correct\fmnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_025357-7b96fb037f66b60c.csv","C9A6A240AB13204D46A17E0C2930B819699BA3B8869B648DB594FB32ED73712B","True"
"dirichlet_main","fmnist","alpha_0_1","correct","rbla_plus","fmnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_031532-f9d42e4221f96ca8.csv","01_dirichlet_main\alpha_0_1\fmnist\correct\fmnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_031532-f9d42e4221f96ca8.csv","23AA257A7BD696BAC74D923578781120DF1298A6A1CD0CAE87153BFC5E73557D","True"
"dirichlet_main","fmnist","alpha_0_1","correct","sp","fmnist_dirichlet_0_1_rank_correct_sp_-train-20260731_033648-72a8b48f1539a6b1.csv","01_dirichlet_main\alpha_0_1\fmnist\correct\fmnist_dirichlet_0_1_rank_correct_sp_-train-20260731_033648-72a8b48f1539a6b1.csv","F0538D7FA0ADEC9DEAD698FCCF9AAF0637505E648220F222B339C819E0B81D2D","True"
"dirichlet_main","fmnist","alpha_0_1","correct","zeropadding","fmnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_035827-b36c44e99e133b09.csv","01_dirichlet_main\alpha_0_1\fmnist\correct\fmnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_035827-b36c44e99e133b09.csv","191A5856BE9CA69DACEFE6ECC0DE41EB5E48782ED9FC6C40FF1A583C968D34D5","True"
"dirichlet_main","fmnist","alpha_0_1","medium","rbla","fmnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_113006-6deecabc62be7d57.csv","01_dirichlet_main\alpha_0_1\fmnist\medium\fmnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_113006-6deecabc62be7d57.csv","884F32601CAB691E1985C322A8CA0C05D1B24AEECC4AE0385F3EFB1DF2FA3482","True"
"dirichlet_main","fmnist","alpha_0_1","medium","rbla_plus","fmnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_115133-818efdadea0629d8.csv","01_dirichlet_main\alpha_0_1\fmnist\medium\fmnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_115133-818efdadea0629d8.csv","A9EED6FA0E95B28430A2C176D7E7E4B77796975A9932E18BC492C78860A34A17","True"
"dirichlet_main","fmnist","alpha_0_1","medium","sp","fmnist_dirichlet_0_1_rank_medium_sp_-train-20260731_121302-e71c4129dcacbac8.csv","01_dirichlet_main\alpha_0_1\fmnist\medium\fmnist_dirichlet_0_1_rank_medium_sp_-train-20260731_121302-e71c4129dcacbac8.csv","D67D15F8943A2699BCBF0271F9BA0A4BB33E55CCA8F3939C391A480D671CA675","True"
"dirichlet_main","fmnist","alpha_0_1","medium","zeropadding","fmnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_123430-fd7b5402e0eb83fd.csv","01_dirichlet_main\alpha_0_1\fmnist\medium\fmnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_123430-fd7b5402e0eb83fd.csv","F785378BAB677352E3C752534486DF7900B5FEB8BF1AA4B98BB7E18FCD5C77EA","True"
"dirichlet_main","fmnist","alpha_0_1","mismatch","rbla","fmnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_200616-df80cd095ef9afb2.csv","01_dirichlet_main\alpha_0_1\fmnist\mismatch\fmnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_200616-df80cd095ef9afb2.csv","EE6F35E8518AC2A9E8B267DCE2446CF23C34743BDC03599F7661B2D4E01DB928","True"
"dirichlet_main","fmnist","alpha_0_1","mismatch","rbla_plus","fmnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_202742-3af29c8930266756.csv","01_dirichlet_main\alpha_0_1\fmnist\mismatch\fmnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_202742-3af29c8930266756.csv","71448ACAAD5AE8E9F274699FE136FFCE02F348263905EA77362558F0BEC9A2B0","True"
"dirichlet_main","fmnist","alpha_0_1","mismatch","sp","fmnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_204904-0e92f4230759eefe.csv","01_dirichlet_main\alpha_0_1\fmnist\mismatch\fmnist_dirichlet_0_1_rank_mismatch_sp_-train-20260731_204904-0e92f4230759eefe.csv","275E1C304F434E31F54720E796C15D91BF74D244D77450393D7C6E9854A78FE2","True"
"dirichlet_main","fmnist","alpha_0_1","mismatch","zeropadding","fmnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260731_211029-0c820ae00fe2cefa.csv","01_dirichlet_main\alpha_0_1\fmnist\mismatch\fmnist_dirichlet_0_1_rank_mismatch_zeropadding_-train-20260731_211029-0c820ae00fe2cefa.csv","15B43F57B5228B2F7CB69336E4BE853DA3DFD0478C936572EB0DD711E64CE740","True"
"dirichlet_main","kmnist","alpha_0_1","correct","rbla","kmnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_041952-de6df34004bcc353.csv","01_dirichlet_main\alpha_0_1\kmnist\correct\kmnist_dirichlet_0_1_rank_correct_rbla_-train-20260731_041952-de6df34004bcc353.csv","1C5AC326BA9B63206FDD51E47F13A9CC8437F331B08FE416E6A8B215B9A370B2","True"
"dirichlet_main","kmnist","alpha_0_1","correct","rbla_plus","kmnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_044122-d094724e293ab2f2.csv","01_dirichlet_main\alpha_0_1\kmnist\correct\kmnist_dirichlet_0_1_rank_correct_rbla_plus_-train-20260731_044122-d094724e293ab2f2.csv","7D1F4773C8195EC74E74272E0545DC3125FF5DFFCB343E50627806A4727507B8","True"
"dirichlet_main","kmnist","alpha_0_1","correct","sp","kmnist_dirichlet_0_1_rank_correct_sp_-train-20260731_050258-8f5725966d7c6781.csv","01_dirichlet_main\alpha_0_1\kmnist\correct\kmnist_dirichlet_0_1_rank_correct_sp_-train-20260731_050258-8f5725966d7c6781.csv","CEA9C5D4D4D53183E7D0389BBDD94404BB70C8078ABF70DCBA2E58E1C2917F80","True"
"dirichlet_main","kmnist","alpha_0_1","correct","zeropadding","kmnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_052437-729fb1b884292b66.csv","01_dirichlet_main\alpha_0_1\kmnist\correct\kmnist_dirichlet_0_1_rank_correct_zeropadding_-train-20260731_052437-729fb1b884292b66.csv","E3D60CBA8FC4116E32F7DE4A1B8A7D5E53597888D010B0B15896D37CF759130D","True"
"dirichlet_main","kmnist","alpha_0_1","medium","rbla","kmnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_125555-87f93bcce5f575c1.csv","01_dirichlet_main\alpha_0_1\kmnist\medium\kmnist_dirichlet_0_1_rank_medium_rbla_-train-20260731_125555-87f93bcce5f575c1.csv","1957A6B9CE6C11E23866B4A4EBB180F3D280AAD8F1D8569F7E795B089F0AF1E2","True"
"dirichlet_main","kmnist","alpha_0_1","medium","rbla_plus","kmnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_131721-c16a5c700d39365c.csv","01_dirichlet_main\alpha_0_1\kmnist\medium\kmnist_dirichlet_0_1_rank_medium_rbla_plus_-train-20260731_131721-c16a5c700d39365c.csv","28AAD0259CA6DF6F5F520CE6CDDD8D11650902FB0D3FCDC16705A821E7BC0110","True"
"dirichlet_main","kmnist","alpha_0_1","medium","sp","kmnist_dirichlet_0_1_rank_medium_sp_-train-20260731_133855-1bd5c9e0b17a6ffc.csv","01_dirichlet_main\alpha_0_1\kmnist\medium\kmnist_dirichlet_0_1_rank_medium_sp_-train-20260731_133855-1bd5c9e0b17a6ffc.csv","5C936C5DAD96AE94DDEF95A6AC383435762C2D557779F6672A27B16DC7D7BB96","True"
"dirichlet_main","kmnist","alpha_0_1","medium","zeropadding","kmnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_140027-6e1152c9e0882205.csv","01_dirichlet_main\alpha_0_1\kmnist\medium\kmnist_dirichlet_0_1_rank_medium_zeropadding_-train-20260731_140027-6e1152c9e0882205.csv","5378816CDCBE83DB9CF87C5A4E98C34B6E2170DA2B80D84D512C30AA9E83AC83","True"
"dirichlet_main","kmnist","alpha_0_1","mismatch","rbla","kmnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_213157-1b90e78c289da363.csv","01_dirichlet_main\alpha_0_1\kmnist\mismatch\kmnist_dirichlet_0_1_rank_mismatch_rbla_-train-20260731_213157-1b90e78c289da363.csv","8C1AC57E12B27D75E48972F7AF9F26A4B85B21CD7EB3DE83C10953EF7D9C51EF","True"
"dirichlet_main","kmnist","alpha_0_1","mismatch","rbla_plus","kmnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_215328-b2e99a412db3710c.csv","01_dirichlet_main\alpha_0_1\kmnist\mismatch\kmnist_dirichlet_0_1_rank_mismatch_rbla_plus_-train-20260731_215328-b2e99a412db3710c.csv","72259019B3FBF9431406C19A15F9E5A7DF7C6D71DF250C9F9CDF803959A160B2","True"
