Config,{"general": {"device": "cpu", "training_rounds": 60}, "aggregation": "sp", "rank_distribution": "[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]", "epoch": 5, "dataset": "kmnist", "batch_size": 64, "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "random", "round": 1, "number": 10, "random_seed": 42}}

accuracy,average_loss,precision,recall,f1_score,total_test_samples
0.109,2.3026341537475585,0.06782850544357759,0.10900000000000001,0.052902355485965155,10000
0.1,3.330779328918457,0.01,0.1,0.01818181818181818,10000
0.1002,3.1848758155822754,0.11000400160064025,0.10019999999999998,0.01858763375395444,10000
0.1,5.401382359313965,0.01,0.1,0.01818181818181818,10000
0.1,2.968424987411499,0.059995997598559135,0.1,0.01837315000706246,10000
0.1,3.5274598987579346,0.013099992960613099,0.1,0.018837850690126265,10000
0.1002,3.781040874481201,0.05000500250125063,0.1002,0.01858809635315917,10000
0.1,8.800264688110351,0.01,0.1,0.01818181818181818,10000
0.1003,3.6179271476745605,0.10167367157009906,0.10029999999999999,0.018791402573808867,10000
0.1005,3.0964154781341553,0.012707938713199893,0.10049999999999999,0.019539358120450816,10000
0.1113,3.1731036460876463,0.04506876787462878,0.1113,0.04904757688203046,10000
0.1168,3.8448843212127684,0.020957810197362106,0.11679999999999999,0.03394884500545118,10000
0.0997,3.278270532989502,0.012090776210789316,0.0997,0.020293830963510503,10000
0.0818,3.0085413486480714,0.026888590161416027,0.08180000000000001,0.031471170187887774,10000
0.1116,3.790315266036987,0.025167691466155256,0.11159999999999999,0.039645109456260694,10000
0.1,3.8449708740234376,0.01,0.1,0.01818181818181818,10000
0.1718,3.49233095703125,0.04105814828038805,0.1718,0.06389039859532955,10000
0.1223,2.92168172416687,0.04812340762331763,0.1223,0.05190331065799232,10000
0.122,2.3863134338378904,0.12659769120490674,0.122,0.06176677658533973,10000
0.1075,3.407595949935913,0.1029425750848461,0.1075,0.031516239198443784,10000
0.1,3.2544462371826173,0.010003000900270082,0.1,0.018186778212239702,10000
0.1397,3.3550599685668945,0.07121138832190035,0.1397,0.06740056295364241,10000
0.1289,3.266768221664429,0.0244675332013242,0.12890000000000001,0.0407771460637138,10000
0.1331,2.332924324798584,0.0968191821557669,0.1331,0.06972329815723388,10000
0.1011,3.4103459251403807,0.040330813825399395,0.1011,0.023606398883013628,10000
0.1176,4.188636087036133,0.10671310537513749,0.1176,0.04608730132582107,10000
0.1018,3.408054002380371,0.023136013340333383,0.10179999999999997,0.022165397281956066,10000
0.1294,3.0151451930999755,0.1468651490488813,0.12940000000000002,0.06579157879260353,10000
0.1075,2.4841940979003905,0.10240501284601189,0.1075,0.03644224334972068,10000
0.1155,3.2734468376159667,0.06928727018194347,0.1155,0.042982876743644205,10000
0.1269,2.9663303215026855,0.025429507274306918,0.12689999999999999,0.04004358596083095,10000
0.1552,3.0841146083831785,0.045667143300295775,0.15519999999999998,0.06257867316956078,10000
0.189,3.1495952560424803,0.07763630101518626,0.189,0.10773649696937401,10000
0.1534,2.6691032054901123,0.058616810448817655,0.15339999999999998,0.0724624236381051,10000
0.122,2.473817481613159,0.08238020647287495,0.122,0.04714486953223385,10000
0.1001,5.442477751922607,0.012990417752871422,0.1001,0.018456595910709687,10000
0.0986,3.708280196762085,0.020180304222397062,0.0986,0.02066724173735244,10000
0.2086,2.9316913917541503,0.14392620806984688,0.20859999999999998,0.1454178768508228,10000
0.0929,2.8630025035858155,0.10016787837399684,0.0929,0.04189558924384292,10000
0.1224,3.736589588165283,0.07071569322449175,0.1224,0.06646248965508841,10000
0.0925,4.420755222702026,0.04920469877663246,0.0925,0.027711266339291312,10000
0.1132,3.807069086456299,0.15629253879582147,0.11320000000000001,0.04269881350206185,10000
0.0995,3.3202998851776124,0.029888228778572147,0.0995,0.020408563662031958,10000
0.1195,2.9125666854858396,0.03874548339655891,0.11950000000000001,0.05055948960782747,10000
0.1563,2.2512966121673585,0.1300591752722628,0.15630000000000002,0.09178535761897133,10000
0.1272,2.8427510307312014,0.04173698183821574,0.1272,0.04933122699411791,10000
0.1616,2.5674459499359132,0.12045924681758488,0.16160000000000002,0.09592059363566274,10000
0.1309,3.240935327529907,0.2048229656779732,0.1309,0.05405333244341901,10000
0.1164,3.259896237182617,0.047446257403186386,0.11639999999999999,0.04465477356652446,10000
0.1128,3.6136185859680174,0.05456004954208128,0.11279999999999998,0.04068845529925066,10000
0.1049,3.2195736568450926,0.09826085968591146,0.1049,0.02952275304119259,10000
0.1411,4.04529333114624,0.061736002319627725,0.1411,0.059093889526731745,10000
0.1966,2.422734600067139,0.17477423479545368,0.1966,0.10157738002242404,10000
0.1558,3.5821115280151368,0.09954937277492049,0.1558,0.08979432010495765,10000
0.2122,2.0755718656539917,0.25037819786900817,0.21219999999999994,0.14253070591028555,10000
0.1057,4.549518551635742,0.033911426474541165,0.10569999999999999,0.027763339226493,10000
0.1852,3.140179661178589,0.10077120803067245,0.18519999999999998,0.09156600417578017,10000
0.1505,2.9298037425994874,0.0952344359714852,0.15050000000000002,0.07597134466083003,10000
0.1436,3.1117924953460694,0.13282694303814865,0.14359999999999998,0.04966872536685978,10000
0.2001,2.765398717880249,0.15675683743685687,0.2001,0.1160518609383721,10000
0.1634,3.1438295749664307,0.1494256697813095,0.1634,0.08041606981068201,10000
