Config,{"general": {"device": "cpu", "training_rounds": 300}, "aggregation": "sp", "rank_distribution": "[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]", "epoch": 1, "dataset": "kmnist", "batch_size": 64, "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "random", "round": 1, "number": 10, "random_seed": 42}}

accuracy,average_loss,precision,recall,f1_score,total_test_samples
0.0965,2.30496863861084,0.0490066320527557,0.0965,0.052571551973346696,10000
0.1001,3.1099498363494873,0.02177272030831968,0.1001,0.01858672106156727,10000
0.0997,2.7889011127471925,0.009974987493746873,0.0997,0.018135516143701683,10000
0.1,8.386662059020995,0.01,0.1,0.01818181818181818,10000
0.0953,3.6413383892059326,0.014753555031468482,0.0953,0.018476959372147335,10000
0.1,4.413151266860962,0.01000100010001,0.1,0.018183471224656786,10000
0.1247,3.8687743907928467,0.046791781508066004,0.12469999999999999,0.04813559651729997,10000
0.1398,3.9240860118865966,0.13808950621174115,0.1398,0.06808354512803008,10000
0.1324,2.5906910022735596,0.02619525203780852,0.13240000000000002,0.04315524666035418,10000
0.1002,5.410842189788818,0.012465663958201272,0.1002,0.018690733261308427,10000
0.0992,2.8115467124938966,0.011721196786595878,0.0992,0.01830124984967689,10000
0.1,8.192864096069336,0.01,0.1,0.01818181818181818,10000
0.1147,2.788659077835083,0.04463961662959046,0.1147,0.04133502200745394,10000
0.1,6.336663756561279,0.01,0.1,0.01818181818181818,10000
0.1,4.8515778861999515,0.01,0.1,0.01818181818181818,10000
0.1298,3.015092685317993,0.05820931553493256,0.1298,0.06146903813884237,10000
0.101,3.1353220817565917,0.025139093328275457,0.101,0.02024381258185145,10000
0.1041,2.8698667640686035,0.08889943624285637,0.1041,0.026064522425888158,10000
0.1,3.02559546585083,0.010003000900270082,0.1,0.018186778212239702,10000
0.1198,3.4767081256866454,0.08316521027810356,0.11979999999999999,0.0498923627737052,10000
0.1134,2.5640362060546873,0.11482606895569118,0.11339999999999999,0.056252762773328205,10000
0.1,3.8394294536590574,0.01000100010001,0.1,0.018183471224656786,10000
0.1034,2.623578763961792,0.11420260173090362,0.1034,0.04285952948507684,10000
0.1884,4.4571017723083495,0.05132209662891676,0.18839999999999998,0.07677273403983013,10000
0.0998,3.230627924346924,0.01002410606669345,0.0998,0.018218327856882075,10000
0.1339,3.1688707958221434,0.03990755502663328,0.1339,0.05138457598181896,10000
0.1209,2.624198874282837,0.058047156863382375,0.12090000000000001,0.04148813076535309,10000
0.1,3.71012841796875,0.01,0.1,0.01818181818181818,10000
0.0995,2.8214514930725096,0.16283788920579284,0.0995,0.05099045883741726,10000
0.1008,3.921776654434204,0.014993185392276778,0.1008,0.02074160141449861,10000
0.1003,3.911164879608154,0.02876602564102564,0.10029999999999999,0.01879885416726405,10000
0.1,4.5669306327819825,0.010030090270812437,0.1,0.018231540565177756,10000
0.1287,3.3040291580200196,0.055587041816043604,0.1287,0.05590047313163763,10000
0.1046,3.0117050174713134,0.17569346556584778,0.1046,0.02698646360501338,10000
0.1894,2.783842823791504,0.06913029437597244,0.1894,0.07873892313489392,10000
0.1093,3.006953774642944,0.03667692268990221,0.1093,0.03211428401886261,10000
0.1,3.8965377746582033,0.01,0.1,0.01818181818181818,10000
0.1,4.986570038604737,0.010003000900270082,0.1,0.018186778212239702,10000
0.1082,4.574350191879272,0.030338586870215546,0.1082,0.030610294434665446,10000
0.1213,4.65090470237732,0.09677078088733196,0.12129999999999999,0.052576129605091726,10000
0.1421,3.3212918468475343,0.030622055968333485,0.14209999999999998,0.049922636728626825,10000
0.1595,3.0911320796966555,0.06024801557513376,0.15950000000000003,0.0759423696298446,10000
0.1503,3.075780545806885,0.06991486559155072,0.15030000000000002,0.05527895901543407,10000
0.1445,2.756450806427002,0.09792138024207074,0.14450000000000002,0.0874781573390607,10000
0.1016,2.7199651821136475,0.04176471579231106,0.1016,0.02155969055294646,10000
0.1207,2.9346478271484373,0.07272821732175393,0.12069999999999999,0.04975101762792676,10000
0.1399,2.7486341831207275,0.035709680309590174,0.1399,0.05247760798085681,10000
0.1356,2.8027138790130617,0.050968597885317636,0.1356,0.05098777515688287,10000
0.1362,2.7946674194335936,0.0934974029319328,0.13620000000000002,0.04516894961411062,10000
0.1001,3.51355830078125,0.11000100010000999,0.1001,0.018383271424456983,10000
0.1046,4.1563321914672855,0.024973860756413814,0.1046,0.025717599180252914,10000
0.1005,5.115136898803711,0.08143557633200384,0.10049999999999999,0.019186444456709882,10000
0.1577,3.459157875061035,0.05265224381954274,0.1577,0.06840880793140536,10000
0.2287,2.4382086212158205,0.2054426462722506,0.2287,0.1360392239956128,10000
0.0908,3.191326822280884,0.01324832286442972,0.0908,0.02157850927451401,10000
0.186,3.0641777896881104,0.13378921729122045,0.186,0.13688648950078952,10000
0.0993,5.363234444427491,0.02810273118612292,0.0993,0.018431865909610715,10000
0.1127,3.3982339363098144,0.16730113773904623,0.1127,0.047352100879336674,10000
0.1989,3.3150833797454835,0.07235560538737522,0.1989,0.10150780227244915,10000
0.085,2.7512276706695555,0.15212193164249943,0.08499999999999999,0.04990581167089146,10000
0.1803,2.582925588607788,0.33380816518503525,0.1803,0.10562457802284513,10000
0.1007,4.926501724243164,0.027114339523754714,0.10069999999999998,0.0195947010247522,10000
0.1257,2.96922308883667,0.05528390283339424,0.1257,0.041655943745800575,10000
0.1199,3.6330407218933107,0.05908240578557535,0.11989999999999998,0.044367553876872405,10000
0.1161,2.6392822174072266,0.1130318258921926,0.11610000000000001,0.05691217519318692,10000
0.1791,2.864742975997925,0.20362465582519587,0.17909999999999998,0.10545203009280021,10000
0.0981,3.6683000854492187,0.010700843048270669,0.09809999999999999,0.01875474649590362,10000
0.1106,4.398544371795654,0.08924029759977731,0.1106,0.03710092254174713,10000
0.2365,3.0794525115966795,0.12627506462635057,0.23650000000000002,0.15043042770375287,10000
0.108,2.846853201675415,0.020698638571514945,0.10800000000000001,0.03458108702658209,10000
0.1334,2.8422186862945558,0.061406565095300514,0.13340000000000002,0.07582708728637962,10000
0.1,3.7400909107208253,0.01,0.1,0.01818181818181818,10000
0.0942,2.4041537284851073,0.1304607320256661,0.0942,0.03681421311340751,10000
0.1251,2.597906749343872,0.1781267043054838,0.1251,0.042279955885942425,10000
0.1482,2.6648656814575196,0.06438466625603026,0.14820000000000003,0.08461628705436551,10000
0.1739,2.8595748405456543,0.05544145448573172,0.1739,0.08028441145613115,10000
0.1645,3.235753678512573,0.20416175492292155,0.1645,0.09999573495482254,10000
0.1,5.873122431182861,0.01,0.1,0.01818181818181818,10000
0.2168,3.5922232341766356,0.09036863252741356,0.21680000000000002,0.11771592031919409,10000
0.1446,3.0461393398284913,0.1318223258139018,0.1446,0.0952735888568931,10000
0.1943,2.8115054176330565,0.15676944615094998,0.1943,0.12438184344909461,10000
0.1409,2.902687516784668,0.13939109891744855,0.1409,0.07546899984273914,10000
0.1893,2.9133319580078125,0.14775028910063,0.18929999999999997,0.12743415073608536,10000
