communication_round,internal_round,method,seed,global_test_accuracy,global_test_loss,training_loss,aggregation_time_seconds,aggregation_core_time_seconds,canonicalization_time_seconds,activation_collection_time_seconds,heldout_activation_collection_time_seconds,activation_score_time_seconds,full_rank_probe_relative_error,maximum_core_reconstruction_error,extra_server_time_seconds,prefix_test_accuracy_r1,prefix_test_loss_r1,prefix_test_accuracy_r2,prefix_test_loss_r2,prefix_test_accuracy_r4,prefix_test_loss_r4,prefix_test_accuracy_r8,prefix_test_loss_r8,mean_functional_error_calibration_r1,weighted_functional_error_calibration_r1,mean_functional_error_heldout_r1,weighted_functional_error_heldout_r1,mean_weight_error_r1,weighted_weight_error_r1,mean_overlap_r1,mean_reorder_rate_r1,mean_functional_error_calibration_r2,weighted_functional_error_calibration_r2,mean_functional_error_heldout_r2,weighted_functional_error_heldout_r2,mean_weight_error_r2,weighted_weight_error_r2,mean_overlap_r2,mean_reorder_rate_r2,mean_functional_error_calibration_r4,weighted_functional_error_calibration_r4,mean_functional_error_heldout_r4,weighted_functional_error_heldout_r4,mean_weight_error_r4,weighted_weight_error_r4,mean_overlap_r4,mean_reorder_rate_r4,mean_functional_error_calibration_r8,weighted_functional_error_calibration_r8,mean_functional_error_heldout_r8,weighted_functional_error_heldout_r8,mean_weight_error_r8,weighted_weight_error_r8,mean_overlap_r8,mean_reorder_rate_r8,total_round_time_seconds
1,0,rbla,42,0.6824,1.14320808801651,0.7382639904163858,0.006967499968595803,0.006850200006738305,0.0,0.0213899000082165,0.08395669993478805,0.0,0.0,0.0,0.0,0.0982,10.307036692810058,0.107,6.332847421264648,0.218,3.544353559112549,0.5794,1.3751617412567139,0.8733049137098526,0.7841906699794415,0.8690632865055559,0.7788070802757063,0.9241001296031427,0.9247681413293588,nan,nan,0.6479450011193921,0.7069597718499305,0.6424226500069994,0.6934272774322213,0.8263027441573266,0.8560668008885702,nan,nan,0.5132681532387012,0.5050761368974338,0.5076670580820177,0.48520185494578444,0.7014779836063112,0.6851856544398799,nan,nan,0.34414612474230366,0.29957889176216795,0.3326367365108223,0.2824011994292373,0.4508952440756726,0.501684537222623,nan,nan,15.370403700042516
2,1,rbla,42,0.8059,0.7187360234260559,0.3067415007827492,0.008148499997332692,0.007788200047798455,0.0,0.016016499954275787,0.07659130007959902,0.0,0.0,0.0,0.0,0.0982,38.13969118041992,0.1203,17.7415615234375,0.3222,3.5869062469482422,0.7236,1.265824089050293,0.8564898518200271,0.8466742022773248,0.8529482212076885,0.8408734516309625,0.936651699158448,0.9448494962183357,nan,nan,0.7519262202150271,0.7823454186856357,0.7399914835297534,0.7693588676365463,0.8448278198565937,0.8711257042458548,nan,nan,0.6074263589356973,0.6189222166405415,0.5914003450681347,0.5956712055159111,0.7252965833530759,0.7235488752034938,nan,nan,0.3290106763004674,0.425988335868995,0.31878276468592376,0.40627551392029304,0.4589366864670435,0.519097247901184,nan,nan,15.691567000001669
3,2,rbla,42,0.8377,0.4831199959754944,0.3047371297867003,0.00629369996022433,0.005553299910388887,0.0,0.015473500010557473,0.07341679988894612,0.0,0.0,0.0,0.0,0.1112,47.37683408203125,0.1236,21.729938873291015,0.4007,2.916786728668213,0.7533,1.3318602600097655,0.8738855977837816,0.8857718536971056,0.8730903647102597,0.8816101522101422,0.935679575024099,0.9542948014605472,nan,nan,0.777721981127169,0.819859577596695,0.7664888357991062,0.8079357269287383,0.8541422625985154,0.8837148560807943,nan,nan,0.6258116030837281,0.6656642806875316,0.6088928962847108,0.6418762892018783,0.7335058033199191,0.749537181826595,nan,nan,0.35224230245390015,0.46473676242644135,0.3391463963924215,0.4444927047479337,0.4627438120415956,0.5343369404889292,nan,nan,15.6709044999443
4,3,rbla,42,0.8759,0.36435583057403564,0.2698726174412985,0.005739699932746589,0.005437999963760376,0.0,0.015726399957202375,0.07347679999656975,0.0,0.0,0.0,0.0,0.1227,54.77273759765625,0.1306,21.335441940307618,0.4833,2.548529959106445,0.7563,1.4774511560440065,0.8920313790949469,0.9063382791336532,0.892371962145905,0.9018236345629634,0.9370401913887892,0.9576889891445333,nan,nan,0.7974155659691506,0.8400256708601631,0.7871720804534793,0.8264695679711828,0.8593495891493861,0.8890718935144641,nan,nan,0.6357116948449993,0.6878061883763346,0.6194732740759482,0.6614148587015851,0.7362546654119796,0.7623077568874577,nan,nan,0.36529220546446944,0.4790108149068821,0.3501931750326189,0.4552736384893012,0.45659842255451544,0.5391840991867869,nan,nan,15.915611400036141
5,4,rbla,42,0.8935,0.3276058077096939,0.2402956317740708,0.006069800001569092,0.005371500039473176,0.0,0.016111299977637827,0.074197500012815,0.0,0.0,0.0,0.0,0.1293,55.65404306640625,0.1382,20.605003350830078,0.499,2.434625307846069,0.7605,1.5580464895248414,0.9087609870586556,0.9212013639306905,0.9082871500552003,0.9163219896800127,0.9394257112652694,0.9585097480535929,nan,nan,0.8227238055635328,0.853704795158281,0.81111567395773,0.8392086871641922,0.8612921599158915,0.8909899810627888,nan,nan,0.6505838436628179,0.7031860152030981,0.6335954784074252,0.6754567084038746,0.73386987471271,0.7683264505434333,nan,nan,0.3709771113360991,0.48665445578464717,0.35478406968551335,0.46120287993817516,0.4477941638778485,0.5409795217055475,nan,nan,15.610246299998835
6,5,rbla,42,0.9056,0.2948871176958084,0.21801368964964746,0.006559800007380545,0.006218300084583461,0.0,0.016069499892182648,0.07500180008355528,0.0,0.0,0.0,0.0,0.127,50.05613280029297,0.1488,18.37042055053711,0.4976,2.352892974472046,0.7679,1.6129011053085327,0.9183314952302736,0.9291640744689464,0.9170719033854607,0.923989720664123,0.9435250752126157,0.9587419929700881,nan,nan,0.8403571107767465,0.8617729186133286,0.8287551245757565,0.8470672883276046,0.8644496977684132,0.8919531494943387,nan,nan,0.6643732151694319,0.7157954187522556,0.6483590225303344,0.6881846092434496,0.73484082574541,0.7736695892842517,nan,nan,0.38097958790820785,0.49657245009602535,0.36479531667345716,0.47057043236568663,0.4440561676948491,0.5409229791030414,nan,nan,15.233810799894854
7,6,rbla,42,0.9172,0.26650408288240435,0.19433637789858352,0.005744599970057607,0.005066600046120584,0.0,0.014820799930021167,0.06878810003399849,0.0,0.0,0.0,0.0,0.1196,46.41687661132813,0.1488,17.937236749267576,0.4731,2.5416859813690187,0.7731,1.5641645139694214,0.9264618648654469,0.9354252499112282,0.9240829914013747,0.9298682160124253,0.9463626581311712,0.9580772167301143,nan,nan,0.8549382643675822,0.8663044041671752,0.842371956937339,0.8508445603398823,0.8657161314112791,0.8911765026482631,nan,nan,0.6753767553501081,0.7250299220821851,0.6599171187854208,0.6971618788963954,0.7358981396254026,0.7777012412894966,nan,nan,0.3949940025904442,0.5099967871935724,0.37844476163419594,0.48282008848763236,0.4439852902394687,0.5431606529237885,nan,nan,15.48228199989535
8,7,rbla,42,0.9242,0.2451304343342781,0.183056936227774,0.005949000013060868,0.005644200020469725,0.0,0.016257100040093064,0.07369739993009716,0.0,0.0,0.0,0.0,0.1159,40.15946045532227,0.1609,15.588566989135742,0.461,2.5434187000274657,0.7795,1.6222163953781128,0.9318309035287508,0.938973411119562,0.9289018241453205,0.9333149358816902,0.9471255038124977,0.9567767710644325,nan,nan,0.863721295821092,0.8675503331333692,0.8507189675519484,0.851779804287516,0.865950061170773,0.8893261671725968,nan,nan,0.6801917068516558,0.7232103026910078,0.6654690415685415,0.694959994231825,0.7369731214355529,0.7797582251292292,nan,nan,0.4000686748148829,0.5116134578514246,0.38328316340206164,0.4836062848977615,0.4450982520798376,0.5447267758498259,nan,nan,15.2516988000134
9,8,rbla,42,0.9288,0.23534138365983964,0.16883230543627187,0.006687800050713122,0.0059550999430939555,0.0,0.015546599985100329,0.07428800000343472,0.0,0.0,0.0,0.0,0.1098,34.81023299865723,0.1744,14.056028633117675,0.4559,2.606892010498047,0.7902,1.6252473482131957,0.9327955990838451,0.9433175982079555,0.9294575806870885,0.9376465820400218,0.9479139403791228,0.9563647948504467,nan,nan,0.8722887336793,0.8731429371996338,0.8593274300073163,0.8572233749930619,0.8674389498237639,0.8888758275520442,nan,nan,0.6842886519640522,0.7316577716374837,0.6708973641812248,0.7033182813165461,0.7400096476048189,0.7831407170761123,nan,nan,0.4027812258885832,0.5139883468673538,0.3861506900410861,0.48542343509452435,0.4486065708958363,0.5469861051349165,nan,nan,15.674710500054061
10,9,rbla,42,0.936,0.22415576538443566,0.163397097882248,0.0068046998931095,0.006502600037492812,0.0,0.016337899956852198,0.07851250004023314,0.0,0.0,0.0,0.0,0.1074,33.250555252075195,0.1768,13.757173913574219,0.4417,2.808557997512817,0.7916,1.5852599338531494,0.9352559557265959,0.9462626001336863,0.9311257870480997,0.94048524707611,0.9476342329156066,0.9559936007250125,nan,nan,0.8791568855383737,0.8751919019667966,0.8658580161551862,0.8588581251784694,0.8679235509320881,0.8883113593436731,nan,nan,0.6867003879976604,0.7319294113436765,0.6736798859613217,0.7033622051773668,0.7437690861093512,0.786107897314128,nan,nan,0.4044799981095741,0.5104820708751459,0.3872996006251808,0.48120267421974794,0.4530460803287881,0.5486504098111581,nan,nan,16.390066399937496
