method,best_truncation_ratio,best_accuracy,best_macro_f1,full_accuracy,full_macro_f1,accuracy_gain_over_full,macro_f1_gain_over_full
p4_refdiag_balanced_heterogeneous,0.7,0.6303,0.5576701359030374,0.1837,0.07554698694015413,0.4466,0.4821231489628832
p4_freeze_balanced_heterogeneous,0.7,0.582,0.49640471320395607,0.1835,0.08031187746773259,0.39849999999999997,0.41609283573622347
p4_strong_balanced_heterogeneous,0.5,0.6023,0.5451870921784955,0.1831,0.08084441045149172,0.4191999999999999,0.46434268172700377
p4_freeze_double_imbalance,0.6,0.9436,0.9426093915329388,0.7912,0.7417304290010451,0.15239999999999998,0.20087896253189363
p4_strong_double_imbalance,0.6,0.9778,0.9775926712965397,0.7474,0.6701248253840191,0.23040000000000005,0.30746784591252063
p5_freeze_uniform_055,1.0,0.8288,0.8219865653869617,0.8288,0.8219865653869617,0.0,0.0
p5_strong_uniform_055,1.0,0.8513,0.8455249509768764,0.8513,0.8455249509768764,0.0,0.0
p6_freeze_gamma_000,0.7,0.582,0.49640471320395607,0.1835,0.08031187746773259,0.39849999999999997,0.41609283573622347
p6_freeze_gamma_050,0.9,0.7523,0.7441270159896767,0.7174,0.7112198612747388,0.03489999999999993,0.03290715471493788
p6_freeze_gamma_100,0.9,0.7208,0.71441997013563,0.7182,0.7127826704629365,0.0026000000000000467,0.0016372996726934375
