method,checkpoint,checkpoint_rank_ratio,retained_rank_ratio,accuracy,average_loss,macro_f1,mcc,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.1,0.2028,2.009439903640747,0.0751645149199078,0.15151367012685613,0.0,0.0,0.9563953488372093,0.9910891089108911,0.03767820773930754,0.002242152466367713,0.0010438413361169101,0.0,0.0,0.0
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.2,0.32,1.5602107177734374,0.25686767235727853,0.2879901241660438,0.0,0.2026431718061674,0.23255813953488372,0.22772277227722773,0.9042769857433809,0.9394618834080718,0.10960334029227557,0.008754863813229572,0.011293634496919919,0.643211100099108
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.3,0.4732,1.4304459089279176,0.4220649741516592,0.44486571634079886,0.8571428571428571,0.6616740088105727,0.006782945736434108,0.6,0.0855397148676171,0.25112107623318386,0.4133611691022965,0.007782101167315175,0.8459958932238193,0.9831516352824579
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.4,0.5477,1.2689786157608032,0.4795520743973233,0.5164392584746335,0.9857142857142858,0.9145374449339208,0.005813953488372093,0.5633663366336633,0.164969450101833,0.05717488789237668,0.6294363256784968,0.38229571984435795,0.7258726899383984,0.9732408325074331
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.5,0.6141,1.2296533966064453,0.5326649676374445,0.5855138402172368,0.9826530612244898,0.8845814977973568,0.003875968992248062,0.6752475247524753,0.19042769857433808,0.0011210762331838565,0.8215031315240083,0.8035019455252919,0.7381930184804928,0.9593657086223984
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.6,0.5869,1.2407700412750244,0.5128125329061078,0.5568231298667552,0.9908163265306122,0.8061674008810573,0.006782945736434108,0.7693069306930693,0.19042769857433808,0.0,0.675365344467641,0.6536964980544747,0.7371663244353183,0.9663032705649157
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.7,0.6303,1.2246260423660278,0.5576701359030374,0.6035695847109889,0.9448979591836735,0.852863436123348,0.014534883720930232,0.9227722772277228,0.9063136456211812,0.0,0.3288100208768267,0.9056420233463035,0.7515400410677618,0.5887016848364718
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.8,0.5626,1.594880803489685,0.48965806239520654,0.5375110160118687,0.7653061224489796,0.801762114537445,0.16666666666666666,0.6247524752475248,0.8716904276985743,0.0,0.0,0.9863813229571985,0.9486652977412731,0.3657086223984143
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,0.9,0.4485,2.525819038772583,0.3762020984829425,0.4197819629955403,0.1336734693877551,0.9955947136563876,0.9312015503875969,0.30495049504950494,0.34725050916496947,0.0,0.0,0.8861867704280155,0.5482546201232033,0.16749256689791872
p4_refdiag_balanced_heterogeneous,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_refdiag_balanced_heterogeneous_checkpoint_-train-20260715_201537-ebe8dac1bf7fdc8f-round0030.pt,1.0,1.0,0.1837,14.57948441772461,0.07554698694015413,0.1587334786612278,0.0,0.0,0.0,0.0,0.0,0.9899103139013453,0.9958246346555324,0.0,0.0,0.0
