condition,alpha,rho,round,spmi_abs,spmi_rel,weighted_raw_residual,weighted_optimal_residual,raw_loss,plus_loss,relative_task_loss_gain,raw_accuracy,plus_accuracy,accuracy_delta_pp,gate_decision,instant_oracle,gate_correct,elapsed_seconds
mnist_dirichlet_0_4_rho_pos05,0.4,0.5,1,0.12038951012132376,0.9972785864036477,5.092715411921046e-05,1.3859384964354645e-07,2.283541335192108,2.2834982027781168,1.888838766629632e-05,0.136,0.13609119166666667,0.009119166666665679,rbla_plus,rbla_plus,True,12.638572700000168
mnist_dirichlet_0_4_rho_pos05,0.4,0.5,2,0.1172530358431041,0.9972544714860586,0.00020119886334800667,5.523972162945548e-07,2.278813537706757,2.278727833344523,3.76092035682787e-05,0.16264562500000002,0.1628104916666667,0.016486666666667982,rbla_plus,rbla_plus,True,12.636516200000187
mnist_dirichlet_0_4_rho_pos05,0.4,0.5,3,0.11348369725088706,0.997249662484204,0.00045002583450319474,1.237722935711516e-06,2.274516838300832,2.2743878543568927,5.670828272948704e-05,0.17507569999999997,0.17570656666666667,0.06308666666667018,rbla_plus,rbla_plus,True,13.081432599999971
mnist_dirichlet_0_4_rho_pos05,0.4,0.5,4,0.10907115837958173,0.9972553420437834,0.0007975106976209957,2.1888940813932837e-06,2.2702002370956422,2.2700271970072428,7.62223902420364e-05,0.19488603333333337,0.19550904166666666,0.06230083333332859,rbla_plus,rbla_plus,True,12.251656500000081
mnist_dirichlet_0_4_rho_pos05,0.4,0.5,5,0.10396913277807043,0.9972684585405256,0.0012447319707197544,3.4000369839543855e-06,2.265879645231374,2.2656616882921856,9.619087211766373e-05,0.2085,0.20880523333333334,0.0305233333333349,rbla_plus,rbla_plus,True,12.129154699999617
mnist_dirichlet_0_8_rho_neg05,0.8,-0.5,1,0.0978254463384423,0.9933620760268494,4.0360305574876736e-05,2.679086399391571e-07,2.2828945324618024,2.282836080149841,2.5604473237885027e-05,0.1605756166666667,0.16091431666666667,0.03386999999999696,rbla_plus,rbla_plus,True,12.208405299999868
mnist_dirichlet_0_8_rho_neg05,0.8,-0.5,2,0.09619576006489206,0.9933388399068861,0.00016019233298822754,1.0670667757240071e-06,2.2781125583844504,2.2779955436119077,5.1364789729990216e-05,0.17407561666666665,0.174323775,0.024815833333333148,rbla_plus,rbla_plus,True,12.142751600000338
mnist_dirichlet_0_8_rho_neg05,0.8,-0.5,3,0.0939665609934954,0.9933427367383334,0.0003592087002743175,2.391346883607204e-06,2.2739936705663046,2.2738174163808185,7.750865262622973e-05,0.17197269999999998,0.17253945,0.05667500000000325,rbla_plus,rbla_plus,True,12.30508860000009
mnist_dirichlet_0_8_rho_neg05,0.8,-0.5,4,0.0912319016086178,0.9933670406938292,0.0006378069477195565,4.2305475294168515e-06,2.2698946349156692,2.2696585069684345,0.00010402595063337931,0.16974815833333334,0.17064135000000002,0.08931916666666817,rbla_plus,rbla_plus,True,12.607392700000219
mnist_dirichlet_0_8_rho_neg05,0.8,-0.5,5,0.0880042135559181,0.993406718363021,0.00099699297511314,6.573455475010491e-06,2.2657961249341327,2.265499315549469,0.00013099562727535255,0.17541645,0.1764479,0.10314499999999893,rbla_plus,rbla_plus,True,12.670632900000328
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.09617323103511331,0.99575029854078,3.5929037799766546e-05,1.5268768436603728e-07,2.2829030377886457,2.2828583489845276,1.9575428031060216e-05,0.16050000000000003,0.1607294416666667,0.02294416666666632,rbla_plus,rbla_plus,True,12.459410699999808
mnist_dirichlet_0_8_rho_zero,0.8,0.0,2,0.09457890653887596,0.9957417701116923,0.0001428542638549946,6.083062960195438e-07,2.278130041994985,2.278040596475728,3.9262692474866366e-05,0.17404862499999998,0.17424861666666666,0.019999166666667678,rbla_plus,rbla_plus,True,12.283319199999823
mnist_dirichlet_0_8_rho_zero,0.8,0.0,3,0.0922406801944517,0.9957477490615791,0.00032042985131839496,1.3625481359667038e-06,2.2740207954429628,2.273885982720947,5.928385628033893e-05,0.17202798333333333,0.17230379166666665,0.027580833333332166,rbla_plus,rbla_plus,True,12.74829230000023
mnist_dirichlet_0_8_rho_zero,0.8,0.0,4,0.08938444920703754,0.9957653612115656,0.0005690769678911105,2.409835401836373e-06,2.2699315831642153,2.2697510416918436,7.953608545329218e-05,0.16957673333333334,0.1703545,0.07777666666666516,rbla_plus,rbla_plus,True,12.949504300000171
mnist_dirichlet_0_8_rho_zero,0.8,0.0,5,0.08599106744223399,0.9957919542145806,0.0008893555417536096,3.742448839215769e-06,2.265843138246918,2.2656162547314964,0.00010013204868070062,0.1749771,0.17558735,0.06102500000000066,rbla_plus,rbla_plus,True,12.360277000000224
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.1293307213746806,0.997797463610383,4.902358278951003e-05,1.0797622504329693e-07,2.282907119766744,2.28286667613856,1.7715844781243757e-05,0.16043930833333336,0.16060143333333332,0.016212499999995744,rbla_plus,rbla_plus,True,12.214353299999857
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,2,0.12828130963645507,0.9978151534175483,0.00019687161533925903,4.301342759557111e-07,2.2781383089530944,2.2780566824834185,3.58303397801258e-05,0.174,0.17426089166666667,0.02608916666666794,rbla_plus,rbla_plus,True,12.408031100000244
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.12603902087987628,0.9978372048473763,0.0004452419919542249,9.629672219431487e-07,2.2740334787162784,2.273909967864736,5.431355901233168e-05,0.17203521666666663,0.17226654166666663,0.023132500000000444,rbla_plus,rbla_plus,True,12.593409699999938
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,4,0.12293344032485963,0.9978624294876957,0.0007962105782163419,1.7019562535800018e-06,2.269948894811758,2.269782788878377,7.317606742623137e-05,0.1695,0.17035251666666668,0.08525166666666639,rbla_plus,rbla_plus,True,12.303574600000047
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.11901027167462809,0.9978892721183223,0.0012522591338760174,2.6431782689576867e-06,2.265865060148111,2.2656556630696616,9.241374613715642e-05,0.1748632083333333,0.17557761666666666,0.07144083333333606,rbla_plus,rbla_plus,True,12.450898499999766
