condition,alpha,rho,round,spmi_abs,spmi_rel,weighted_raw_residual,weighted_optimal_residual,raw_loss,plus_loss,relative_task_loss_gain,raw_accuracy,plus_accuracy,accuracy_delta_pp,gate_decision,instant_oracle,gate_correct,elapsed_seconds
mnist_dirichlet_0_4_rho_neg05,0.4,-0.5,1,0.1180390980839831,0.9935165285493378,6.050109076001772e-05,3.9225709467650016e-07,2.2835231263575237,2.28345663796107,2.9116585545556477e-05,0.136,0.13632512500000002,0.03251250000000094,rbla_plus,rbla_plus,True,12.098935999999867
mnist_dirichlet_0_4_rho_neg05,0.4,-0.5,2,0.11658460169882631,0.9935437237992794,0.00024225514730916267,1.5640661420742147e-06,2.27877529372406,2.278641309669495,5.879651887324369e-05,0.16308314166666668,0.16315884166666667,0.007569999999998411,rbla_plus,rbla_plus,True,13.105661599999621
mnist_dirichlet_0_4_rho_neg05,0.4,-0.5,3,0.11425174909874777,0.99359694740121,0.000547824714155695,3.507750459656093e-06,2.27445689257253,2.274253881789398,8.925681721868218e-05,0.175483175,0.17615803333333335,0.06748583333333613,rbla_plus,rbla_plus,True,12.578940800000055
mnist_dirichlet_0_4_rho_neg05,0.4,-0.5,4,0.11098946333239303,0.9936585828347246,0.0009788769763537546,6.207467260542627e-06,2.270117096750895,2.269842822061157,0.00012081962209362937,0.19499999999999998,0.19587460833333334,0.08746083333333599,rbla_plus,rbla_plus,True,12.34478880000006
mnist_dirichlet_0_4_rho_neg05,0.4,-0.5,5,0.10696200149851011,0.9937304897650759,0.0015392880949383382,9.650582465712812e-06,2.2657711680486043,2.265424200892639,0.00015313424447196917,0.2086662833333333,0.20931653333333333,0.06502500000000189,rbla_plus,rbla_plus,True,12.222206599999936
mnist_dirichlet_0_4_rho_zero,0.4,0.0,1,0.11701191084348657,0.9969023691787104,5.0313372898467426e-05,1.5585225461332404e-07,2.2835374751139326,2.283493390388743,1.9305452907999376e-05,0.136,0.13614886666666667,0.014886666666666382,rbla_plus,rbla_plus,True,12.137787900000149
mnist_dirichlet_0_4_rho_zero,0.4,0.0,2,0.11527812587026791,0.9969077706172502,0.00020114703305263983,6.219927658583138e-07,2.278805815514628,2.278717215298716,3.8880107865592936e-05,0.1626863,0.16271417500000002,0.002787500000001053,rbla_plus,rbla_plus,True,12.115955500000382
mnist_dirichlet_0_4_rho_zero,0.4,0.0,3,0.11257082358331436,0.9969253394739868,0.00045402489544551166,1.3959724238535778e-06,2.274505124367269,2.274371019477081,5.896002992080791e-05,0.17524180833333333,0.17592299166666664,0.06811833333333073,rbla_plus,rbla_plus,True,13.05847040000026
mnist_dirichlet_0_4_rho_zero,0.4,0.0,4,0.10894266311975706,0.9969492462849167,0.0008101137542932815,2.4714575455503203e-06,2.2701843818051652,2.270003522733053,7.966712904992875e-05,0.19496173333333336,0.19571212500000004,0.07503916666666832,rbla_plus,rbla_plus,True,12.277942400000029
mnist_dirichlet_0_4_rho_zero,0.4,0.0,5,0.10447581691982581,0.9969784925972239,0.0012717726150293486,3.842670370959014e-06,2.265859766309865,2.2656312529899596,0.00010085060130519025,0.2085,0.20880193333333333,0.03019333333333374,rbla_plus,rbla_plus,True,12.444461499999761
