Wall time,Step,Value
1763782244.6286743,2653,1.399999976158142
1763782245.1554668,3591,1.600000023841858
1763782246.3887658,5766,1.2857142686843872
1763782246.5985148,6115,1.2702702283859253
1763782247.367079,7362,1.1739130020141602
1763782248.6581898,9562,1.2413792610168457
1763782248.9232955,10032,1.3166667222976685
1763782250.355289,12317,1.1973683834075928
1763782254.9912028,20694,1.409999966621399
1763782255.2389264,21142,1.3700000047683716
1763782255.884369,22298,1.4199999570846558
1763782257.0323124,24359,1.4800000190734863
1763782257.153336,24567,1.4299999475479126
1763782260.6141276,30783,1.5499999523162842
1763782260.984287,31457,1.559999942779541
1763782262.473728,34145,1.4500000476837158
1763782262.838044,34795,1.4500000476837158
1763782263.3704188,35748,1.4299999475479126
1763782263.7421353,36393,1.3600000143051147
1763782266.2892551,40942,1.3300000429153442
1763782266.402344,41124,1.3200000524520874
1763782266.9145186,42021,1.3200000524520874
1763782268.4643886,44780,1.2300000190734863
1763782269.29144,46334,1.340000033378601
1763782270.966842,49407,1.409999966621399
1763782274.9569669,56522,1.409999966621399
1763782275.0561738,56707,1.4299999475479126
1763782276.5017095,59291,1.4600000381469727
1763782276.7020233,59657,1.4500000476837158
1763782277.9039557,61855,1.5
1763782278.0981307,62200,1.5099999904632568
1763782278.1987565,62390,1.4900000095367432
1763782278.9343884,63678,1.340000033378601
1763782280.3059928,66102,1.2599999904632568
1763782281.9495268,69054,1.3899999856948853
1763782283.6519227,72126,1.3899999856948853
1763782285.9123118,76204,1.4800000190734863
1763782286.7094615,77639,1.5399999618530273
1763782287.2155607,78558,1.5099999904632568
1763782287.7615595,79545,1.5199999809265137
1763782287.8145385,79635,1.5
1763782290.3806176,84288,1.6399999856948853
1763782290.570125,84638,1.6200000047683716
1763782291.3675017,86023,1.590000033378601
1763782291.842772,86858,1.5499999523162842
1763782291.9081705,86974,1.5499999523162842
1763782292.058172,87253,1.559999942779541
1763782292.299209,87693,1.5399999618530273
1763782292.4466734,87970,1.5399999618530273
1763782293.3642178,89611,1.559999942779541
1763782294.285149,91304,1.5700000524520874
1763782297.1046538,96282,1.2999999523162842
1763782297.7628365,97497,1.399999976158142
1763782298.3092356,98476,1.3799999952316284
1763782299.0393896,99818,1.2599999904632568
1763782306.5257058,101397,1.2599999904632568
1763782309.2237637,101925,1.2400000095367432
1763782317.641233,103337,1.3600000143051147
1763782321.6800632,103967,1.3700000047683716
1763782322.8529403,104149,1.3799999952316284
1763782324.2117991,104355,1.350000023841858
1763782331.0246675,105377,1.3300000429153442
1763782335.235706,105969,1.2999999523162842
1763782336.522974,106151,1.309999942779541
1763782341.3287568,106879,1.25
1763782342.7978048,107103,1.2599999904632568
1763782346.417392,107615,1.2300000190734863
1763782349.790297,108128,1.2699999809265137
1763782354.9295588,108903,1.2799999713897705
1763782355.559165,108995,1.2699999809265137
1763782375.9307363,112012,1.340000033378601
1763782380.0738847,112546,1.3600000143051147
1763782413.3734663,117057,1.3300000429153442
1763782419.044253,117844,1.2899999618530273
1763782424.5239925,118553,1.2899999618530273
1763782447.5891607,121666,1.159999966621399
1763782449.3917732,121848,1.159999966621399
1763782461.1260467,122941,1.159999966621399
1763782480.4891627,124689,1.1399999856948853
1763782496.7313116,126256,1.2000000476837158
1763782502.0694072,126744,1.2100000381469727
1763782511.3945117,127939,1.2699999809265137
1763782521.1967764,129365,1.3600000143051147
1763782530.1173704,130632,1.309999942779541
1763782531.0760276,130768,1.309999942779541
1763782538.5385332,131663,1.3799999952316284
1763782539.9915524,131800,1.3899999856948853
1763782547.4516082,132500,1.3799999952316284
1763782573.129384,134906,1.4299999475479126
1763782576.4763088,135222,1.399999976158142
1763782589.6848674,136495,1.440000057220459
1763782638.9391563,142289,1.5399999618530273
1763782649.3404672,143176,1.5399999618530273
1763782655.376197,143722,1.559999942779541
1763782657.7489476,143948,1.5800000429153442
1763782664.5957515,144600,1.5700000524520874
1763782671.2033885,145214,1.5099999904632568
1763782678.571213,145914,1.4500000476837158
1763782690.7031553,147045,1.3600000143051147
1763782698.2204897,147761,1.340000033378601
1763782706.3361976,148541,1.350000023841858
1763782719.7163332,149835,1.3799999952316284
1763782788.1568177,157056,1.6799999475479126
1763782795.5911584,157775,1.7599999904632568
1763782796.551177,157867,1.7400000095367432
1763782797.9587958,158003,1.7000000476837158
1763782830.5731564,161105,1.8600000143051147
1763782847.2949626,163141,1.9199999570846558
1763782867.7752051,165440,2.069999933242798
1763782932.118735,171449,2.309999942779541
1763782950.1346087,173188,2.3299999237060547
1763782955.9873836,173809,2.369999885559082
1763782961.1271665,174342,2.380000114440918
1763782987.4264312,177157,2.2200000286102295
1763782997.9352612,178150,2.2200000286102295
1763783010.6248472,179337,2.130000114440918
1763783023.4104369,180546,2.180000066757202
1763783058.1395507,183593,2.3399999141693115
1763783065.813293,184302,2.450000047683716
1763783085.2344446,186434,2.5
1763783093.1556122,187274,2.559999942779541
1763783097.4594312,187694,2.549999952316284
1763783098.73035,187814,2.559999942779541
1763783198.7362347,197626,3.2799999713897705
1763783208.9875872,198473,3.2899999618530273
1763783214.962516,199013,3.4000000953674316
1763783217.5986516,199233,3.4200000762939453
1763783262.7865863,203526,3.6700000762939453
1763783281.6178365,205492,3.640000104904175
1763783300.9800189,207268,3.549999952316284
1763783308.6615417,207982,3.569999933242798
1763783354.3406413,212495,3.5
1763783356.842935,212793,3.559999942779541
1763783380.5591755,215012,3.5299999713897705
1763783400.2987356,216863,3.5199999809265137
1763783412.8178892,218024,3.5299999713897705
1763783475.8667176,224058,3.2899999618530273
