run_id,family,seed,data_distribution,rank_profile,labeled,reproduction_valid,first_accuracy_absolute_error,first_loss_absolute_error,spmi_abs,spmi_rel,gate_decision,historical_winner,gate_correct,tail_accuracy_delta_pp,accuracy_auc_delta_pp,margin_from_0_10,elapsed_seconds
aasb_double_low_seed42,aasb,42,mnist_double_imbalance,low,True,True,0.0,0.0,0.23794407880055693,0.9588918284268,rbla_plus,rbla,False,-0.7640000000000091,-2.033499999999999,0.13794407880055692,20.286195700000462
aasb_double_low_seed43,aasb,43,mnist_double_imbalance,low,True,True,0.0,0.0,0.2433073426899323,0.9557384248285409,rbla_plus,rbla,False,-0.9299999999999975,-1.6994999999999982,0.14330734268993228,19.255555300000196
aasb_double_low_seed44,aasb,44,mnist_double_imbalance,low,True,True,0.0,0.0,0.2757861357495143,0.9640158292142775,rbla_plus,rbla,False,-2.8080000000000105,-4.044499999999996,0.17578613574951432,19.348428799999965
compact_dirichlet_low_seed42,compact,42,mnist_dirichlet_0_1,low,True,False,0.0928,0.26163924369811986,0.32846981201188574,0.9187459481243647,rbla_plus,rbla_plus,,39.035,26.972,0.22846981201188574,19.059397699998954
compact_double_low_seed42,compact,42,mnist_double_imbalance,low,True,False,0.019299999999999984,0.02248153486251825,0.2835283811849344,0.969847287440591,rbla_plus,rbla,,-3.5350000000000104,-1.1699999999999933,0.1835283811849344,18.879071499999554
coverage_dirichlet_full_seed42,compact,42,mnist_dirichlet_0_1,full,False,,0.01579999999999998,0.006760665702819857,0.22655362008319488,0.9999817458396701,rbla_plus,,,,,0.12655362008319487,21.243438700001207
coverage_double_full_seed42,compact,42,mnist_double_imbalance,full,False,,0.02180000000000004,0.0023269865036010806,0.148092475273077,0.9999988497772618,rbla_plus,,,,,0.048092475273077,21.545561999999336
coverage_two_label_full_seed42,compact,42,mnist_two_label_balanced,full,False,,0.012500000000000011,0.010173728561401418,0.3861588765304595,0.99999636855069,rbla_plus,,,,,0.28615887653045946,16.782042899998487
coverage_two_label_low_seed42,compact,42,mnist_two_label_balanced,low,False,,0.05389999999999999,0.8127104007720947,0.4386650487804497,0.9732646181355732,rbla_plus,,,,,0.3386650487804497,15.985721500001091
