round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.3919999897480011,1.9763267040252686,10,0.01,10,1
1,0.7339000105857849,0.8491027355194092,10,0.01,10,1
2,0.845300018787384,0.5153136849403381,10,0.01,10,1
3,0.8967999815940857,0.3739701509475708,10,0.01,10,1
4,0.9129999876022339,0.32056349515914917,10,0.01,10,1
5,0.9210000038146973,0.2908051013946533,10,0.01,10,1
6,0.9258000254631042,0.2700809836387634,10,0.01,10,1
7,0.9309999942779541,0.2538200914859772,10,0.01,10,1
8,0.9340999722480774,0.24062973260879517,10,0.01,10,1
9,0.9366999864578247,0.22976154088974,10,0.01,10,1
10,0.9391000270843506,0.22110295295715332,10,0.01,10,1
11,0.940500020980835,0.21405652165412903,10,0.01,10,1
12,0.9426000118255615,0.20796923339366913,10,0.01,10,1
13,0.9441999793052673,0.2032785713672638,10,0.01,10,1
14,0.9453999996185303,0.19945040345191956,10,0.01,10,1
15,0.9465000033378601,0.19583916664123535,10,0.01,10,1
16,0.9477999806404114,0.1931122988462448,10,0.01,10,1
17,0.9490000009536743,0.19124725461006165,10,0.01,10,1
18,0.949400007724762,0.18981695175170898,10,0.01,10,1
19,0.9492999911308289,0.18867351114749908,10,0.01,10,1
20,0.9498000144958496,0.1877652257680893,10,0.01,10,1
21,0.9505000114440918,0.18740542232990265,10,0.01,10,1
22,0.9508000016212463,0.18756309151649475,10,0.01,10,1
23,0.9508000016212463,0.18783310055732727,10,0.01,10,1
24,0.951200008392334,0.1887681484222412,10,0.01,10,1
25,0.9520999789237976,0.1900171935558319,10,0.01,10,1
26,0.9531000256538391,0.19085204601287842,10,0.01,10,1
27,0.9532999992370605,0.19278816878795624,10,0.01,10,1
28,0.953499972820282,0.19497443735599518,10,0.01,10,1
29,0.9527999758720398,0.197548970580101,10,0.01,10,1
30,0.9534000158309937,0.19999125599861145,10,0.01,10,1
31,0.9541000127792358,0.2026461958885193,10,0.01,10,1
32,0.954200029373169,0.2056059092283249,10,0.01,10,1
33,0.9538999795913696,0.20916059613227844,10,0.01,10,1
34,0.9532999992370605,0.2125152349472046,10,0.01,10,1
35,0.9528999924659729,0.21639294922351837,10,0.01,10,1
36,0.953000009059906,0.2198203057050705,10,0.01,10,1
37,0.953000009059906,0.22330959141254425,10,0.01,10,1
38,0.953499972820282,0.22635303437709808,10,0.01,10,1
39,0.9539999961853027,0.22882317006587982,10,0.01,10,1
40,0.9544000029563904,0.23137983679771423,10,0.01,10,1
41,0.9539999961853027,0.23399050533771515,10,0.01,10,1
42,0.9539999961853027,0.23588566482067108,10,0.01,10,1
43,0.9546999931335449,0.23800112307071686,10,0.01,10,1
44,0.9550999999046326,0.24041292071342468,10,0.01,10,1
45,0.9556000232696533,0.24267180263996124,10,0.01,10,1
46,0.9556000232696533,0.24529236555099487,10,0.01,10,1
47,0.9557999968528748,0.24779196083545685,10,0.01,10,1
48,0.9563000202178955,0.25039610266685486,10,0.01,10,1
49,0.9562000036239624,0.252945214509964,10,0.01,10,1
50,0.9560999870300293,0.2555900514125824,10,0.01,10,1
51,0.9562000036239624,0.25834229588508606,10,0.01,10,1
52,0.9564999938011169,0.2612481713294983,10,0.01,10,1
53,0.9563999772071838,0.2639753818511963,10,0.01,10,1
54,0.9567000269889832,0.26648712158203125,10,0.01,10,1
55,0.9569000005722046,0.2689414918422699,10,0.01,10,1
56,0.957099974155426,0.2714408338069916,10,0.01,10,1
57,0.9574999809265137,0.2739621102809906,10,0.01,10,1
58,0.9573000073432922,0.27640804648399353,10,0.01,10,1
59,0.9577000141143799,0.278560996055603,10,0.01,10,1
60,0.9574999809265137,0.28105196356773376,10,0.01,10,1
61,0.9574999809265137,0.28352293372154236,10,0.01,10,1
62,0.9574000239372253,0.28569450974464417,10,0.01,10,1
63,0.9574000239372253,0.28786730766296387,10,0.01,10,1
64,0.9573000073432922,0.2898903489112854,10,0.01,10,1
65,0.9574999809265137,0.2925417125225067,10,0.01,10,1
66,0.9574999809265137,0.2946828603744507,10,0.01,10,1
67,0.9574999809265137,0.29678863286972046,10,0.01,10,1
68,0.9577000141143799,0.29889464378356934,10,0.01,10,1
69,0.9577999711036682,0.3008567988872528,10,0.01,10,1
70,0.9575999975204468,0.3030218780040741,10,0.01,10,1
71,0.9577000141143799,0.30496758222579956,10,0.01,10,1
72,0.9577999711036682,0.30714914202690125,10,0.01,10,1
73,0.9580000042915344,0.30881404876708984,10,0.01,10,1
74,0.9581999778747559,0.3107517659664154,10,0.01,10,1
75,0.9581999778747559,0.31279194355010986,10,0.01,10,1
76,0.9581000208854675,0.3144798278808594,10,0.01,10,1
77,0.958299994468689,0.3164932429790497,10,0.01,10,1
78,0.9584000110626221,0.3182293474674225,10,0.01,10,1
79,0.9584000110626221,0.3198613226413727,10,0.01,10,1
80,0.9584000110626221,0.3216789960861206,10,0.01,10,1
81,0.9584000110626221,0.3235454261302948,10,0.01,10,1
82,0.9584000110626221,0.32533884048461914,10,0.01,10,1
83,0.9584000110626221,0.3271826207637787,10,0.01,10,1
84,0.9585000276565552,0.3289562165737152,10,0.01,10,1
85,0.9584000110626221,0.3305789530277252,10,0.01,10,1
86,0.9584000110626221,0.3323672115802765,10,0.01,10,1
87,0.958299994468689,0.33397260308265686,10,0.01,10,1
88,0.958299994468689,0.3354882597923279,10,0.01,10,1
89,0.9581999778747559,0.3372756242752075,10,0.01,10,1
90,0.958299994468689,0.3388758897781372,10,0.01,10,1
91,0.9581999778747559,0.34044787287712097,10,0.01,10,1
92,0.9581999778747559,0.34203842282295227,10,0.01,10,1
93,0.958299994468689,0.3435651957988739,10,0.01,10,1
94,0.9585000276565552,0.34514889121055603,10,0.01,10,1
95,0.9585999846458435,0.3467746376991272,10,0.01,10,1
96,0.9587000012397766,0.34824150800704956,10,0.01,10,1
97,0.9587000012397766,0.34979891777038574,10,0.01,10,1
98,0.9585999846458435,0.35131940245628357,10,0.01,10,1
99,0.9585999846458435,0.3528673052787781,10,0.01,10,1
