round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.17090000212192535,2.2212369441986084,10,0.0001,10,1
1,0.300044447183609,1.9385933876037598,10,0.0001,10,1
2,0.33098888397216797,1.829742670059204,10,0.0001,10,1
3,0.3456999957561493,1.7935925722122192,10,0.0001,10,1
4,0.3625110983848572,1.7450847625732422,10,0.0001,10,1
5,0.37006667256355286,1.7144798040390015,10,0.0001,10,1
6,0.37345555424690247,1.7055541276931763,10,0.0001,10,1
7,0.3719777762889862,1.6766592264175415,10,0.0001,10,1
8,0.3777555525302887,1.6705046892166138,10,0.0001,10,1
9,0.3808111250400543,1.6649279594421387,10,0.0001,10,1
10,0.38659998774528503,1.6419564485549927,10,0.0001,10,1
11,0.39568889141082764,1.6263535022735596,10,0.0001,10,1
12,0.40070000290870667,1.6208984851837158,10,0.0001,10,1
13,0.4062666594982147,1.6097098588943481,10,0.0001,10,1
14,0.40424445271492004,1.613291621208191,10,0.0001,10,1
15,0.40787777304649353,1.6103698015213013,10,0.0001,10,1
16,0.41385555267333984,1.5901142358779907,10,0.0001,10,1
17,0.4209555685520172,1.5864713191986084,10,0.0001,10,1
18,0.4228888750076294,1.5855048894882202,10,0.0001,10,1
19,0.41903331875801086,1.5991414785385132,10,0.0001,10,1
20,0.425555557012558,1.5758508443832397,10,0.0001,10,1
21,0.43228888511657715,1.5642763376235962,10,0.0001,10,1
22,0.4297444522380829,1.5648192167282104,10,0.0001,10,1
23,0.4341111183166504,1.5750019550323486,10,0.0001,10,1
24,0.43442222476005554,1.5636552572250366,10,0.0001,10,1
25,0.4356110990047455,1.563712477684021,10,0.0001,10,1
26,0.4368000030517578,1.5545265674591064,10,0.0001,10,1
27,0.4448111057281494,1.535704493522644,10,0.0001,10,1
28,0.4388999938964844,1.5512268543243408,10,0.0001,10,1
29,0.436255544424057,1.5627503395080566,10,0.0001,10,1
30,0.44111111760139465,1.5533965826034546,10,0.0001,10,1
31,0.4409777820110321,1.5536733865737915,10,0.0001,10,1
32,0.44653332233428955,1.5382212400436401,10,0.0001,10,1
33,0.44252222776412964,1.5506776571273804,10,0.0001,10,1
34,0.44503334164619446,1.5509490966796875,10,0.0001,10,1
35,0.4398222267627716,1.5612130165100098,10,0.0001,10,1
36,0.44741111993789673,1.5519202947616577,10,0.0001,10,1
37,0.45177778601646423,1.5374383926391602,10,0.0001,10,1
38,0.44653332233428955,1.5434194803237915,10,0.0001,10,1
39,0.44518887996673584,1.556745171546936,10,0.0001,10,1
40,0.44598889350891113,1.567852258682251,10,0.0001,10,1
41,0.44475555419921875,1.5755685567855835,10,0.0001,10,1
42,0.448377788066864,1.5652248859405518,10,0.0001,10,1
43,0.45019999146461487,1.5656118392944336,10,0.0001,10,1
44,0.4461444318294525,1.578873634338379,10,0.0001,10,1
45,0.44697776436805725,1.58982253074646,10,0.0001,10,1
46,0.45204445719718933,1.5698963403701782,10,0.0001,10,1
47,0.44892221689224243,1.5803614854812622,10,0.0001,10,1
48,0.4507777690887451,1.5783156156539917,10,0.0001,10,1
49,0.4517444372177124,1.5785853862762451,10,0.0001,10,1
50,0.45025554299354553,1.5818586349487305,10,0.0001,10,1
51,0.4493222236633301,1.5870859622955322,10,0.0001,10,1
52,0.45347777009010315,1.5875835418701172,10,0.0001,10,1
53,0.4507666528224945,1.5984604358673096,10,0.0001,10,1
54,0.4527111053466797,1.5925166606903076,10,0.0001,10,1
55,0.4532333314418793,1.5952575206756592,10,0.0001,10,1
56,0.45071110129356384,1.6178765296936035,10,0.0001,10,1
57,0.44918888807296753,1.6242620944976807,10,0.0001,10,1
58,0.45268890261650085,1.6115354299545288,10,0.0001,10,1
59,0.45402222871780396,1.6202552318572998,10,0.0001,10,1
60,0.4491666555404663,1.6417754888534546,10,0.0001,10,1
61,0.4514888823032379,1.6277211904525757,10,0.0001,10,1
62,0.44732221961021423,1.647118091583252,10,0.0001,10,1
63,0.4505000114440918,1.6379345655441284,10,0.0001,10,1
64,0.4560889005661011,1.6257193088531494,10,0.0001,10,1
65,0.4490111172199249,1.6574674844741821,10,0.0001,10,1
66,0.4514999985694885,1.636593222618103,10,0.0001,10,1
67,0.450122207403183,1.653559684753418,10,0.0001,10,1
68,0.4476555585861206,1.664060115814209,10,0.0001,10,1
69,0.447299987077713,1.6725313663482666,10,0.0001,10,1
70,0.4467333257198334,1.6701980829238892,10,0.0001,10,1
71,0.44929999113082886,1.6687285900115967,10,0.0001,10,1
72,0.4487000107765198,1.667069911956787,10,0.0001,10,1
73,0.4511888921260834,1.6729199886322021,10,0.0001,10,1
74,0.44903331995010376,1.6944888830184937,10,0.0001,10,1
75,0.44804444909095764,1.6936702728271484,10,0.0001,10,1
76,0.44377776980400085,1.6987826824188232,10,0.0001,10,1
77,0.4492555558681488,1.7028024196624756,10,0.0001,10,1
78,0.4489666521549225,1.6849390268325806,10,0.0001,10,1
79,0.4485333263874054,1.7085012197494507,10,0.0001,10,1
80,0.4503111243247986,1.7137727737426758,10,0.0001,10,1
81,0.4525555670261383,1.708392858505249,10,0.0001,10,1
82,0.45152223110198975,1.709283471107483,10,0.0001,10,1
83,0.4475777745246887,1.7078335285186768,10,0.0001,10,1
84,0.4472889006137848,1.740256428718567,10,0.0001,10,1
85,0.45258888602256775,1.707437515258789,10,0.0001,10,1
86,0.44824445247650146,1.7248315811157227,10,0.0001,10,1
87,0.4490111172199249,1.7240550518035889,10,0.0001,10,1
88,0.4520888924598694,1.697640061378479,10,0.0001,10,1
89,0.45073333382606506,1.7271286249160767,10,0.0001,10,1
90,0.45010000467300415,1.7394498586654663,10,0.0001,10,1
91,0.4517333209514618,1.7392046451568604,10,0.0001,10,1
