method,seed,accuracy_round5,accuracy_round10,accuracy_round20,best_accuracy,final_accuracy,accuracy_auc_1_20,mean_extra_server_time_seconds,prefix_accuracy_auc_r1,mean_heldout_functional_error_r1,mean_weight_error_r1,mean_reorder_rate_r1,prefix_accuracy_auc_r2,mean_heldout_functional_error_r2,mean_weight_error_r2,mean_reorder_rate_r2,prefix_accuracy_auc_r4,mean_heldout_functional_error_r4,mean_weight_error_r4,mean_reorder_rate_r4,prefix_accuracy_auc_r8,mean_heldout_functional_error_r8,mean_weight_error_r8,mean_reorder_rate_r8
rbla,42,0.8935,0.936,0.9367,0.9393,0.9367,0.9022749999999998,0.0,0.10903,0.9238541573464085,0.9550260611834872,nan,0.169305,0.8430291472052284,0.8867497320557625,nan,0.41489000000000004,0.685330677723605,0.7785658498209823,nan,0.7761999999999998,0.46547265161962603,0.549030979110359,nan
rbla,43,0.9216,0.9232,0.9428,0.9475,0.9428,0.9056749999999999,0.0,0.14943,0.9202917399954764,0.9330319826478357,nan,0.289805,0.8535579734790764,0.873985548251962,nan,0.51772,0.725884108555781,0.7515866942729788,nan,0.7532599999999998,0.48290837727381486,0.5458987119002995,nan
rbla,44,0.9056,0.9331,0.9472,0.9472,0.9472,0.9107749999999999,0.0,0.12135,0.9219315440422132,0.9382256091771654,nan,0.20996000000000006,0.8408575144137572,0.8819671132718554,nan,0.43253,0.6994429117826684,0.8007872804311594,nan,0.76271,0.44718283968764505,0.5439432678124321,nan
rbla_cc_svd,42,0.8674,0.8915,0.9282,0.9343,0.9282,0.8819400000000002,0.0030650599976070224,0.11630499999999999,0.8277590949903602,0.7819653980341091,0.0,0.26363,0.6592441239345459,0.6107407711957591,0.0,0.604365,0.42563017382682933,0.3877228570645571,0.0,0.8624950000000002,0.1879404077874381,0.15481353346925747,0.0
rbla_cc_svd,43,0.8667,0.9182,0.9321,0.9344,0.9321,0.8886799999999997,0.0029937400133349,0.10591500000000001,0.7807922449388007,0.7595925637349392,0.0,0.17289499999999997,0.6313334429572307,0.5904336544579446,0.0,0.5557400000000001,0.3934361563935303,0.36657089286567623,0.0,0.8372999999999999,0.1465366370499538,0.15097990184155913,0.0
rbla_cc_svd,44,0.8448,0.8878,0.9255,0.9255,0.9255,0.8703299999999998,0.002980059996480122,0.07988500000000001,0.815533159312707,0.7838786870179264,0.0,0.23090999999999995,0.6461027965226172,0.6210509940047096,0.0,0.5830799999999999,0.41994590751859545,0.3913740933071677,0.0,0.8722149999999997,0.17939544155533974,0.15932097898520572,0.0
rbla_cc_activation,42,0.8605,0.9249,0.9292,0.9316,0.9292,0.8888149999999999,0.02135534498956986,0.11105499999999999,0.8097474551064927,0.8098838650758994,0.5999999999999999,0.2107799999999999,0.6574549687338264,0.6452543485166956,0.13333333333333333,0.5577799999999999,0.417302127664236,0.41351186922723143,0.14583333333333331,0.86424,0.14041268247016223,0.17521179577423973,0.10833333333333332
rbla_cc_activation,43,0.8795,0.9036,0.939,0.939,0.939,0.884855,0.02167443999205716,0.11796499999999999,0.7602529400397653,0.7912231523204075,0.5000000000000001,0.14218999999999998,0.596071082189056,0.6365160495655529,0.30833333333333324,0.50793,0.3612934596594599,0.4042755494473241,0.17083333333333325,0.8522000000000001,0.13295915101926006,0.16710021142202575,0.07291666666666667
rbla_cc_activation,44,0.847,0.8944,0.9279,0.9281,0.9279,0.8766700000000001,0.022279664996312933,0.09268999999999998,0.801790357037534,0.7961163102434989,0.4333333333333334,0.21815500000000002,0.6378237224959392,0.6553311409053534,0.17499999999999993,0.6047499999999999,0.39081258183448797,0.4272372418364675,0.21666666666666665,0.8672449999999999,0.15268559087044903,0.18077229638779208,0.12083333333333332
