method,n,accuracy_round5_mean,accuracy_round5_std,accuracy_round10_mean,accuracy_round10_std,accuracy_round20_mean,accuracy_round20_std,best_accuracy_mean,best_accuracy_std,final_accuracy_mean,final_accuracy_std,accuracy_auc_1_20_mean,accuracy_auc_1_20_std,mean_extra_server_time_seconds_mean,mean_extra_server_time_seconds_std,prefix_accuracy_auc_r1_mean,prefix_accuracy_auc_r1_std,mean_heldout_functional_error_r1_mean,mean_heldout_functional_error_r1_std,mean_weight_error_r1_mean,mean_weight_error_r1_std,mean_reorder_rate_r1_mean,mean_reorder_rate_r1_std,prefix_accuracy_auc_r2_mean,prefix_accuracy_auc_r2_std,mean_heldout_functional_error_r2_mean,mean_heldout_functional_error_r2_std,mean_weight_error_r2_mean,mean_weight_error_r2_std,mean_reorder_rate_r2_mean,mean_reorder_rate_r2_std,prefix_accuracy_auc_r4_mean,prefix_accuracy_auc_r4_std,mean_heldout_functional_error_r4_mean,mean_heldout_functional_error_r4_std,mean_weight_error_r4_mean,mean_weight_error_r4_std,mean_reorder_rate_r4_mean,mean_reorder_rate_r4_std,prefix_accuracy_auc_r8_mean,prefix_accuracy_auc_r8_std,mean_heldout_functional_error_r8_mean,mean_heldout_functional_error_r8_std,mean_weight_error_r8_mean,mean_weight_error_r8_std,mean_reorder_rate_r8_mean,mean_reorder_rate_r8_std
rbla,3,0.9068999999999999,0.014095034586690456,0.9307666666666666,0.006711433031278309,0.9422333333333333,0.00527288662246152,0.9446666666666667,0.00465008960487143,0.9422333333333333,0.00527288662246152,0.9062416666666665,0.0042782395133201204,0.0,0.0,0.12660333333333335,0.02070599269132812,0.9220258137946994,0.001783078639665361,0.9420945510028295,0.011496147432765513,nan,0.0,0.22302333333333335,0.06130294045421745,0.8458148783660207,0.006793058125220084,0.88090079785986,0.006448555533039559,nan,0.0,0.45504666666666665,0.05498865731524392,0.7035525660206847,0.020586697926866643,0.7769799415083735,0.024638602810612892,nan,0.0,0.7640566666666665,0.011529138447140472,0.4651879561936953,0.017864470257171562,0.5462909862743636,0.0025664393527168924,nan,0.0
rbla_cc_svd,3,0.8596333333333334,0.01285081060997061,0.8991666666666666,0.01658684217484852,0.9286,0.003318132004607436,0.9314,0.005109794516416501,0.9286,0.003318132004607436,0.8803166666666665,0.009282081303960485,0.003012953335807348,4.564114227553876e-05,0.10070166666666668,0.018761349453952747,0.808028166413956,0.02436626643023392,0.7751455495956584,0.013503210565332,0.0,0.0,0.2224783333333333,0.04595138527110291,0.6455601211381312,0.01396325179118608,0.6074084732194711,0.015578303103437018,0.0,0.0,0.5810616666666667,0.02437525196450964,0.4130040792463183,0.017182998121551128,0.38188928107913367,0.013391140527172525,0.0,0.0,0.8573366666666665,0.01802000578061317,0.1712908287975772,0.021859359981150083,0.1550381380986741,0.004175072144135051,0.0,0.0
rbla_cc_activation,3,0.8623333333333333,0.016327379867367965,0.9076333333333334,0.015644913976539943,0.9320333333333334,0.006068223243531265,0.9329000000000001,0.0055650696311905674,0.9320333333333334,0.006068223243531265,0.8834466666666666,0.006193771737264166,0.021769816659313313,0.00046948312025998126,0.10723666666666665,0.013062968970847837,0.7905969173945974,0.02657812208758693,0.799074442546602,0.009675663293942193,0.5111111111111112,0.083887049280786,0.19037499999999996,0.04189204369567089,0.6304499244729405,0.031349243289085844,0.6457005129958673,0.009415477289448214,0.2055555555555555,0.0914137926216907,0.55682,0.04841713849454546,0.38980272305272795,0.028017986793962037,0.41500822017034106,0.011553749562463278,0.17777777777777773,0.03592365876771546,0.8612283333333334,0.007961821922985488,0.14201914145329045,0.00996085539243488,0.1743614345280192,0.006875595429821969,0.10069444444444443,0.024854903011351768
