communication_round,internal_round,method,seed,global_test_accuracy,global_test_loss,training_loss,aggregation_time_seconds,aggregation_core_time_seconds,canonicalization_time_seconds,activation_collection_time_seconds,heldout_activation_collection_time_seconds,activation_score_time_seconds,full_rank_probe_relative_error,maximum_core_reconstruction_error,extra_server_time_seconds,prefix_test_accuracy_r1,prefix_test_loss_r1,prefix_test_accuracy_r2,prefix_test_loss_r2,prefix_test_accuracy_r4,prefix_test_loss_r4,prefix_test_accuracy_r8,prefix_test_loss_r8,mean_functional_error_calibration_r1,weighted_functional_error_calibration_r1,mean_functional_error_heldout_r1,weighted_functional_error_heldout_r1,mean_weight_error_r1,weighted_weight_error_r1,mean_overlap_r1,mean_reorder_rate_r1,mean_functional_error_calibration_r2,weighted_functional_error_calibration_r2,mean_functional_error_heldout_r2,weighted_functional_error_heldout_r2,mean_weight_error_r2,weighted_weight_error_r2,mean_overlap_r2,mean_reorder_rate_r2,mean_functional_error_calibration_r4,weighted_functional_error_calibration_r4,mean_functional_error_heldout_r4,weighted_functional_error_heldout_r4,mean_weight_error_r4,weighted_weight_error_r4,mean_overlap_r4,mean_reorder_rate_r4,mean_functional_error_calibration_r8,weighted_functional_error_calibration_r8,mean_functional_error_heldout_r8,weighted_functional_error_heldout_r8,mean_weight_error_r8,weighted_weight_error_r8,mean_overlap_r8,mean_reorder_rate_r8,total_round_time_seconds
1,0,rbla_cc_activation,44,0.7088,1.0796624316215515,0.7639030244309873,0.017605600063689053,0.006256799912080169,0.009850900038145483,0.023649899987503886,0.09910009999293834,0.0014390998985618353,5.68080730168418e-07,4.161780964295758e-07,0.03350080002564937,0.1064,193.8291260986328,0.2307,35.01437086181641,0.6468,4.063996279525757,0.6996,1.2121152382850646,0.35643240362823664,0.6323093703393791,0.3651038525462336,0.6515537962341301,0.38194640546519865,0.5062413962960799,1.0,0.0,0.20484637882614554,0.3372992507757403,0.20556116175430683,0.3355648984525586,0.3026890833927876,0.3422450422130014,0.6666666666666666,0.33333333333333337,0.03302815138876009,0.036808084232233,0.03184058730006989,0.035735022533463154,0.07266541451864629,0.06306959949283843,0.9166666666666666,0.08333333333333337,0.00014043197863781415,0.00016200943822897873,0.00012801881561384538,0.00014828950069794132,0.0007707992725704049,0.0008051502116990949,0.9583333333333334,0.04166666666666663,16.243399799917825
2,1,rbla_cc_activation,44,0.8155,0.6179157332420349,0.8690820776871577,0.011659099953249097,0.006238600006327033,0.00426979991607368,0.0165671999566257,0.07670400000642985,0.0013681001728400588,7.49706002342845e-07,7.319437713704247e-07,0.02083699987269938,0.0772,240.99119213867186,0.2486,34.80654172363281,0.77,2.7571777851104735,0.8146,0.7093641846179962,0.5014927979088608,0.6595420695221739,0.5144083610168312,0.671574983803027,0.5330171484214116,0.6575783260923749,1.0,0.0,0.34737983946524326,0.4769912457699978,0.3509610308728175,0.47510108067224677,0.3484971786549136,0.48118764802509145,0.8333333333333334,0.16666666666666663,0.13076507026668682,0.1956181121172142,0.1283662322390142,0.18710154424024955,0.1504918288700675,0.2030908149396345,0.8333333333333334,0.16666666666666663,0.004953880276889214,0.008901727939575579,0.004532997779988261,0.008048101970683817,0.006028547626816091,0.009557213648986207,0.9583333333333334,0.04166666666666663,16.122994599980302
3,2,rbla_cc_activation,44,0.8304,0.5360832266807556,1.2806805624752435,0.011086600017733872,0.00610999995842576,0.004135399940423667,0.02480919996742159,0.10022919997572899,0.00119600014295429,7.595369944194701e-07,7.048010388643888e-07,0.02894459990784526,0.1926,95.47509278564453,0.3366,16.01557582092285,0.7183,3.4814590618133545,0.8299,0.6193174424648284,0.6230912578207597,0.7319477169783696,0.6363822899730522,0.7419985816767506,0.6104112810332034,0.7041674115444296,1.0,0.0,0.4592119151351956,0.5591607388296719,0.4729684917572306,0.5642658783969857,0.4837862162779096,0.6081840555003705,0.6666666666666666,0.33333333333333337,0.19704992818069167,0.2668931856722652,0.1932756285282643,0.2569438538137922,0.21922027574377687,0.28494314080730454,0.8333333333333334,0.16666666666666663,0.022854033477449093,0.04261864716242267,0.022684347570783595,0.04221659125114571,0.022264750514460002,0.042476893317809856,0.9166666666666666,0.08333333333333337,16.41498080000747
4,3,rbla_cc_activation,44,0.8433,0.46238687748908996,0.5080047913802247,0.011875799973495305,0.0063084999565035105,0.004238800029270351,0.016483699902892113,0.07658340001944453,0.0013481000205501914,5.592727149353354e-07,5.335410264706297e-07,0.020722499932162464,0.1037,100.05866022949219,0.2742,27.39608826904297,0.6482,3.662281127166748,0.845,0.5457917041301728,0.6415650944212157,0.7520912559674916,0.6537222605217595,0.7601691103228186,0.6570826780206976,0.7359861562299452,1.0,0.0,0.45748662135657253,0.5800427837276804,0.4692680989661077,0.5905571996968819,0.5638991748208517,0.6556642531511147,0.5,0.5,0.21951811268599883,0.3008137764764816,0.2194000593118993,0.2951514256894081,0.27411326024232546,0.34848207849545493,0.8333333333333334,0.16666666666666663,0.033431421940391934,0.06100046197663759,0.032579086768638486,0.05897662325443796,0.048468946930090025,0.09015143150066475,0.9166666666666666,0.08333333333333337,16.251358599984087
5,4,rbla_cc_activation,44,0.847,0.4579627553462982,0.5669209074647621,0.011471900041215122,0.006151000037789345,0.00418580009136349,0.017230400000698864,0.07773459993768483,0.0012197999749332666,6.567898119093276e-07,6.819371947131003e-07,0.021416200092062354,0.1041,149.76363996582032,0.3088,27.168644311523437,0.7619,1.9980354602813721,0.8554,0.5511742838859558,0.6551329336858046,0.7698410081262188,0.6651167542746298,0.7765089192753457,0.6922160624512793,0.761921328522857,1.0,0.0,0.47961275026758265,0.5956100758019971,0.48829074293987257,0.600373091565939,0.5729807160549771,0.6161899071593562,0.6666666666666666,0.33333333333333337,0.2589423836077454,0.3432384523795569,0.2607672528127714,0.3417464804447725,0.3171357173941763,0.39779351209128133,0.8333333333333334,0.16666666666666663,0.05160540124778166,0.0944103010972803,0.05050219300952261,0.09181848429036223,0.061341698713985336,0.11210797011694351,0.9583333333333334,0.04166666666666663,16.138035999960266
6,5,rbla_cc_activation,44,0.8571,0.4058447850704193,0.9951692849179785,0.011394700035452843,0.006211299914866686,0.004061000072397292,0.016523600090295076,0.07768009998835623,0.0013014000141993165,6.343844842697524e-07,6.741498168594262e-07,0.020584600162692368,0.0848,288.7633199951172,0.1982,64.48913439941406,0.6768,5.607734796142578,0.8529,0.5398687663078308,0.6658504381661314,0.7902539292328764,0.6741725518171134,0.795394453052891,0.7188731420676618,0.7833798911941399,1.0,0.0,0.5273090112084554,0.6351325532894667,0.5344496971599213,0.6387171779311633,0.5828692816776401,0.6463007552948206,0.8333333333333334,0.16666666666666663,0.2941733237954351,0.3861134073824258,0.29195255093280664,0.3820619230379387,0.3328156208369803,0.4258252195081063,0.8333333333333334,0.16666666666666663,0.06662635453976239,0.12288246966051967,0.06620483474945972,0.12164391198228586,0.07911157824266027,0.14319049348787835,0.9583333333333334,0.04166666666666663,16.15710750001017
7,6,rbla_cc_activation,44,0.8625,0.4069925133228302,1.7143481971415682,0.010401700041256845,0.005484300083480775,0.0037698999512940645,0.016844799974933267,0.08173019997775555,0.001113699865527451,9.797300743829533e-07,8.803037871984998e-07,0.02061469992622733,0.1028,515.8305608398438,0.1954,33.64222716064453,0.7208,3.3158665725708008,0.8666,0.4879418846607208,0.6873205782893618,0.8073979134295729,0.6901083955597264,0.8087854558385885,0.8204646672662719,0.8542623742467212,0.6666666666666666,0.33333333333333337,0.5245985056989465,0.6403354565146115,0.5307972930131019,0.6440192265151872,0.6009550140033285,0.6691143466589721,0.8333333333333334,0.16666666666666663,0.30278739747695443,0.4038318470415101,0.3052561389110227,0.4045395279823296,0.37153808468278376,0.45214438078271196,0.6666666666666666,0.33333333333333337,0.08541231095199207,0.15309783280240769,0.08468971843799344,0.15220840268339167,0.09571355208149368,0.16952693244280567,0.9583333333333334,0.04166666666666663,15.768866200000048
8,7,rbla_cc_activation,44,0.8793,0.3505631850242615,1.1048878889546871,0.011809300049208105,0.006078399950638413,0.00459889997728169,0.016610399936325848,0.07339919998776168,0.0013861999614164233,9.373996376771358e-07,9.658622275310336e-07,0.021209299913607538,0.0691,631.1631312988281,0.2218,23.9065983001709,0.6625,3.839971684265137,0.8705,0.49224950461387634,0.7107290085566934,0.8259092398104672,0.7144448219580902,0.8285491791194483,0.7521508245880342,0.8080298589522497,1.0,0.0,0.5678349771532442,0.6782774841460357,0.56556576709155,0.6763123551697588,0.559578622428428,0.6450278227595468,1.0,0.0,0.3419602259986818,0.4445579885007813,0.3441149779347868,0.44856065196494965,0.3872664301424052,0.4661426424210042,0.6666666666666666,0.33333333333333337,0.09578209700761237,0.16232448805902705,0.09792861746845594,0.16831163688885886,0.11603922762740441,0.18974322031124993,0.875,0.125,16.905012600007467
9,8,rbla_cc_activation,44,0.8926,0.30366517992019654,4.106622657754917,0.01132379996124655,0.005826700013130903,0.004229499958455563,0.01582070009317249,0.08238449995405972,0.0013857000740244985,7.703599344165679e-07,5.647194143421075e-07,0.020050200051628053,0.0643,742.4732312988281,0.1581,27.718229803466798,0.6893,4.9170655944824215,0.8699,0.49104889113903044,0.7292330801335236,0.8285409510554171,0.7325429782007732,0.831652334808841,0.7643907474125942,0.81616379651439,1.0,0.0,0.5701704450421538,0.6745198352842775,0.5701276947693682,0.6750753140940738,0.6309395813029571,0.6992632037755038,0.8333333333333334,0.16666666666666663,0.33517607542375044,0.43471551980497813,0.3361291882300433,0.43772494390350947,0.4014847964554926,0.47939152966679516,0.6666666666666666,0.33333333333333337,0.09893154654389812,0.16479893685353492,0.09980932739602372,0.16807401808980257,0.11369285027839883,0.19932013090683023,0.9166666666666666,0.08333333333333337,17.90616739995312
10,9,rbla_cc_activation,44,0.8944,0.30034769084453583,4.057974966824988,0.01118759997189045,0.006035799975506961,0.0041464000241830945,0.02182379993610084,0.09374569996725768,0.0013279999839141965,7.979171406690718e-07,7.596949558319466e-07,0.025970199960283935,0.0328,892.70011328125,0.1635,34.690192013549805,0.6706,5.155824806213379,0.8743,0.48710177178382874,0.7574588114403301,0.8360576910373501,0.7608301963803611,0.8388042836079094,0.7733806624313605,0.8214637833418369,1.0,0.0,0.5852564739085039,0.6844728393094738,0.5844332474594717,0.6855633392675747,0.6414745443975508,0.7078368349560713,0.8333333333333334,0.16666666666666663,0.3449558076904353,0.4461207583805184,0.3440375083184932,0.44679181452498923,0.4067864812064162,0.47643447809674816,0.75,0.25,0.1075515274264378,0.1775930638019065,0.10938879939973316,0.18421545629793032,0.11778844989581662,0.20687755243607492,0.9166666666666666,0.08333333333333337,16.987049699993804
