round,selected_clients,weight_divergence,loss
0,client.1@group-1;client.10@group-1,0.330575,0.669425
1,,0.330575,0.669425
2,client.1@group-1;client.8@group-1,0.363961,0.636039
3,,0.363961,0.636039
4,client.5@group-1;client.7@group-1,0.460139,0.539861
5,,0.460139,0.539861
6,client.2@group-1;client.4@group-1,0.476895,0.523105
7,,0.476895,0.523105
8,client.8@group-1;client.9@group-1,0.549200,0.450800
9,,0.549200,0.450800
10,client.7@group-1;client.8@group-1,0.507525,0.492475
11,,0.507525,0.492475
12,client.1@group-1;client.2@group-1,0.406375,0.593625
13,,0.406375,0.593625
14,client.7@group-1;client.8@group-1,0.473839,0.526161
15,,0.473839,0.526161
16,client.2@group-1;client.6@group-1,0.551332,0.448668
17,,0.551332,0.448668
18,client.5@group-1;client.8@group-1,0.494624,0.505376
19,,0.494624,0.505376
20,client.1@group-1;client.2@group-1,0.385010,0.614990
21,,0.385010,0.614990
22,client.7@group-1;client.8@group-1,0.466492,0.533508
23,,0.466492,0.533508
24,client.5@group-1;client.6@group-1,0.539264,0.460736
25,,0.539264,0.460736
26,client.2@group-1;client.8@group-1,0.391676,0.608324
27,,0.391676,0.608324
28,client.5@group-1;client.7@group-1,0.449063,0.550937
29,,0.449063,0.550937
30,client.1@group-1;client.4@group-1,0.420364,0.579636
31,,0.420364,0.579636
32,client.7@group-1;client.8@group-1,0.381516,0.618484
33,,0.381516,0.618484
34,client.5@group-1;client.6@group-1,0.531473,0.468527
35,,0.531473,0.468527
36,client.2@group-1;client.4@group-1,0.571044,0.428956
37,,0.571044,0.428956
38,client.6@group-1;client.7@group-1,0.696527,0.303473
39,,0.696527,0.303473
40,client.2@group-1;client.5@group-1,0.543365,0.456635
41,,0.543365,0.456635
42,client.4@group-1;client.8@group-1,0.596731,0.403269
43,,0.596731,0.403269
44,client.3@group-1;client.7@group-1,0.484221,0.515779
45,,0.484221,0.515779
46,client.5@group-1;client.6@group-1,0.587567,0.412433
47,,0.587567,0.412433
48,client.4@group-1;client.5@group-1,0.569254,0.430746
49,,0.569254,0.430746
50,client.3@group-1;client.8@group-1,0.624966,0.375034
51,,0.624966,0.375034
52,client.6@group-1;client.7@group-1,0.630922,0.369078
53,,0.630922,0.369078
54,client.4@group-1;client.5@group-1,0.581714,0.418286
55,,0.581714,0.418286
56,client.3@group-1;client.8@group-1,0.663134,0.336866
57,,0.663134,0.336866
58,client.6@group-1;client.7@group-1,0.614953,0.385047
59,,0.614953,0.385047
60,client.4@group-1;client.5@group-1,0.574456,0.425544
61,,0.574456,0.425544
62,client.3@group-1;client.8@group-1,0.628776,0.371224
63,,0.628776,0.371224
64,client.6@group-1;client.7@group-1,0.582466,0.417534
65,,0.582466,0.417534
66,client.5@group-1;client.7@group-1,0.552939,0.447061
67,,0.552939,0.447061
68,client.4@group-1;client.8@group-1,0.452471,0.547529
69,,0.452471,0.547529
70,client.3@group-1;client.7@group-1,0.460568,0.539432
71,,0.460568,0.539432
72,client.7@group-1;client.8@group-1,0.522104,0.477896
73,,0.522104,0.477896
74,client.5@group-1;client.7@group-1,0.376320,0.623680
75,,0.376320,0.623680
76,client.4@group-1;client.7@group-1,0.430593,0.569407
77,,0.430593,0.569407
78,client.7@group-1;client.8@group-1,0.416210,0.583790
79,,0.416210,0.583790
80,client.5@group-1;client.7@group-1,0.403829,0.596171
81,,0.403829,0.596171
82,client.7@group-1;client.8@group-1,0.379577,0.620423
83,,0.379577,0.620423
84,client.2@group-1;client.7@group-1,0.397578,0.602422
85,,0.397578,0.602422
86,client.5@group-1;client.8@group-1,0.498850,0.501150
87,,0.498850,0.501150
88,client.4@group-1;client.7@group-1,0.473897,0.526103
89,,0.473897,0.526103
90,client.7@group-1;client.8@group-1,0.489456,0.510544
91,,0.489456,0.510544
92,client.5@group-1;client.7@group-1,0.407774,0.592226
93,,0.407774,0.592226
94,client.4@group-1;client.8@group-1,0.447092,0.552908
95,,0.447092,0.552908
96,client.3@group-1;client.7@group-1,0.422938,0.577062
97,,0.422938,0.577062
98,client.5@group-1;client.8@group-1,0.598561,0.401439
99,,0.598561,0.401439
100,client.4@group-1;client.7@group-1,0.495508,0.504492
