method,checkpoint,retained_rank_ratio,accuracy,average_loss,macro_f1,mcc,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.1,0.4317,1.8383484964370727,0.34819362103482926,0.40677332499527774,0.7826530612244897,0.9709251101321585,0.9612403100775194,0.6792079207920793,0.3075356415478615,0.013452914798206279,0.0,0.39980544747081714,0.04620123203285421,0.0
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.2,0.7136,0.9364389332771301,0.6720195715274662,0.691953299827094,0.9775510204081632,0.9876651982378855,0.9195736434108527,0.9118811881188119,0.9175152749490835,0.5997757847533632,0.6659707724425887,0.6293774319066148,0.4784394250513347,0.0
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.3,0.8427,0.6724449327468872,0.8045958856198251,0.8326416501714917,0.9744897959183674,0.9894273127753304,0.9496124031007752,0.9514851485148514,0.9653767820773931,0.922645739910314,0.9394572025052192,0.853112840466926,0.8829568788501027,0.0
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.4,0.8417,0.5886061952590942,0.8039624090726495,0.8314702062823416,0.9714285714285714,0.9929515418502203,0.9631782945736435,0.9693069306930693,0.9694501018329938,0.9316143497757847,0.9467640918580376,0.8482490272373541,0.8172484599589322,0.006937561942517344
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.5,0.8542,0.4978226219177246,0.8205846964450169,0.8449422505241185,0.9744897959183674,0.9938325991189427,0.9670542635658915,0.9683168316831683,0.9765784114052953,0.9540358744394619,0.964509394572025,0.8900778210116731,0.8090349075975359,0.04558969276511397
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.6,0.875,0.38805764379501345,0.85328373485226,0.8660869302785486,0.9795918367346939,0.9920704845814978,0.9680232558139535,0.9653465346534653,0.9775967413441955,0.9405829596412556,0.964509394572025,0.9357976653696498,0.8490759753593429,0.17641228939544104
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.7,0.8669,0.4274677771568298,0.8396228949671496,0.8577427520981274,0.9846938775510204,0.9947136563876652,0.9738372093023255,0.9673267326732673,0.9786150712830958,0.9428251121076233,0.9634655532359081,0.9328793774319066,0.811088295687885,0.11793855302279485
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.8,0.8583,0.4771044550895691,0.8257621811365942,0.848911114473658,0.9846938775510204,0.9938325991189427,0.9709302325581395,0.9683168316831683,0.9786150712830958,0.9473094170403588,0.9624217118997912,0.9348249027237354,0.7731006160164271,0.06739345887016848
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.9,0.8547,0.497456058883667,0.8203521252412849,0.8452491161825002,0.986734693877551,0.9947136563876652,0.9728682170542635,0.9712871287128713,0.9806517311608961,0.9495515695067265,0.9603340292275574,0.9319066147859922,0.74435318275154,0.05252725470763132
p10_p10_freeze_q_power_t42_r42,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,1.0,0.8529,0.5130680356025695,0.817433909740557,0.8434041564428294,0.9877551020408163,0.9947136563876652,0.9748062015503876,0.9702970297029703,0.9806517311608961,0.9551569506726457,0.9572025052192067,0.9289883268482491,0.7340862422997947,0.04360753221010902
