training_seed,rank_seed,q050_last5_accuracy,population_last5_accuracy,accuracy_delta_q050_minus_population,f1_delta_q050_minus_population,mcc_delta_q050_minus_population,loss_delta_q050_minus_population
42,42,0.72106,0.71618,0.0048799999999999955,0.00423266833041025,0.009850175404188977,-0.11318831485748293
42,43,0.68204,0.68042,0.0016199999999999548,0.005858475244934325,0.009453359461163435,-0.12552843378067036
42,44,0.69698,0.73984,-0.04286000000000001,-0.05730840720857466,-0.03828764075476543,-0.05382937870025617
43,42,0.74202,0.6729,0.06911999999999996,0.05736445144651836,0.07458706008645466,-0.18497048883438105
43,43,0.6387,0.60382,0.03488000000000002,0.05098115914795309,0.03625284686468344,-0.11100418687820457
43,44,0.73032,0.6792,0.05111999999999994,0.055326646049957406,0.05636253390378476,-0.08959718404769901
44,42,0.69258,0.68654,0.006039999999999934,-0.0013779001295924909,0.01375694270479244,-0.15400393751144414
44,43,0.57296,0.64468,-0.07172,-0.09443248987070518,-0.053740608475358775,0.01389971755981434
44,44,0.68488,0.67892,0.005960000000000076,0.007257511937130423,0.014373912003872613,-0.10044461227417001
