experiment,scaling_type,training_seed,rank_seed,last5_accuracy,last5_macro_f1,tail_energy_ratio,tail_label_entropy,tail_risk,best_truncation_ratio,posthoc_accuracy_gain,posthoc_macro_f1_gain,highest_risk_layer,highest_risk_slot,highest_risk_relative_slot,highest_risk_score,highest_risk_eligible_clients,highest_risk_eligible_labels,lowest_support,lowest_support_eligible_clients,lowest_support_eligible_labels,lowest_recall_classes,most_overpredicted_classes,full_per_class_recall,full_confusion_matrix,checkpoint,slot_coverage_json
p9_q050_t44_r43,q_power,44,43,0.57296,0.5255697916180426,0.21052925586700438,0.6817490699773127,0.04651718423087183,0.8,0.09289999999999998,0.1027199121913498,_fc2,153,0.9625,0.08209127652667579,client.5,4;5,1,client.5,4;5,9:0.042616;2:0.140504;3:0.144554,5:+2448;4:+731;6:+153,"[0.6908163265306122, 0.9629955947136564, 0.14050387596899225, 0.14455445544554454, 0.9460285132382892, 0.9708520179372198, 0.8757828810020877, 0.7042801556420234, 0.23921971252566734, 0.04261645193260654]","[[677, 0, 0, 1, 0, 277, 24, 1, 0, 0], [0, 1093, 0, 14, 5, 15, 3, 0, 5, 0], [83, 4, 145, 113, 76, 357, 209, 6, 39, 0], [2, 5, 1, 146, 3, 844, 0, 6, 1, 2], [3, 16, 7, 0, 929, 2, 15, 3, 1, 6], [9, 0, 0, 3, 1, 866, 4, 2, 6, 1], [29, 2, 5, 0, 51, 23, 839, 0, 9, 0], [3, 60, 1, 5, 66, 162, 0, 724, 0, 7], [4, 20, 2, 48, 43, 607, 16, 1, 233, 0], [7, 82, 7, 0, 539, 187, 1, 143, 0, 43]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r43_-train-20260715_221207-6ca3a48df8eb60da-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r43_-train-20260715_221207-6ca3a48df8eb60da-round0030_slot_coverage_final.json
p9_q050_t44_r44,q_power,44,44,0.68488,0.6630635829935829,0.21063059369723003,0.7465575422996782,0.03716346789975067,0.7,0.05009999999999992,0.06140657972129715,_fc2,154,0.96875,0.07775925561594416,client.5,4;5,1,client.5,4;5,3:0.214851;2:0.281977;9:0.461843,5:+1087;4:+486;8:+308,"[0.7663265306122449, 0.9400881057268723, 0.2819767441860465, 0.21485148514851485, 0.9185336048879837, 0.9013452914798207, 0.8716075156576201, 0.8511673151750972, 0.7546201232032854, 0.4618434093161546]","[[751, 0, 6, 0, 0, 194, 15, 2, 12, 0], [0, 1067, 0, 5, 7, 8, 3, 1, 43, 1], [125, 3, 291, 2, 81, 86, 98, 16, 328, 2], [10, 5, 2, 217, 7, 662, 2, 43, 56, 6], [2, 3, 7, 0, 902, 0, 35, 0, 2, 31], [3, 2, 2, 12, 3, 804, 7, 4, 54, 1], [16, 1, 24, 0, 15, 21, 835, 0, 46, 0], [8, 13, 1, 2, 69, 12, 0, 875, 5, 43], [12, 6, 5, 8, 22, 165, 7, 9, 735, 5], [12, 18, 0, 1, 362, 27, 3, 119, 1, 466]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r44_-train-20260715_221936-8c0dae35a82447ce-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r44_-train-20260715_221936-8c0dae35a82447ce-round0030_slot_coverage_final.json
p9_population_t42_r42,population,42,42,0.71618,0.7105770280665167,0.19458475112915039,0.8166309149344894,0.014799762208395052,0.9,0.0026000000000000467,0.0016372996726934375,_fc2,132,0.83125,0.02150907196426566,client.2;client.6,1;2;5;6,1,client.6,5;6,2:0.521318;8:0.522587;5:0.580717,3:+478;4:+272;5:+147,"[0.6683673469387755, 0.9533039647577093, 0.5213178294573644, 0.8821782178217822, 0.8472505091649695, 0.5807174887892377, 0.7839248434237995, 0.7344357976653697, 0.5225872689938398, 0.645193260654113]","[[655, 0, 42, 7, 7, 221, 23, 0, 21, 4], [0, 1082, 3, 32, 8, 2, 1, 1, 6, 0], [9, 60, 538, 94, 57, 84, 95, 6, 81, 8], [0, 2, 3, 891, 3, 82, 5, 5, 14, 5], [0, 6, 9, 2, 832, 1, 13, 5, 0, 114], [7, 11, 31, 213, 6, 518, 16, 13, 68, 9], [18, 5, 103, 2, 53, 5, 751, 0, 21, 0], [1, 33, 6, 52, 29, 16, 1, 755, 0, 135], [13, 59, 82, 166, 26, 99, 15, 2, 509, 3], [3, 16, 9, 29, 233, 11, 3, 52, 2, 651]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_1_00_-train-20260715_205756-2416eab36ca0108d-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_1_00_-train-20260715_205756-2416eab36ca0108d-round0030_slot_coverage_final.json
p9_population_t42_r43,population,42,43,0.68042,0.6588770847780594,0.20477557331323623,0.7153082627926745,0.0260918972774328,1.0,0.0,0.0,_fc2,90,0.56875,0.03750740867653684,client.1;client.3;client.4;client.5;client.6,0;1;2;3;4;5;6,1,client.5,4;5,5:0.258969;4:0.331976;3:0.641584,8:+592;2:+481;1:+270,"[0.8377551020408164, 0.9814977973568282, 0.6802325581395349, 0.6415841584158416, 0.3319755600814664, 0.2589686098654709, 0.7118997912317327, 0.7947470817120622, 0.8521560574948666, 0.6977205153617443]","[[821, 0, 93, 2, 0, 3, 8, 10, 40, 3], [1, 1114, 2, 1, 3, 0, 3, 0, 10, 1], [19, 23, 702, 3, 6, 4, 58, 17, 190, 10], [46, 59, 14, 648, 3, 50, 7, 24, 131, 28], [0, 11, 286, 0, 326, 0, 11, 5, 10, 333], [101, 55, 30, 84, 5, 231, 13, 63, 281, 29], [11, 6, 201, 0, 1, 1, 682, 3, 52, 1], [2, 41, 38, 0, 9, 0, 1, 817, 4, 116], [16, 53, 34, 11, 9, 8, 3, 5, 830, 5], [3, 43, 113, 2, 75, 7, 3, 41, 18, 704]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030_slot_coverage_final.json
p9_population_t42_r44,population,42,44,0.73984,0.7351092032863001,0.19356313596169153,0.7828862417285285,0.017820173507245116,1.0,0.0,0.0,_fc2,135,0.85,0.02263401273960316,client.5;client.9,4;5;8;9,1,client.5,4;5,5:0.545964;2:0.562016;9:0.566898,4:+309;3:+202;8:+152,"[0.7877551020408163, 0.9303964757709251, 0.562015503875969, 0.8287128712871287, 0.860488798370672, 0.5459641255605381, 0.7693110647181628, 0.7859922178988327, 0.7094455852156057, 0.5668979187314173]","[[772, 0, 71, 15, 3, 46, 43, 5, 25, 0], [0, 1056, 8, 48, 3, 3, 0, 0, 16, 1], [8, 18, 580, 45, 44, 36, 112, 9, 176, 4], [7, 9, 9, 837, 2, 63, 4, 17, 53, 9], [0, 7, 23, 1, 845, 4, 17, 4, 0, 81], [27, 12, 26, 159, 8, 487, 18, 20, 130, 5], [13, 3, 148, 0, 23, 4, 737, 0, 30, 0], [0, 38, 14, 37, 32, 29, 1, 808, 1, 68], [18, 39, 45, 59, 39, 66, 13, 0, 691, 4], [3, 17, 13, 11, 292, 24, 10, 63, 4, 572]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r44_-train-20260716_150311-61223283cf495c32-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r44_-train-20260716_150311-61223283cf495c32-round0030_slot_coverage_final.json
p9_population_t43_r42,population,43,42,0.6729,0.6767213573640947,0.18486551940441132,0.8096618163054855,0.014324138000066204,1.0,0.0,0.0,_fc2,129,0.8125,0.021169622382814977,client.2;client.6,1;2;5;6,1,client.6,5;6,6:0.485386;5:0.491031;8:0.544148,2:+737;3:+482;8:+173,"[0.7663265306122449, 0.8352422907488987, 0.7800387596899225, 0.8168316831683168, 0.7036659877800407, 0.4910313901345291, 0.48538622129436326, 0.6673151750972762, 0.5441478439425051, 0.6194251734390486]","[[751, 0, 127, 38, 0, 14, 7, 1, 42, 0], [0, 948, 8, 132, 0, 4, 1, 0, 40, 2], [6, 7, 805, 19, 9, 0, 5, 7, 169, 5], [17, 2, 25, 825, 2, 62, 3, 23, 45, 6], [0, 5, 143, 3, 691, 0, 6, 4, 0, 130], [16, 8, 38, 194, 0, 438, 3, 10, 182, 3], [20, 2, 316, 6, 12, 2, 465, 0, 134, 1], [0, 10, 46, 64, 18, 4, 0, 686, 0, 200], [8, 45, 173, 141, 1, 58, 1, 11, 530, 6], [3, 9, 88, 70, 159, 4, 1, 45, 5, 625]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r42_-train-20260716_145126-336850c74e789300-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r42_-train-20260716_145126-336850c74e789300-round0030_slot_coverage_final.json
p9_population_t43_r43,population,43,43,0.60382,0.5802762667416683,0.1943500394622485,0.7139563796077582,0.02425413148576031,1.0,0.0,0.0,_fc2,81,0.5125,0.026826374120067997,client.1;client.3;client.4;client.5;client.6,0;1;2;3;4;5;6,1,client.5,4;5,4:0.047862;7:0.364786;5:0.436099,9:+1601;8:+577;1:+225,"[0.6959183673469388, 0.9806167400881057, 0.5494186046511628, 0.692079207920792, 0.04786150712830957, 0.43609865470852016, 0.5981210855949896, 0.3647859922178988, 0.6827515400410678, 0.9226957383548068]","[[682, 0, 155, 6, 0, 7, 9, 13, 104, 4], [0, 1113, 0, 0, 0, 0, 2, 0, 15, 5], [12, 20, 567, 6, 1, 5, 29, 14, 312, 66], [39, 27, 8, 699, 0, 90, 6, 23, 31, 87], [0, 14, 81, 0, 47, 0, 7, 0, 9, 824], [46, 49, 4, 120, 0, 389, 1, 15, 244, 24], [10, 7, 183, 4, 0, 0, 573, 1, 162, 18], [1, 21, 6, 0, 0, 1, 1, 375, 3, 620], [4, 99, 17, 73, 1, 79, 1, 4, 665, 31], [1, 10, 24, 15, 4, 3, 0, 15, 6, 931]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r43_-train-20260716_150701-f13ab2ce56e66b1e-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r43_-train-20260716_150701-f13ab2ce56e66b1e-round0030_slot_coverage_final.json
p9_population_t43_r44,population,43,44,0.6792,0.6619218442898401,0.1830420732498169,0.7794485704994575,0.01655688220296161,0.9,0.00039999999999995595,0.003460947902406697,_fc2,152,0.95625,0.023618154633006094,client.5,4;5,1,client.5,4;5,9:0.232904;5:0.433857;6:0.556367,8:+446;2:+380;4:+373,"[0.726530612244898, 0.9180616740088106, 0.7034883720930233, 0.7742574257425743, 0.8716904276985743, 0.43385650224215244, 0.5563674321503131, 0.9250972762645915, 0.6765913757700205, 0.23290386521308226]","[[712, 0, 147, 40, 0, 9, 6, 16, 50, 0], [0, 1042, 1, 19, 0, 2, 1, 4, 66, 0], [6, 5, 726, 8, 20, 0, 11, 26, 228, 2], [24, 4, 24, 782, 3, 71, 6, 42, 50, 4], [0, 4, 78, 0, 856, 0, 8, 10, 6, 20], [19, 8, 16, 218, 4, 387, 4, 14, 222, 0], [29, 1, 241, 1, 15, 1, 533, 2, 135, 0], [0, 14, 28, 7, 16, 0, 0, 951, 1, 11], [11, 37, 91, 46, 18, 85, 2, 19, 659, 6], [2, 13, 60, 19, 423, 7, 1, 246, 3, 235]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r44_-train-20260716_151054-5591d676033de3ed-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r44_-train-20260716_151054-5591d676033de3ed-round0030_slot_coverage_final.json
p9_population_t44_r42,population,44,42,0.68654,0.6804269792681197,0.17670134107271832,0.811879777166423,0.013403137436070807,1.0,0.0,0.0,_fc2,144,0.90625,0.030320576474594074,client.6,5;6,1,client.6,5;6,9:0.344896;6:0.496868;8:0.562628,3:+469;2:+347;4:+273,"[0.7418367346938776, 0.9030837004405287, 0.625968992248062, 0.8415841584158416, 0.7830957230142567, 0.7197309417040358, 0.4968684759916493, 0.8142023346303502, 0.5626283367556468, 0.34489593657086226]","[[727, 0, 64, 5, 4, 165, 8, 1, 6, 0], [0, 1025, 8, 82, 1, 8, 1, 1, 9, 0], [67, 3, 646, 89, 36, 50, 18, 14, 109, 0], [10, 3, 9, 850, 2, 114, 0, 11, 10, 1], [2, 16, 113, 5, 769, 0, 4, 1, 2, 70], [7, 0, 20, 177, 3, 642, 6, 3, 33, 1], [22, 1, 366, 6, 18, 29, 476, 0, 40, 0], [10, 21, 31, 34, 56, 6, 0, 837, 0, 33], [19, 17, 51, 198, 9, 124, 3, 3, 548, 2], [13, 29, 71, 33, 357, 25, 0, 133, 0, 348]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r42_-train-20260716_145518-268b57000b346bcf-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r42_-train-20260716_145518-268b57000b346bcf-round0030_slot_coverage_final.json
p9_population_t44_r43,population,44,43,0.64468,0.6200022814887478,0.1862100010116895,0.7088638628138715,0.023125467227676104,1.0,0.0,0.0,_fc2,117,0.7375,0.025725884065227425,client.1;client.5;client.6,0;1;4;5;6,1,client.5,4;5,9:0.274529;4:0.340122;2:0.343992,7:+682;3:+260;0:+167,"[0.8959183673469387, 0.9550660792951542, 0.3439922480620155, 0.6712871287128713, 0.34012219959266804, 0.42713004484304934, 0.8235908141962421, 0.9250972762645915, 0.731006160164271, 0.2745292368681863]","[[878, 0, 3, 1, 0, 27, 52, 13, 6, 0], [0, 1084, 0, 13, 0, 0, 1, 6, 29, 2], [117, 3, 355, 140, 1, 45, 189, 59, 114, 9], [10, 3, 1, 678, 0, 187, 4, 106, 17, 4], [4, 43, 221, 0, 334, 0, 18, 36, 14, 312], [69, 4, 7, 244, 0, 381, 23, 73, 87, 4], [42, 2, 85, 4, 4, 1, 789, 0, 28, 3], [3, 23, 6, 5, 4, 2, 0, 951, 6, 28], [15, 14, 10, 154, 2, 26, 23, 16, 712, 2], [9, 85, 90, 31, 53, 8, 3, 450, 3, 277]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r43_-train-20260716_151441-b0606e6885fbeab4-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r43_-train-20260716_151441-b0606e6885fbeab4-round0030_slot_coverage_final.json
p9_population_t44_r44,population,44,44,0.67892,0.6558060710564525,0.18328680445750553,0.7791040335446773,0.01682419979454496,0.8,0.0031999999999999806,0.0007137149593628989,_fc2,131,0.825,0.021609757946109268,client.5;client.9,4;5;8;9,1,client.5,4;5,9:0.167493;2:0.526163;5:0.556054,4:+410;8:+323;7:+216,"[0.7938775510204081, 0.8986784140969163, 0.5261627906976745, 0.694059405940594, 0.8309572301425662, 0.5560538116591929, 0.7098121085594989, 0.872568093385214, 0.7823408624229979, 0.16749256689791872]","[[778, 0, 37, 5, 1, 123, 7, 7, 22, 0], [0, 1020, 12, 62, 2, 3, 2, 4, 30, 0], [79, 4, 543, 32, 42, 44, 30, 25, 233, 0], [6, 5, 5, 701, 3, 192, 2, 38, 58, 0], [2, 31, 64, 2, 816, 0, 48, 7, 1, 11], [5, 3, 12, 222, 3, 496, 5, 21, 125, 0], [15, 1, 178, 2, 12, 13, 680, 0, 57, 0], [8, 19, 10, 16, 56, 9, 1, 897, 5, 7], [15, 10, 19, 70, 14, 67, 7, 9, 762, 1], [15, 76, 17, 20, 443, 24, 5, 236, 4, 169]]",/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r44_-train-20260716_151832-db7cd5c9d2078ce0-round0030.pt,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r44_-train-20260716_151832-db7cd5c9d2078ce0-round0030_slot_coverage_final.json
