experiment,phase,a_mode,distribution,scaling_type,gamma,training_seed,rank_seed,best_accuracy,best_round,final_accuracy,training_csv,checkpoint,last5_accuracy,last5_average_loss,last5_f1_score,last5_mcc,last5_ref_a_cos_drift,last5_ref_a_norm_drift,last5_ref_a_prox_drift,last5_ref_frame_transform_drift,last5_ref_frame_residual,last5_ref_agg_discrepancy,last5_ref_tail_energy_ratio,last5_ref_tail_label_entropy,last5_ref_tail_risk,last5_ref_agg_discrepancy_abs_numerator,last5_ref_agg_discrepancy_abs_denominator,last5_ref_global_a_norm,last5_ref_global_b_norm,last5_ref_global_delta_w_norm,last5_ref_effective_support_gap_mean,last5_ref_effective_support_gap_max
p9_q050_t44_r43,P9,Freeze-A,balanced,q_power,0.5,44,43,0.6494,9,0.5695,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r43_-train-20260715_221207-6ca3a48df8eb60da.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r43_-train-20260715_221207-6ca3a48df8eb60da-round0030.pt,0.57296,1.2183832878112792,0.5255697916180426,0.5549434861682236,2.160658561326893e-09,0.0,0.0,8.25461125231186e-08,7.31996118238006e-08,6.750821398782136e-07,0.21052925586700438,0.6817490699773127,0.04651718423087183,,,,,,,
p9_q050_t44_r44,P9,Freeze-A,balanced,q_power,0.5,44,44,0.6943,30,0.6943,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r44_-train-20260715_221936-8c0dae35a82447ce.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t44_r44_-train-20260715_221936-8c0dae35a82447ce-round0030.pt,0.68488,1.0874832292556762,0.6630635829935829,0.6620627867055755,2.160658561326893e-09,0.0,0.0,8.25461125231186e-08,7.31996118238006e-08,6.806975723823901e-07,0.21063059369723003,0.7465575422996782,0.03716346789975067,,,,,,,
p9_population_t42_r42,P9,Freeze-A,balanced,population,1.0,42,42,0.7182,30,0.7182,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_1_00_-train-20260715_205756-2416eab36ca0108d.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_1_00_-train-20260715_205756-2416eab36ca0108d-round0030.pt,0.71618,1.0784315603637695,0.7105770280665167,0.6868902871581246,7.38211599811874e-09,0.0,0.0,1.0101469734754194e-07,8.919337511533363e-08,6.953242935499778e-07,0.19458475112915039,0.8166309149344894,0.014799762208395052,,,,,,,
p9_population_t42_r43,P9,Freeze-A,balanced,population,1.0,42,43,0.6875,30,0.6875,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.68042,1.1653581011772156,0.6588770847780594,0.6504088921783815,7.38211599811874e-09,0.0,0.0,1.0101469734754194e-07,8.919337511533363e-08,6.927687763891299e-07,0.20477557331323623,0.7153082627926745,0.0260918972774328,6.225904533936225e-06,8.572501243325679,11.806660766557819,13.521203388205803,8.57250121638288,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t42_r44,P9,Freeze-A,balanced,population,1.0,42,44,0.7421,27,0.7385,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r44_-train-20260716_150311-61223283cf495c32.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r44_-train-20260716_150311-61223283cf495c32-round0030.pt,0.73984,1.1014168551635741,0.7351092032863001,0.7117109101293112,7.38211599811874e-09,0.0,0.0,1.0101469734754194e-07,8.919337511533363e-08,6.920491955497709e-07,0.19356313596169153,0.7828862417285285,0.017820173507245116,5.978255876421348e-06,8.201017340628272,11.806660766557819,13.052295270916742,8.20101752671125,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t43_r42,P9,Freeze-A,balanced,population,1.0,43,42,0.6813,29,0.6764,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r42_-train-20260716_145126-336850c74e789300.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r42_-train-20260716_145126-336850c74e789300-round0030.pt,0.6729,1.1432781160545349,0.6767213573640947,0.640856468858652,6.882227954196905e-10,0.0,0.0,8.92258742150413e-08,7.847428703892471e-08,6.956874017305381e-07,0.18486551940441132,0.8096618163054855,0.014324138000066204,6.351398033733809e-06,8.665674195200856,11.820768027259907,14.24240959955202,8.665674490498228,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t43_r43,P9,Freeze-A,balanced,population,1.0,43,43,0.6049,29,0.6041,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r43_-train-20260716_150701-f13ab2ce56e66b1e.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r43_-train-20260716_150701-f13ab2ce56e66b1e-round0030.pt,0.60382,1.1897382183456422,0.5802762667416683,0.5742270284225682,6.882227954196905e-10,0.0,0.0,8.92258742150413e-08,7.847428703892471e-08,6.920217212306549e-07,0.1943500394622485,0.7139563796077582,0.02425413148576031,5.954421717376681e-06,8.214490887196098,11.820768027259907,13.209655214702625,8.214491043203315,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t43_r44,P9,Freeze-A,balanced,population,1.0,43,44,0.6883,30,0.6883,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r44_-train-20260716_151054-5591d676033de3ed.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t43_r44_-train-20260716_151054-5591d676033de3ed-round0030.pt,0.6792,1.1334014336967468,0.6619218442898401,0.6491148647134816,6.882227954196905e-10,0.0,0.0,8.92258742150413e-08,7.847428703892471e-08,6.921544695615011e-07,0.1830420732498169,0.7794485704994575,0.01655688220296161,6.165152197050347e-06,8.448131293575479,11.820768027259907,13.79983217829413,8.448131569998887,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t44_r42,P9,Freeze-A,balanced,population,1.0,44,42,0.6923,29,0.6868,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r42_-train-20260716_145518-268b57000b346bcf.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r42_-train-20260716_145518-268b57000b346bcf-round0030.pt,0.68654,1.1725073431396484,0.6804269792681197,0.6554422200907678,2.160658561326893e-09,0.0,0.0,8.25461125231186e-08,7.31996118238006e-08,6.923335831743315e-07,0.17670134107271832,0.811879777166423,0.013403137436070807,6.470347079615058e-06,8.859541589029973,11.824824182606344,14.182026520531267,8.85954164287458,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t44_r43,P9,Freeze-A,balanced,population,1.0,44,43,0.6486,24,0.6439,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r43_-train-20260716_151441-b0606e6885fbeab4.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r43_-train-20260716_151441-b0606e6885fbeab4-round0030.pt,0.64468,1.204483570251465,0.6200022814887478,0.6086840946435824,2.160658561326893e-09,0.0,0.0,8.25461125231186e-08,7.31996118238006e-08,6.970176021544224e-07,0.1862100010116895,0.7088638628138715,0.023125467227676104,6.092244762607557e-06,8.396025743849934,11.824824182606344,13.348989250868751,8.396026099537348,3.8857805861880476e-17,1.1102230246251565e-16
p9_population_t44_r44,P9,Freeze-A,balanced,population,1.0,44,44,0.6862,30,0.6862,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r44_-train-20260716_151832-db7cd5c9d2078ce0.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t44_r44_-train-20260716_151832-db7cd5c9d2078ce0-round0030.pt,0.67892,1.1879278415298462,0.6558060710564525,0.6476888747017029,2.160658561326893e-09,0.0,0.0,8.25461125231186e-08,7.31996118238006e-08,6.938330784578284e-07,0.18328680445750553,0.7791040335446773,0.01682419979454496,6.309211323203972e-06,8.67907318993833,11.824824182606344,13.900150587954894,8.679073150127255,3.8857805861880476e-17,1.1102230246251565e-16
p10_conditional,P10,Freeze-A,double-imbalance,conditional,0.0,42,42,0.7913,25,0.7912,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_freeze_a_double_imbalance_heterogeneous_checkpoint_-train-20260715_203108-64cdaadaf2ef2a9a.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p4_freeze_a_double_imbalance_heterogeneous_checkpoint_-train-20260715_203108-64cdaadaf2ef2a9a-round0030.pt,0.78472,1.3110912250900268,0.7308142347009837,0.7717443732399727,2.5893548373612326e-09,0.0,0.0,7.266135537490171e-08,6.225516285982201e-08,5.345461829620035e-07,0.3071443945169449,0.8874582434565441,0.037650048293309896,,,,,,,
p10_q050,P10,Freeze-A,double-imbalance,q_power,0.5,42,42,0.8594,29,0.8529,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_qpower050_t42_r42_-train-20260716_152733-08f7b5999e615aac-round0030.pt,0.85354,0.5000593460273742,0.8190774533362303,0.8438746706606277,2.5893548373612326e-09,0.0,0.0,7.266135537490171e-08,6.225516285982201e-08,6.317487608005952e-07,0.140656016767025,0.9374579885339527,0.006092948992239334,9.96988106242939e-06,15.459743593859772,11.806661293423057,23.330461141472554,15.459743824997748,0.06614453874504149,0.1661560657290494
p10_effective,P10,Freeze-A,double-imbalance,effective_support,0.5,42,42,0.8407,29,0.8386,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_effective_support_t42_r42_-train-20260716_153153-955f9b76088afc6a.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_effective_support_t42_r42_-train-20260716_153153-955f9b76088afc6a-round0030.pt,0.83762,0.5998071000289917,0.796808022919422,0.8273236993222822,2.5893548373612326e-09,0.0,0.0,7.266135537490171e-08,6.225516285982201e-08,6.437952303410081e-07,0.1569431558251381,0.9158550141967078,0.009875286009294363,9.877496080157391e-06,15.058841907848599,11.806661293423057,22.72835654932838,15.058840893747222,0.06614453874504149,0.1661560657290494
p10_population,P10,Freeze-A,double-imbalance,population,1.0,42,42,0.8551,29,0.8507,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_population_t42_r42_-train-20260716_153609-3a7e68ae93a85d29.csv,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p10_p10_freeze_population_t42_r42_-train-20260716_153609-3a7e68ae93a85d29-round0030.pt,0.8515,0.5073629248619079,0.8137969460503802,0.8421764690179503,2.5893548373612326e-09,0.0,0.0,7.266135537490171e-08,6.225516285982201e-08,6.598432795120364e-07,0.12146245787541071,0.9521852348492409,0.0025981760665054914,9.99005092738336e-06,14.835836290245433,11.806661293423057,22.89125613264082,14.835836296600114,0.06614453874504149,0.1661560657290494
