dataset,model,layer,checkpoint,seed,gauge_seed,trial,gauge_type,condition_number,R,r,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,singular_value_gap,compact_path_no_dense_intermediate,d_out,d_in,spectrum,method,broadcast_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,10,1.8172808096652557e-16,6.8059266023895768e-02,1.3877787807814457e-17,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,6.6350035391807294e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,10,1.8172808096652557e-16,6.8059266023895768e-02,1.3877787807814457e-17,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),6.8059266023895754e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,11,1.8172808096652557e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,5.4584562775454293e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,11,1.8172808096652557e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.1342180441358257e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,12,1.8172808096652557e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,4.9897839106134584e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,12,1.8172808096652557e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.8275941647656964e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,13,1.8172808096652557e-16,2.7894471479061905e-02,0.0000000000000000e+00,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,4.9874143563616130e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,13,1.8172808096652557e-16,2.7894471479061905e-02,0.0000000000000000e+00,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.7894471479061905e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,14,1.8172808096652557e-16,1.9367683534861117e-02,3.4694469519536142e-18,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.8758209636263662e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,14,1.8172808096652557e-16,1.9367683534861117e-02,3.4694469519536142e-18,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.9367683534861121e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,15,1.8172808096652557e-16,1.1776758457077180e-02,0.0000000000000000e+00,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.6156819862176414e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,15,1.8172808096652557e-16,1.1776758457077180e-02,0.0000000000000000e+00,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1776758457077180e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,16,1.8172808096652557e-16,1.5044881861371121e-15,3.2501587223865083e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,1.8172808096652557e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,16,1.8172808096652557e-16,1.5044881861371121e-15,3.2501587223865083e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1794723138984612e-15,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,1,1.9520675453932191e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9504448561893266e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,1,1.9520675453932191e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),7.6587522244111828e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,2,1.9520675453932191e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.2077590001584464e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,2,1.9520675453932191e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.8653618158978293e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,3,1.9520675453932191e-16,4.4915411831938662e-01,0.0000000000000000e+00,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.2064751285399038e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,3,1.9520675453932191e-16,4.4915411831938662e-01,0.0000000000000000e+00,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),4.4915411831938662e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,4,1.9520675453932191e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.2057218667765650e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,4,1.9520675453932191e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.4390159360426847e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,5,1.9520675453932191e-16,2.6324948526250513e-01,0.0000000000000000e+00,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.1993596467418548e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,5,1.9520675453932191e-16,2.6324948526250513e-01,0.0000000000000000e+00,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.6324948526250513e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,6,1.9520675453932191e-16,2.0142837648485348e-01,2.7755575615628914e-17,6.1700620121071248e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.1885044207519717e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,6,1.9520675453932191e-16,2.0142837648485348e-01,2.7755575615628914e-17,6.1700620121071248e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.0142837648485351e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,7,1.9520675453932191e-16,1.5401578878805305e-01,2.7755575615628914e-17,4.7258253445400661e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.1568896121459586e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,7,1.9520675453932191e-16,1.5401578878805305e-01,2.7755575615628914e-17,4.7258253445400661e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5401578878805308e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,8,1.9520675453932191e-16,1.1761969034414464e-01,0.0000000000000000e+00,3.6196435535451030e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.1546888495277434e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,8,1.9520675453932191e-16,1.1761969034414464e-01,0.0000000000000000e+00,3.6196435535451030e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1761969034414464e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,9,1.9520675453932191e-16,8.9635541751765482e-02,1.3877787807814457e-17,2.7723875724391084e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.7171440007386571e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,9,1.9520675453932191e-16,8.9635541751765482e-02,1.3877787807814457e-17,2.7723875724391084e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),8.9635541751765468e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,10,1.9520675453932191e-16,6.8059266023895768e-02,1.3877787807814457e-17,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.5287197759228386e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,10,1.9520675453932191e-16,6.8059266023895768e-02,1.3877787807814457e-17,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),6.8059266023895754e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,11,1.9520675453932191e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.5241562216224478e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,11,1.9520675453932191e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.1342180441358257e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,12,1.9520675453932191e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.5015118597545161e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,12,1.9520675453932191e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.8275941647656964e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,13,1.9520675453932191e-16,2.7894471479061905e-02,0.0000000000000000e+00,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.1676968911066208e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,13,1.9520675453932191e-16,2.7894471479061905e-02,0.0000000000000000e+00,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.7894471479061905e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,14,1.9520675453932191e-16,1.9367683534861117e-02,3.4694469519536142e-18,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.0491578189914106e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,14,1.9520675453932191e-16,1.9367683534861117e-02,3.4694469519536142e-18,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.9367683534861121e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,15,1.9520675453932191e-16,1.1776758457077180e-02,0.0000000000000000e+00,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,2.8891368247230892e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,15,1.9520675453932191e-16,1.1776758457077180e-02,0.0000000000000000e+00,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1776758457077180e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,16,1.9520675453932191e-16,1.5044881861371121e-15,3.1824110978524979e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,1.9520675453932191e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,43,1,permutation,1.0000000000000000e+00,16,16,1.9520675453932191e-16,1.5044881861371121e-15,3.1824110978524979e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1862470763518623e-15,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,1,1.7241054761266502e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.6587522244111828e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,1,1.7241054761266502e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),7.6587522244111828e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,2,1.7241054761266502e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.6457099876335499e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,2,1.7241054761266502e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.8653618158978293e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,3,1.7241054761266502e-16,4.4915411831938662e-01,0.0000000000000000e+00,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.6076865796276982e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,3,1.7241054761266502e-16,4.4915411831938662e-01,0.0000000000000000e+00,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),4.4915411831938662e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,4,1.7241054761266502e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.2787425860920008e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,4,1.7241054761266502e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.4390159360426847e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,5,1.7241054761266502e-16,2.6324948526250513e-01,0.0000000000000000e+00,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.2771183941182538e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,5,1.7241054761266502e-16,2.6324948526250513e-01,0.0000000000000000e+00,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.6324948526250513e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,6,1.7241054761266502e-16,2.0142837648485348e-01,2.7755575615628914e-17,6.1700620121071248e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.2690683683446267e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,6,1.7241054761266502e-16,2.0142837648485348e-01,2.7755575615628914e-17,6.1700620121071248e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.0142837648485351e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,7,1.7241054761266502e-16,1.5401578878805305e-01,2.7755575615628914e-17,4.7258253445400661e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,7.2456268381918698e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,7,1.7241054761266502e-16,1.5401578878805305e-01,2.7755575615628914e-17,4.7258253445400661e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5401578878805303e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,8,1.7241054761266502e-16,1.1761969034414464e-01,0.0000000000000000e+00,3.6196435535451030e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,6.6446968844602139e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,8,1.7241054761266502e-16,1.1761969034414464e-01,0.0000000000000000e+00,3.6196435535451030e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1761969034414464e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,9,1.7241054761266502e-16,8.9635541751765482e-02,1.3877787807814457e-17,2.7723875724391084e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,6.6416637410363022e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,9,1.7241054761266502e-16,8.9635541751765482e-02,1.3877787807814457e-17,2.7723875724391084e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),8.9635541751765468e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,10,1.7241054761266502e-16,6.8059266023895768e-02,0.0000000000000000e+00,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,5.4665501203163402e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,10,1.7241054761266502e-16,6.8059266023895768e-02,0.0000000000000000e+00,2.1234502066611080e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),6.8059266023895768e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,11,1.7241054761266502e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,5.4602633270693757e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,11,1.7241054761266502e-16,5.1342180441358257e-02,0.0000000000000000e+00,1.6264106883879949e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.1342180441358257e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,12,1.7241054761266502e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,5.1905477107116282e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,12,1.7241054761266502e-16,3.8275941647656964e-02,0.0000000000000000e+00,1.2457140360555320e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.8275941647656964e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,13,1.7241054761266502e-16,2.7894471479061905e-02,6.9388939039072284e-18,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,1.6394417140120518e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,13,1.7241054761266502e-16,2.7894471479061905e-02,6.9388939039072284e-18,9.5412768171353260e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.7894471479061898e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,14,1.7241054761266502e-16,1.9367683534861117e-02,0.0000000000000000e+00,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,1.0012573934363743e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,14,1.7241054761266502e-16,1.9367683534861117e-02,0.0000000000000000e+00,7.3079342984255988e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.9367683534861117e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,15,1.7241054761266502e-16,1.1776758457077180e-02,1.7347234759768071e-18,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9430737900076380e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,15,1.7241054761266502e-16,1.1776758457077180e-02,1.7347234759768071e-18,5.5973539740711183e-03,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.1776758457077178e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,16,1.7241054761266502e-16,1.5044881861371121e-15,5.4173091396472859e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,1.7241054761266502e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,44,2,permutation,1.0000000000000000e+00,16,16,1.7241054761266502e-16,1.5044881861371121e-15,5.4173091396472859e-16,1.8315638888734116e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),9.6275727217238349e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,45,3,permutation,1.0000000000000000e+00,16,1,1.8435797756706047e-16,7.6587522244111828e-01,1.1102230246251565e-16,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9900147937866512e-01,True
