condition,alpha,rho,round,rank_ratio,client_index,weight,raw_residual,optimal_residual,spmi_abs,spmi_rel,layer_ranks,raw_loss,raw_accuracy,plus_loss,plus_accuracy
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,2,0.8,7,0.0881,0.00010989076633987768,3.423802389323243e-09,0.07175924421296817,0.999968843584376,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.278145004272461,0.174,2.2781326446533203,0.174
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,2,0.7,8,0.15123333333333333,0.00015031017336011803,1.052775810995544e-08,0.09814951135247993,0.9999299597766763,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.2781426696777345,0.174,2.2781215057373045,0.174
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,2,0.5,9,0.11091666666666666,0.00022614704785121854,6.678281308372077e-08,0.1476361933592984,0.9997046929698252,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.2781378784179687,0.174,2.27808642578125,0.1745
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.9,0,0.11116666666666666,0.0001600504953869545,1.7222903887926173e-09,0.04540477837384359,0.9999892390811749,"{""_fc1.lora_A"": 144, ""_fc2.lora_A"": 144, ""_fc3.lora_A"": 10}",2.2740466918945312,0.172,2.274037414550781,0.172
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,1.0,1,0.12138333333333333,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.2740476989746092,0.1715,2.2740476989746092,0.1715
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.6,2,0.06723333333333334,0.00041982568477722253,6.180875222260723e-08,0.11908423533344564,0.999852775200604,"{""_fc1.lora_A"": 96, ""_fc2.lora_A"": 96, ""_fc3.lora_A"": 10}",2.2740367279052736,0.172,2.273985809326172,0.172
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.3,3,0.1356,0.0007186325812063379,9.248044413838573e-07,0.20360894938904095,0.9987131053259074,"{""_fc1.lora_A"": 48, ""_fc2.lora_A"": 48, ""_fc3.lora_A"": 10}",2.2740192108154296,0.1725,2.273831344604492,0.1725
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.4,4,0.09725,0.0005884333974794671,3.650909933012475e-07,0.1668310890991693,0.9993795542624448,"{""_fc1.lora_A"": 64, ""_fc2.lora_A"": 64, ""_fc3.lora_A"": 10}",2.2740245361328126,0.172,2.2739084777832033,0.1725
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.2,5,0.056216666666666665,0.0008789635606146408,2.5983587163941076e-06,0.24861901154800173,0.9970438379554926,"{""_fc1.lora_A"": 32, ""_fc2.lora_A"": 32, ""_fc3.lora_A"": 10}",2.274011505126953,0.1725,2.273677459716797,0.1725
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.1,6,0.0609,0.0010625778251939764,1.0357930954288196e-05,0.2985078246721489,0.9902520731106004,"{""_fc1.lora_A"": 16, ""_fc2.lora_A"": 16, ""_fc3.lora_A"": 10}",2.2740138092041016,0.172,2.2732204132080076,0.175
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.8,7,0.0881,0.00024967501129052443,7.692443756970587e-09,0.07082896707111631,0.9999691901735893,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.2740434265136718,0.172,2.2740245056152344,0.172
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.7,8,0.15123333333333333,0.0003415328778948453,2.3502661577434625e-08,0.0968839510297317,0.9999311847757607,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.274040115356445,0.172,2.2740079193115235,0.172
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,3,0.5,9,0.11091666666666666,0.0005119229810266302,1.49755850638385e-07,0.1451866791428823,0.9997074640987244,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.274032974243164,0.172,2.2739548797607423,0.172
