Config,{"general": {"device": "cuda:0", "training_rounds": 100}, "dataset": "imdb", "model": "tiny_bert", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "oort", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "oort", "optimizer": "AdamW", "lr": 2e-05, "weight_decay": 0.01, "batch_size": 32, "shuffle": true, "trainer_type": "imdb"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 32}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.54356,0.6870740498161316,0.6140456082902448,0.54356,0.46014616567875066,0.14096562271877586,25000
0.52496,0.8111033896827697,0.7255240484966914,0.52496,0.3891487671001723,0.1500543934775309,25000
0.51884,1.0713433858776094,0.7290967459506785,0.51884,0.3755702029305998,0.1313953224998635,25000
0.50824,1.3231983355569839,0.7340604386774376,0.50824,0.35192506910205695,0.08783297819616698,25000
0.50548,1.6241362860584259,0.7513775489683465,0.50548,0.3453967570323137,0.07423069360706631,25000
0.74492,0.5257384957122803,0.7831869899928572,0.74492,0.7360014860421291,0.5267187393250807,25000
0.81916,0.40166658223152163,0.8214236473791983,0.81916,0.8188410440058642,0.6405796478114019,25000
0.79496,0.4662416296672821,0.8209963475891581,0.79496,0.7907161931936953,0.6154058260526888,25000
0.8282,0.3957677263402939,0.8327708876696889,0.8282,0.8276080128116747,0.6609550826892607,25000
0.67316,0.8838651390743255,0.7921290087914407,0.67316,0.6361117974361574,0.44982245013927824,25000
0.68884,0.8116585484790803,0.7889241588929973,0.68884,0.6593384664645876,0.46716351811909973,25000
0.56932,1.4043586672830581,0.757653599427623,0.56932,0.4730201499181174,0.2672867188045289,25000
0.66904,0.9200181125807763,0.7856214285291,0.6690400000000001,0.6314304587123322,0.4394607890520339,25000
0.71568,0.6978638951098919,0.8006049634749806,0.71568,0.6940728626232692,0.5092523088697146,25000
0.8314,0.40561971962451937,0.8380639710883285,0.8313999999999999,0.8305650176294788,0.6694308030518825,25000
0.6268,1.1226857217538357,0.774698931357725,0.6268,0.5687538676260849,0.3732657203449549,25000
0.82036,0.41163904642105104,0.8359287800182753,0.82036,0.8182542262925879,0.6561040892012628,25000
0.78032,0.546605924565792,0.8207935759255407,0.78032,0.7731652321942142,0.5997494650383528,25000
0.83976,0.3945928199887276,0.8417758761437059,0.8397600000000001,0.8395233675768942,0.6815328948145805,25000
0.8376,0.4400731520950794,0.8386620441705188,0.8376,0.8374725785015452,0.6762612102197408,25000
0.56352,1.754319319729507,0.758774637300947,0.56352,0.46204311497261086,0.25641657482585756,25000
0.7546,0.6414886074763536,0.811671978386345,0.7545999999999999,0.7428269032533288,0.5633886250082208,25000
