method,checkpoint,retained_rank_ratio,accuracy,average_loss,macro_f1,mcc,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.1,0.1976,2.926879458618164,0.07267749391560066,0.15014715218926414,0.9836734693877551,0.004405286343612335,0.016472868217054265,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.979187314172448
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.2,0.3912,1.8910823076248169,0.2606454309557279,0.3555150325685947,0.9051020408163265,0.9004405286343612,0.9186046511627907,0.0,0.0,0.0,0.005219206680584551,0.033073929961089495,0.1324435318275154,0.8790882061446977
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.3,0.5139,1.5923430612564087,0.41562018451479715,0.4792357216495946,0.8153061224489796,0.9242290748898678,0.7742248062015504,0.0009900990099009901,0.0,0.0,0.17118997912317327,0.6488326848249028,0.8603696098562629,0.8146679881070367
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.4,0.5618,1.4481324678421021,0.47855472854964,0.5294521077774907,0.7377551020408163,0.9330396475770925,0.7199612403100775,0.05643564356435644,0.0,0.0,0.5688935281837161,0.7684824902723736,0.8716632443531828,0.844400396432111
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.5,0.5759,1.3531708311080932,0.5122872302590268,0.5460528653300701,0.7,0.9365638766519824,0.6996124031007752,0.26435643564356437,0.0010183299389002036,0.0,0.5647181628392485,0.6984435797665369,0.919917864476386,0.8572844400396432
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.6,0.6154,1.2621542490005493,0.5576340986757281,0.5857173564518445,0.7224489795918367,0.9524229074889868,0.75,0.593069306930693,0.023421588594704685,0.0,0.558455114822547,0.7295719844357976,0.8870636550308009,0.8126858275520317
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.7,0.6498,1.2020766286849975,0.5995671414750466,0.6200784335826584,0.7683673469387755,0.9700440528634361,0.7112403100775194,0.692079207920792,0.11710794297352342,0.016816143497757848,0.6670146137787056,0.7879377431906615,0.8767967145790554,0.7710604558969276
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.8,0.666,1.1794982372283935,0.6303809359660055,0.6363487186605188,0.7918367346938775,0.973568281938326,0.6928294573643411,0.6762376237623763,0.1955193482688391,0.10089686098654709,0.7098121085594989,0.7937743190661478,0.8696098562628337,0.7492566897918731
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,0.9,0.6755,1.1672763591766357,0.6491256783197314,0.6455285824122224,0.8346938775510204,0.9814977973568282,0.6831395348837209,0.6504950495049505,0.2454175152749491,0.17825112107623317,0.7118997912317327,0.7898832684824902,0.8542094455852156,0.7284440039643211
p9_p9_freeze_population_t42_r43,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p9_p9_freeze_population_t42_r43_-train-20260716_145931-dd7fd2068ed09372-round0030.pt,1.0,0.6875,1.159056538581848,0.6706433210074867,0.6575183207728308,0.8377551020408164,0.9814977973568282,0.6802325581395349,0.6415841584158416,0.3319755600814664,0.2589686098654709,0.7118997912317327,0.7947470817120622,0.8521560574948666,0.6977205153617443
