round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round,selected_clients,metric_weights
0,0.18709999322891235,5.467855930328369,2,0.01,2,2,"[8, 9]"
1,0.1873999983072281,6.192234992980957,2,0.01,2,2,"[8, 9]"
2,0.17649999260902405,4.3825178146362305,2,0.01,2,2,"[5, 4]"
3,0.18459999561309814,5.58962869644165,2,0.01,2,2,"[5, 4]"
4,0.22939999401569366,3.082031011581421,2,0.01,2,2,"[8, 2]"
5,0.20880000293254852,3.8885254859924316,2,0.01,2,2,"[8, 2]"
6,0.243599995970726,3.0768637657165527,2,0.01,2,2,"[8, 5]"
7,0.20010000467300415,3.7494957447052,2,0.01,2,2,"[8, 5]"
8,0.2761000096797943,2.892975091934204,2,0.01,2,2,"[8, 5]"
9,0.21930000185966492,3.499300003051758,2,0.01,2,2,"[8, 5]"
10,0.30160000920295715,2.8050761222839355,2,0.01,2,2,"[8, 5]"
11,0.2378000020980835,3.365008592605591,2,0.01,2,2,"[8, 5]"
12,0.31610000133514404,2.7616851329803467,2,0.01,2,2,"[8, 5]"
13,0.25529998540878296,3.286546468734741,2,0.01,2,2,"[8, 5]"
14,0.3249000012874603,2.749399185180664,2,0.01,2,2,"[8, 5]"
15,0.2667999863624573,3.249603033065796,2,0.01,2,2,"[8, 5]"
16,0.3325999975204468,2.756805181503296,2,0.01,2,2,"[8, 5]"
17,0.2759000062942505,3.234820604324341,2,0.01,2,2,"[8, 5]"
18,0.3384999930858612,2.7633094787597656,2,0.01,2,2,"[8, 5]"
19,0.2833999991416931,3.2197563648223877,2,0.01,2,2,"[8, 5]"
20,0.313400000333786,2.9861953258514404,2,0.01,2,2,"[5, 8]"
21,0.26989999413490295,3.4872090816497803,2,0.01,2,2,"[5, 8]"
22,0.32839998602867126,2.9242148399353027,2,0.01,2,2,"[5, 8]"
23,0.28299999237060547,3.390867233276367,2,0.01,2,2,"[5, 8]"
24,0.3407999873161316,2.872502326965332,2,0.01,2,2,"[5, 8]"
25,0.29420000314712524,3.325258493423462,2,0.01,2,2,"[5, 8]"
26,0.35089999437332153,2.8400769233703613,2,0.01,2,2,"[5, 8]"
27,0.30320000648498535,3.2832624912261963,2,0.01,2,2,"[5, 8]"
28,0.3605000078678131,2.8062965869903564,2,0.01,2,2,"[5, 8]"
29,0.3093999922275543,3.2471659183502197,2,0.01,2,2,"[5, 8]"
30,0.36629998683929443,2.7714245319366455,2,0.01,2,2,"[5, 8]"
31,0.3183000087738037,3.2081639766693115,2,0.01,2,2,"[5, 8]"
32,0.37439998984336853,2.728794574737549,2,0.01,2,2,"[5, 8]"
33,0.3264999985694885,3.161041498184204,2,0.01,2,2,"[5, 8]"
34,0.3831000030040741,2.6797139644622803,2,0.01,2,2,"[5, 8]"
35,0.3359000086784363,3.102456569671631,2,0.01,2,2,"[5, 8]"
36,0.3921999931335449,2.6241414546966553,2,0.01,2,2,"[5, 8]"
37,0.3472000062465668,3.032057285308838,2,0.01,2,2,"[5, 8]"
38,0.4009999930858612,2.5626823902130127,2,0.01,2,2,"[5, 8]"
39,0.35530000925064087,2.959423303604126,2,0.01,2,2,"[5, 8]"
40,0.4194999933242798,2.384289264678955,2,0.01,2,2,"[8, 5]"
41,0.4058000147342682,2.6019933223724365,2,0.01,2,2,"[8, 5]"
