round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round,selected_clients,metric_weights
0,0.1964000016450882,4.364759922027588,2,0.01,2,2,"[0, 7]","[0.29622346927645915, 0.7037765307235408]"
1,0.19900000095367432,5.553388595581055,2,0.01,2,2,"[0, 7]","[0.29622346927645915, 0.7037765307235408]"
2,0.21780000627040863,3.7013492584228516,2,0.01,2,2,"[0, 7]","[0.20868980549035027, 0.7913101945096498]"
3,0.20160000026226044,4.7685394287109375,2,0.01,2,2,"[0, 7]","[0.20868980549035027, 0.7913101945096498]"
4,0.24779999256134033,3.412304401397705,2,0.01,2,2,"[0, 7]","[0.19081937709845687, 0.8091806229015431]"
5,0.21089999377727509,4.3978400230407715,2,0.01,2,2,"[0, 7]","[0.19081937709845687, 0.8091806229015431]"
6,0.26980000734329224,3.2363600730895996,2,0.01,2,2,"[0, 7]","[0.2681429592496808, 0.7318570407503192]"
7,0.21979999542236328,4.143294334411621,2,0.01,2,2,"[0, 7]","[0.2681429592496808, 0.7318570407503192]"
8,0.326200008392334,2.9031190872192383,2,0.01,2,2,"[0, 6]","[0.33805211760203985, 0.6619478823979602]"
9,0.3109000027179718,3.2591254711151123,2,0.01,2,2,"[0, 6]","[0.33805211760203985, 0.6619478823979602]"
10,0.3158000111579895,2.7444705963134766,2,0.01,2,2,"[7, 0]","[0.38112849082580796, 0.618871509174192]"
11,0.28139999508857727,3.2447125911712646,2,0.01,2,2,"[7, 0]","[0.38112849082580796, 0.618871509174192]"
12,0.29420000314712524,2.877224922180176,2,0.01,2,2,"[6, 4]","[0.43681931381595634, 0.5631806861840437]"
13,0.2287999987602234,3.5879101753234863,2,0.01,2,2,"[6, 4]","[0.43681931381595634, 0.5631806861840437]"
14,0.41519999504089355,2.851059675216675,2,0.01,2,2,"[3, 1]","[0.4833383875919619, 0.5166616124080381]"
15,0.36090001463890076,3.504718065261841,2,0.01,2,2,"[3, 1]","[0.4833383875919619, 0.5166616124080381]"
16,0.3382999897003174,2.464285135269165,2,0.01,2,2,"[7, 6]","[0.6492610167383417, 0.3507389832616583]"
17,0.29910001158714294,2.906726360321045,2,0.01,2,2,"[7, 6]","[0.6492610167383417, 0.3507389832616583]"
18,0.29510000348091125,2.8700504302978516,2,0.01,2,2,"[4, 5]","[0.5584249708516522, 0.4415750291483478]"
19,0.2257000058889389,4.016984939575195,2,0.01,2,2,"[4, 5]","[0.5584249708516522, 0.4415750291483478]"
20,0.4221999943256378,2.6953177452087402,2,0.01,2,2,"[3, 1]","[0.5332108430343677, 0.4667891569656323]"
21,0.3693999946117401,3.272642135620117,2,0.01,2,2,"[3, 1]","[0.5332108430343677, 0.4667891569656323]"
22,0.3418999910354614,2.3917911052703857,2,0.01,2,2,"[7, 6]","[0.551955820524059, 0.44804417947594094]"
23,0.3075999915599823,2.774351119995117,2,0.01,2,2,"[7, 6]","[0.551955820524059, 0.44804417947594094]"
24,0.39340001344680786,2.312368392944336,2,0.01,2,2,"[1, 6]","[0.4930994315086914, 0.5069005684913086]"
25,0.3675999939441681,2.6568830013275146,2,0.01,2,2,"[1, 6]","[0.4930994315086914, 0.5069005684913086]"
