round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round,selected_clients,metric_weights
71,0.5062000155448914,1.80156409740448,2,0.01,2,2,"[4, 3]"
72,0.4334000051021576,1.9213179349899292,2,0.01,2,2,"[2, 9]"
73,0.373199999332428,2.3284621238708496,2,0.01,2,2,"[2, 9]"
74,0.5353000164031982,1.5159733295440674,2,0.01,2,2,"[7, 5]"
75,0.45579999685287476,1.9783189296722412,2,0.01,2,2,"[7, 5]"
76,0.6521000266075134,1.10009765625,2,0.01,2,2,"[4, 3]"
77,0.53329998254776,1.687241554260254,2,0.01,2,2,"[4, 3]"
78,0.4715000092983246,1.7903190851211548,2,0.01,2,2,"[2, 9]"
79,0.40389999747276306,2.170677423477173,2,0.01,2,2,"[2, 9]"
80,0.5547000169754028,1.434187889099121,2,0.01,2,2,"[7, 5]"
81,0.4772999882698059,1.8681519031524658,2,0.01,2,2,"[7, 5]"
82,0.6728000044822693,1.0329813957214355,2,0.01,2,2,"[4, 3]"
83,0.5602999925613403,1.583029866218567,2,0.01,2,2,"[4, 3]"
84,0.5048999786376953,1.668488621711731,2,0.01,2,2,"[2, 9]"
85,0.4399000108242035,2.0236291885375977,2,0.01,2,2,"[2, 9]"
86,0.5289000272750854,1.4579951763153076,2,0.01,2,2,"[7, 8]"
87,0.4668999910354614,1.7720494270324707,2,0.01,2,2,"[7, 8]"
88,0.6822999715805054,1.379957914352417,2,0.01,2,2,"[5, 4]"
89,0.6252999901771545,1.6111913919448853,2,0.01,2,2,"[5, 4]"
90,0.54830002784729,2.081325054168701,2,0.01,2,2,"[3, 4]"
91,0.5012000203132629,2.2909536361694336,2,0.01,2,2,"[3, 4]"
92,0.5353999733924866,1.5569133758544922,2,0.01,2,2,"[2, 9]"
93,0.4778999984264374,1.8819714784622192,2,0.01,2,2,"[2, 9]"
94,0.560699999332428,1.3324941396713257,2,0.01,2,2,"[7, 8]"
95,0.5006999969482422,1.6138088703155518,2,0.01,2,2,"[7, 8]"
96,0.6905999779701233,1.0893211364746094,2,0.01,2,2,"[4, 5]"
97,0.65420001745224,1.3355762958526611,2,0.01,2,2,"[4, 5]"
98,0.569100022315979,1.9571031332015991,2,0.01,2,2,"[3, 4]"
99,0.5260000228881836,2.1356077194213867,2,0.01,2,2,"[3, 4]"
100,0.5648999810218811,1.4392365217208862,2,0.01,2,2,"[2, 9]"
101,0.5116999745368958,1.7393931150436401,2,0.01,2,2,"[2, 9]"
102,0.5910000205039978,1.2306005954742432,2,0.01,2,2,"[7, 8]"
103,0.5317999720573425,1.49553644657135,2,0.01,2,2,"[7, 8]"
104,0.7168999910354614,0.9771834015846252,2,0.01,2,2,"[4, 5]"
105,0.6841999888420105,1.202136516571045,2,0.01,2,2,"[4, 5]"
106,0.5895000100135803,1.8483121395111084,2,0.01,2,2,"[3, 4]"
107,0.5508000254631042,2.003997564315796,2,0.01,2,2,"[3, 4]"
108,0.5895000100135803,1.3426316976547241,2,0.01,2,2,"[2, 9]"
109,0.5400999784469604,1.6210718154907227,2,0.01,2,2,"[2, 9]"
110,0.6212000250816345,1.231293797492981,2,0.01,2,2,"[8, 7]"
111,0.5679000020027161,1.4123002290725708,2,0.01,2,2,"[8, 7]"
112,0.7538999915122986,0.9796606302261353,2,0.01,2,2,"[5, 4]"
113,0.7249000072479248,1.1304298639297485,2,0.01,2,2,"[5, 4]"
114,0.6104000210762024,1.7453181743621826,2,0.01,2,2,"[3, 4]"
115,0.5734000205993652,1.9077386856079102,2,0.01,2,2,"[3, 4]"
116,0.6133999824523926,1.2561755180358887,2,0.01,2,2,"[2, 9]"
117,0.5630999803543091,1.5117284059524536,2,0.01,2,2,"[2, 9]"
118,0.6484000086784363,1.051085352897644,2,0.01,2,2,"[7, 8]"
119,0.5907999873161316,1.2792131900787354,2,0.01,2,2,"[7, 8]"
120,0.7662000060081482,0.7885677814483643,2,0.01,2,2,"[4, 5]"
121,0.7358999848365784,0.9663779139518738,2,0.01,2,2,"[4, 5]"
122,0.6310999989509583,1.6557868719100952,2,0.01,2,2,"[3, 4]"
123,0.5989999771118164,1.7932003736495972,2,0.01,2,2,"[3, 4]"
124,0.7098000049591064,0.8893882036209106,2,0.01,2,2,"[2, 7]"
125,0.6593000292778015,1.084780216217041,2,0.01,2,2,"[2, 7]"
126,0.786300003528595,0.7075645923614502,2,0.01,2,2,"[4, 5]"
127,0.7555999755859375,0.8727176785469055,2,0.01,2,2,"[4, 5]"
128,0.6449000239372253,1.5738887786865234,2,0.01,2,2,"[3, 4]"
129,0.616599977016449,1.698388695716858,2,0.01,2,2,"[3, 4]"
130,0.7267000079154968,0.8466117978096008,2,0.01,2,2,"[2, 7]"
131,0.6751999855041504,1.0346237421035767,2,0.01,2,2,"[2, 7]"
132,0.8011000156402588,0.6586230993270874,2,0.01,2,2,"[4, 5]"
133,0.7712000012397766,0.8122735619544983,2,0.01,2,2,"[4, 5]"
134,0.6601999998092651,1.5036660432815552,2,0.01,2,2,"[3, 4]"
135,0.6337000131607056,1.6224795579910278,2,0.01,2,2,"[3, 4]"
136,0.742900013923645,0.8038973808288574,2,0.01,2,2,"[2, 7]"
137,0.6940000057220459,0.9801207184791565,2,0.01,2,2,"[2, 7]"
138,0.8137000203132629,0.62158203125,2,0.01,2,2,"[4, 5]"
139,0.7829999923706055,0.76603102684021,2,0.01,2,2,"[4, 5]"
140,0.669700026512146,1.4469941854476929,2,0.01,2,2,"[3, 4]"
141,0.6456000208854675,1.5580949783325195,2,0.01,2,2,"[3, 4]"
142,0.7554000020027161,0.7677531242370605,2,0.01,2,2,"[2, 7]"
143,0.708299994468689,0.9341398477554321,2,0.01,2,2,"[2, 7]"
144,0.8241999745368958,0.5889991521835327,2,0.01,2,2,"[4, 5]"
145,0.792900025844574,0.724679172039032,2,0.01,2,2,"[4, 5]"
146,0.6794000267982483,1.3994323015213013,2,0.01,2,2,"[3, 4]"
147,0.65829998254776,1.5053277015686035,2,0.01,2,2,"[3, 4]"
148,0.76910001039505,0.7344557642936707,2,0.01,2,2,"[2, 7]"
149,0.7222999930381775,0.8914304971694946,2,0.01,2,2,"[2, 7]"
150,0.835099995136261,0.5576735734939575,2,0.01,2,2,"[4, 5]"
151,0.805899977684021,0.684317409992218,2,0.01,2,2,"[4, 5]"
152,0.6881999969482422,1.3497755527496338,2,0.01,2,2,"[3, 4]"
153,0.6694999933242798,1.45016610622406,2,0.01,2,2,"[3, 4]"
154,0.8578000068664551,0.45801210403442383,2,0.01,2,2,"[7, 2]"
155,0.8141999840736389,0.5791429877281189,2,0.01,2,2,"[7, 2]"
156,0.8449000120162964,0.532618522644043,2,0.01,2,2,"[4, 5]"
157,0.8148000240325928,0.6514486074447632,2,0.01,2,2,"[4, 5]"
158,0.6990000009536743,1.3070228099822998,2,0.01,2,2,"[3, 4]"
159,0.6804999709129333,1.400902509689331,2,0.01,2,2,"[3, 4]"
160,0.8628000020980835,0.44858336448669434,2,0.01,2,2,"[7, 2]"
161,0.8199999928474426,0.5615348219871521,2,0.01,2,2,"[7, 2]"
162,0.8514000177383423,0.5124845504760742,2,0.01,2,2,"[4, 5]"
163,0.8242999911308289,0.6245404481887817,2,0.01,2,2,"[4, 5]"
164,0.7095000147819519,1.2653995752334595,2,0.01,2,2,"[3, 4]"
165,0.6931999921798706,1.3539425134658813,2,0.01,2,2,"[3, 4]"
166,0.7542999982833862,0.7668960690498352,2,0.01,2,2,"[7, 8]"
167,0.7039999961853027,0.955959677696228,2,0.01,2,2,"[7, 8]"
168,0.8557000160217285,0.5024182796478271,2,0.01,2,2,"[4, 5]"
169,0.8300999999046326,0.6088753938674927,2,0.01,2,2,"[4, 5]"
170,0.7226999998092651,1.2330056428909302,2,0.01,2,2,"[3, 4]"
171,0.7074999809265137,1.3176223039627075,2,0.01,2,2,"[3, 4]"
172,0.7664999961853027,0.738147497177124,2,0.01,2,2,"[7, 8]"
173,0.7178999781608582,0.9170876741409302,2,0.01,2,2,"[7, 8]"
174,0.8120999932289124,0.6753337383270264,2,0.01,2,2,"[4, 6]"
175,0.8007000088691711,0.7388429045677185,2,0.01,2,2,"[4, 6]"
176,0.6793000102043152,1.5732027292251587,2,0.01,2,2,"[3, 5]"
177,0.6514999866485596,1.8076417446136475,2,0.01,2,2,"[3, 5]"
178,0.8209999799728394,0.6284419298171997,2,0.01,2,2,"[2, 8]"
179,0.7773000001907349,0.7858612537384033,2,0.01,2,2,"[2, 8]"
180,0.8567000031471252,0.4856471121311188,2,0.01,2,2,"[7, 4]"
181,0.8245000243186951,0.6038817167282104,2,0.01,2,2,"[7, 4]"
182,0.6934000253677368,1.4826240539550781,2,0.01,2,2,"[3, 5]"
183,0.6668000221252441,1.7125027179718018,2,0.01,2,2,"[3, 5]"
184,0.8307999968528748,0.6047828197479248,2,0.01,2,2,"[2, 8]"
185,0.7890999913215637,0.7527527213096619,2,0.01,2,2,"[2, 8]"
186,0.8626000285148621,0.47033604979515076,2,0.01,2,2,"[7, 4]"
187,0.833899974822998,0.5826156735420227,2,0.01,2,2,"[7, 4]"
188,0.704800009727478,1.4220125675201416,2,0.01,2,2,"[3, 5]"
189,0.6783999800682068,1.6476558446884155,2,0.01,2,2,"[3, 5]"
190,0.8389000296592712,0.5845933556556702,2,0.01,2,2,"[2, 8]"
191,0.7986999750137329,0.7231993675231934,2,0.01,2,2,"[2, 8]"
192,0.8693000078201294,0.4558493196964264,2,0.01,2,2,"[7, 4]"
193,0.8422999978065491,0.5627269148826599,2,0.01,2,2,"[7, 4]"
194,0.7150999903678894,1.3621110916137695,2,0.01,2,2,"[3, 5]"
195,0.6891999840736389,1.5818644762039185,2,0.01,2,2,"[3, 5]"
196,0.8458999991416931,0.5655661821365356,2,0.01,2,2,"[2, 8]"
197,0.8087999820709229,0.6955373287200928,2,0.01,2,2,"[2, 8]"
198,0.8761000037193298,0.44104546308517456,2,0.01,2,2,"[7, 4]"
199,0.8489000201225281,0.5430997610092163,2,0.01,2,2,"[7, 4]"
