round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round,selected_clients,metric_weights
0,0.1468999981880188,5.388151168823242,2,0.01,2,2,"[9, 8]"
1,0.18520000576972961,6.061013698577881,2,0.01,2,2,"[9, 8]"
2,0.1703999936580658,4.03143310546875,2,0.01,2,2,"[7, 5]"
3,0.1859000027179718,5.256260871887207,2,0.01,2,2,"[7, 5]"
4,0.2029999941587448,3.0889430046081543,2,0.01,2,2,"[4, 2]"
5,0.19509999454021454,4.3101091384887695,2,0.01,2,2,"[4, 2]"
6,0.22220000624656677,3.343162775039673,2,0.01,2,2,"[7, 9]"
7,0.2062000036239624,3.882190227508545,2,0.01,2,2,"[7, 9]"
8,0.2184000015258789,4.0961174964904785,2,0.01,2,2,"[5, 6]"
9,0.19629999995231628,4.81558895111084,2,0.01,2,2,"[5, 6]"
10,0.2687000036239624,2.739579677581787,2,0.01,2,2,"[4, 2]"
11,0.21940000355243683,3.885761022567749,2,0.01,2,2,"[4, 2]"
12,0.2791999876499176,2.949894905090332,2,0.01,2,2,"[7, 5]"
13,0.22529999911785126,4.138603210449219,2,0.01,2,2,"[7, 5]"
14,0.30649998784065247,2.554579973220825,2,0.01,2,2,"[4, 2]"
15,0.23330000042915344,3.6489851474761963,2,0.01,2,2,"[4, 2]"
16,0.2944999933242798,2.84538197517395,2,0.01,2,2,"[7, 5]"
17,0.2304999977350235,3.9653046131134033,2,0.01,2,2,"[7, 5]"
18,0.33809998631477356,2.418137788772583,2,0.01,2,2,"[4, 2]"
19,0.25189998745918274,3.453875780105591,2,0.01,2,2,"[4, 2]"
20,0.299699991941452,2.7752246856689453,2,0.01,2,2,"[7, 5]"
21,0.23690000176429749,3.8360328674316406,2,0.01,2,2,"[7, 5]"
22,0.3650999963283539,2.3025269508361816,2,0.01,2,2,"[4, 2]"
23,0.2685000002384186,3.2790980339050293,2,0.01,2,2,"[4, 2]"
24,0.3068999946117401,2.6983184814453125,2,0.01,2,2,"[7, 5]"
25,0.2451000064611435,3.6922714710235596,2,0.01,2,2,"[7, 5]"
26,0.3873000144958496,2.193711996078491,2,0.01,2,2,"[4, 2]"
27,0.28220000863075256,3.108515739440918,2,0.01,2,2,"[4, 2]"
28,0.3199000060558319,2.608767509460449,2,0.01,2,2,"[7, 5]"
29,0.25360000133514404,3.538954734802246,2,0.01,2,2,"[7, 5]"
30,0.41269999742507935,2.089885711669922,2,0.01,2,2,"[4, 2]"
31,0.29409998655319214,2.9430179595947266,2,0.01,2,2,"[4, 2]"
32,0.33640000224113464,2.508516311645508,2,0.01,2,2,"[7, 5]"
33,0.2635999917984009,3.372831344604492,2,0.01,2,2,"[7, 5]"
34,0.43470001220703125,1.9937673807144165,2,0.01,2,2,"[4, 2]"
35,0.3086000084877014,2.79105806350708,2,0.01,2,2,"[4, 2]"
36,0.387800008058548,2.2856321334838867,2,0.01,2,2,"[7, 3]"
37,0.3041999936103821,3.1871700286865234,2,0.01,2,2,"[7, 3]"
38,0.4092999994754791,2.1859560012817383,2,0.01,2,2,"[5, 2]"
39,0.3068999946117401,2.834763288497925,2,0.01,2,2,"[5, 2]"
40,0.4050000011920929,2.0965752601623535,2,0.01,2,2,"[4, 7]"
41,0.36970001459121704,2.4643774032592773,2,0.01,2,2,"[4, 7]"
42,0.41290000081062317,2.028304100036621,2,0.01,2,2,"[3, 2]"
43,0.326200008392334,2.863234043121338,2,0.01,2,2,"[3, 2]"
44,0.3677999973297119,2.659856081008911,2,0.01,2,2,"[5, 7]"
45,0.2913999855518341,3.0787484645843506,2,0.01,2,2,"[5, 7]"
46,0.5164999961853027,1.5558044910430908,2,0.01,2,2,"[4, 3]"
47,0.3806999921798706,2.531437397003174,2,0.01,2,2,"[4, 3]"
48,0.4180000126361847,2.0995562076568604,2,0.01,2,2,"[2, 7]"
49,0.3483999967575073,2.583963394165039,2,0.01,2,2,"[2, 7]"
50,0.34860000014305115,2.8529818058013916,2,0.01,2,2,"[5, 6]"
51,0.3001999855041504,3.226508855819702,2,0.01,2,2,"[5, 6]"
52,0.5450999736785889,1.471419095993042,2,0.01,2,2,"[4, 3]"
53,0.4131999909877777,2.3540685176849365,2,0.01,2,2,"[4, 3]"
54,0.4471000134944916,1.9432921409606934,2,0.01,2,2,"[2, 7]"
55,0.3763999938964844,2.399528741836548,2,0.01,2,2,"[2, 7]"
56,0.37790000438690186,2.7426629066467285,2,0.01,2,2,"[5, 6]"
57,0.3314000070095062,3.0834543704986572,2,0.01,2,2,"[5, 6]"
58,0.5733000040054321,1.3671531677246094,2,0.01,2,2,"[4, 3]"
59,0.4480000138282776,2.145921468734741,2,0.01,2,2,"[4, 3]"
60,0.36340001225471497,2.220001697540283,2,0.01,2,2,"[2, 9]"
61,0.31220000982284546,2.6911680698394775,2,0.01,2,2,"[2, 9]"
62,0.4964999854564667,1.6783450841903687,2,0.01,2,2,"[7, 5]"
63,0.4074999988079071,2.1977968215942383,2,0.01,2,2,"[7, 5]"
64,0.6046000123023987,1.2562810182571411,2,0.01,2,2,"[4, 3]"
65,0.4778999984264374,1.9427474737167358,2,0.01,2,2,"[4, 3]"
66,0.400299996137619,2.0576977729797363,2,0.01,2,2,"[2, 9]"
67,0.34299999475479126,2.4959051609039307,2,0.01,2,2,"[2, 9]"
68,0.5167999863624573,1.598854422569275,2,0.01,2,2,"[7, 5]"
69,0.4309999942779541,2.089920997619629,2,0.01,2,2,"[7, 5]"
70,0.6287999749183655,1.1731677055358887,2,0.01,2,2,"[4, 3]"
