Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "mnist", "model": "mnist_nn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra_standard", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42, "fedgra_mode": "all_participate", "min_participate_round": 5, "fedgra_eps": 0.9}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra_standard", "optimizer": "SGD", "lr": 0.01, "momentum": 0.0, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

round,accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0,0.1973,3.2172471557617186,0.04177112877720201,0.18750646078007596,0.06773513495273058,0.141192945773862,10000
1,0.1915,966648663.5126562,0.16398679508461783,0.19455017154048426,0.09540188747611669,0.18223069424285368,10000
2,0.2019,4.382330401611328,0.14003818054051415,0.19227532448422152,0.06897786035750647,0.14449015258552547,10000
3,0.2534,4.8759805171966555,0.14645245737148288,0.25000837149057026,0.14418758908146462,0.23182982560307228,10000
4,0.3699,2.4931214435577393,0.2480386285868695,0.36343688297467114,0.21026388834384518,0.326868686717519,10000
5,0.1879,4.10474896659851,0.03776827939779439,0.18612840867833066,0.0627218108947499,0.13017835487334553,10000
6,0.2109,3.8600144702911376,0.14255033840182732,0.1994126924923731,0.07013429004030572,0.15785088710489056,10000
7,0.1897,4.9050689453125,0.038270110541009504,0.1879116662905141,0.06347900376959834,0.1331469003928817,10000
8,0.2847,3.2645475143432616,0.21999752812518575,0.2744329644393483,0.14202307781463355,0.24021416503407564,10000
9,0.3833,1.9706035957336425,0.2948843742483408,0.370284067260931,0.2553416211267422,0.3623226643339488,10000
10,0.2156,3.918292115783691,0.14682321110080299,0.2167736665352594,0.10598844184192655,0.1847328643568988,10000
11,0.259,3.7633086952209474,0.1691288558924338,0.2457063412445713,0.16359917627577653,0.262340429652699,10000
12,0.2981,4.349763742828369,0.13736051308741914,0.2895168393851166,0.16682740461045795,0.2789729214128305,10000
13,0.2795,24856.895261253358,0.2561561781063474,0.26663833360158595,0.18244950277561928,0.2757093346908865,10000
14,0.3368,1.9487447048187256,0.19442299458819207,0.3267768757317352,0.19870142986393666,0.304563509243303,10000
15,0.1972,3.875953324508667,0.23981299232670508,0.20032721267621062,0.0784997755165993,0.1488819578838414,10000
16,0.2811,3.4548673976898194,0.2215551963911942,0.2757496173413981,0.17364601653823436,0.26097044441161205,10000
17,0.2237,4.2345788852691655,0.14282997747981727,0.22734062595045668,0.11958443948284694,0.1880505224518563,10000
18,0.3728,2.7533219009399414,0.25402319923455347,0.36287719774744426,0.23959365253435888,0.3431247784324877,10000
19,0.4414,2475.411935209656,0.3864304582174919,0.43417379883652707,0.32177180397533456,0.419786772010005,10000
20,0.2844,4349.372235098266,0.22820055557045898,0.2740529209324253,0.17130006937513642,0.2622456490664767,10000
21,0.1591,1304613726.430066,0.23134008152455765,0.1630002845762919,0.0877151387055481,0.09638977721481841,10000
22,0.3087,3.3608736221313475,0.21929505130690868,0.2977227345778552,0.20938389461548085,0.2897710456229269,10000
23,0.374,2.992416233062744,0.3104793639167888,0.36834788891236575,0.30244491753001906,0.35674037644751566,10000
24,0.4189,1.6229907444000244,0.3711122508040163,0.4097847665146359,0.3039012390781831,0.38544179588785565,10000
25,0.2489,3.548417635345459,0.2411618854013628,0.24884889009723649,0.15143924421289162,0.21326848870096599,10000
26,0.1815,4.107416478729248,0.2786658012416637,0.1793823811791134,0.10450466152928346,0.1842980587162187,10000
27,0.2299,3.963697847366333,0.33693549293247255,0.2317478587571155,0.14206355035130191,0.18972780111599982,10000
28,0.2433,2.713852395629883,0.283143039095345,0.2280646517022462,0.16470081808450548,0.2601963908866285,10000
29,0.4227,1.5905926788330078,0.42823400180826415,0.42078661731022854,0.3717463526822254,0.4300832611548986,10000
30,0.2902,19193.090138952637,0.36708417588525494,0.27744641857352037,0.21175073547493137,0.3014665393886253,10000
31,0.3212,3600.21428555603,0.3371033340275543,0.3151270407656913,0.2187707614564649,0.3031946990032984,10000
32,0.3684,3.005313146209717,0.3037723792356041,0.35783680489962444,0.2674510071109436,0.34501834871501286,10000
33,0.4651,2.421042866897583,0.35348312431979034,0.45665687271156985,0.3642523416454161,0.43231227374081255,10000
34,0.512,4319.562226457977,0.49492450164135715,0.5045426840030952,0.40450052946341747,0.4849255853252524,10000
35,0.312,160248367.9119655,0.33831686454792875,0.3055102040104033,0.20513719717530982,0.30095076971629575,10000
36,0.2773,3.5527416469573976,0.23929053589900628,0.27712913927575505,0.17626579725560138,0.2482067724760723,10000
37,0.3012,3.4265987213134768,0.3598566147585792,0.2986707980625611,0.23963749270789184,0.31392767289218726,10000
38,0.2324,3.782083270263672,0.2330781231422565,0.23490776054237594,0.13307308986450178,0.21072666447063892,10000
39,0.5058,1.3333298519134522,0.5484679766549204,0.4976966736813825,0.4106894923198426,0.48222390999195297,10000
40,0.2888,3.010443839263916,0.32921620767239645,0.28775514165089294,0.1900253379478026,0.26147796100659704,10000
41,0.3206,3.1901905601501466,0.3450529498444347,0.3189202148107337,0.2552260420489209,0.3211803686734312,10000
42,0.3864,2.634698327636719,0.2934673580759983,0.3791017723635776,0.2825064104549816,0.36564072713568674,10000
43,0.3073,3.1255361591339113,0.446962423879247,0.2932240810292062,0.21271007531707325,0.32597285480199767,10000
44,0.5454,1.3175291213989258,0.6057236870804391,0.5370501533356603,0.47064133442439005,0.5111946398888461,10000
45,0.3822,2.856563328933716,0.35174409283784835,0.3751953623158635,0.30619139753103486,0.3889500985221867,10000
46,0.267,3.0605121826171877,0.35422136018010447,0.2684134940361606,0.18336709836015405,0.24339330878984702,10000
47,0.5114,2.131628638458252,0.3944389513727852,0.5054578730833287,0.4203626456476538,0.4923206433479238,10000
48,0.4529,2.398801274108887,0.4050036125837629,0.4511794016112183,0.3733636922567628,0.43631693647519093,10000
49,0.5728,1.2636550617218019,0.531832255280843,0.564541939460345,0.4659734704986538,0.5429860433642374,10000
50,0.2857,3.165778512573242,0.3391615989662385,0.28321845527074785,0.19321981746622685,0.2571954230547554,10000
51,0.3904,2.477350046157837,0.39510798091886123,0.3804924329598431,0.27711754669279215,0.36879468665230036,10000
52,0.4487,278850648.96435934,0.3973541052264652,0.43779353635802565,0.3392857400721223,0.4240323886019525,10000
53,0.3838,2.5559892959594728,0.28190454475156673,0.3735064518097621,0.2486468417629446,0.35715041171533707,10000
54,0.507,1.36014017868042,0.4787216739952738,0.4998840917574493,0.38784711025468244,0.47464881455337815,10000
55,0.545,1.8229007465362548,0.377114933076743,0.5366351302548591,0.4251329440601925,0.5205339870343871,10000
56,0.4432,2.864031465148926,0.4172897936110179,0.43439346779716936,0.35685373721100433,0.43614639173126685,10000
57,0.512,1.7847102542877198,0.4142581400320454,0.5012747322806874,0.4266215901705957,0.49783132482450126,10000
58,0.2884,3.270345188140869,0.2607676835710353,0.27468985880012664,0.20447146344421402,0.29302108856028336,10000
59,0.5619,1.30348309135437,0.5919821180970344,0.5535915955931106,0.4866713912432239,0.5366746974747507,10000
60,0.457,1.901329127883911,0.4540516612403291,0.44875316503076235,0.40376224994534493,0.4665721056251155,10000
61,0.4044,2.652110856628418,0.31898304026064117,0.4001451995071708,0.31272482894500764,0.38799462091324144,10000
62,0.5341,1.9436623977661134,0.3997215031871616,0.5238821635457609,0.42652947036233985,0.5134343204575847,10000
63,0.4741,1.8819029441833497,0.3306565597676626,0.4672297498834775,0.36874072402102653,0.43890856474106776,10000
64,0.5217,1.394309606552124,0.48306075152045286,0.5180282238561598,0.43326013055127943,0.486960376732572,10000
65,0.5381,1.4414940395355225,0.5779736357050771,0.5377899480081073,0.5027014340232339,0.5207432212154778,10000
66,0.1988,3.5367268676757813,0.2536327382476495,0.19726407788425537,0.11414950317461274,0.20754128876765385,10000
67,0.4281,2.211543928527832,0.39864681054371587,0.41943446990504185,0.31566218267080964,0.404982106350861,10000
68,0.4702,1.6252487770080566,0.422716644490543,0.46346247405083163,0.359357289833022,0.4322096494958062,10000
69,0.5217,1.9230750080108643,0.4006003654068411,0.5114598288207048,0.41353153380683627,0.5032425444063017,10000
70,0.6003,1.4587376094818114,0.5166974496595025,0.5991849139844044,0.5379224114343943,0.5703842707233518,10000
71,0.4881,1.7339717575073241,0.6305814466338361,0.4786735086878834,0.44497801270130977,0.4726402378776658,10000
72,0.241,3.266593893432617,0.3838699956740137,0.2250515393225391,0.1687076508787976,0.2591518184852393,10000
73,0.4885,1.6807934642791749,0.4435251359013318,0.48007894087570896,0.4046089515813306,0.4548316097276345,10000
