family,dataset,method,method_variant,rank_assignment,alpha,runs,completed_runs,mean_peak_accuracy,min_peak_accuracy,max_peak_accuracy,mean_final_accuracy
mnist_family,kmnist,flora,unspecified,medium,0.1,3,3,0.107266666667,0.1064,0.1086,0.107266666667
mnist_family,kmnist,flora,unspecified,medium,0.4,4,4,0.10445,0.1018,0.1067,0.10445
mnist_family,kmnist,flora,unspecified,medium,0.8,3,3,0.108033333333,0.1074,0.109,0.108033333333
mnist_family,kmnist,flora,unspecified,mismatch,0.1,3,3,0.1095,0.1072,0.1116,0.1095
mnist_family,kmnist,flora,unspecified,mismatch,0.4,4,4,0.10355,0.1009,0.1049,0.10355
mnist_family,kmnist,flora,unspecified,mismatch,0.8,3,3,0.1079,0.1059,0.1095,0.1079
mnist_family,kmnist,rbla,standard,correct,0.1,3,3,0.342566666667,0.3114,0.3686,0.340033333333
mnist_family,kmnist,rbla,standard,correct,0.4,3,3,0.415933333333,0.3634,0.4577,0.415933333333
mnist_family,kmnist,rbla,standard,correct,0.8,3,3,0.451266666667,0.3994,0.4847,0.451266666667
mnist_family,kmnist,rbla,standard,medium,0.1,3,3,0.335,0.3186,0.3514,0.330966666667
mnist_family,kmnist,rbla,standard,medium,0.4,3,3,0.3904,0.3606,0.4154,0.3904
mnist_family,kmnist,rbla,standard,medium,0.8,3,3,0.447466666667,0.4218,0.4859,0.447466666667
mnist_family,kmnist,rbla,standard,mismatch,0.1,3,3,0.276333333333,0.2372,0.3163,0.263633333333
mnist_family,kmnist,rbla,standard,mismatch,0.4,3,3,0.3744,0.3625,0.3913,0.374233333333
mnist_family,kmnist,rbla,standard,mismatch,0.8,3,3,0.422633333333,0.3928,0.4804,0.421966666667
mnist_family,kmnist,rbla_plus,standard,correct,0.1,3,3,0.374,0.3344,0.4424,0.3733
mnist_family,kmnist,rbla_plus,standard,correct,0.4,3,3,0.4385,0.4185,0.4703,0.4385
mnist_family,kmnist,rbla_plus,standard,correct,0.8,3,3,0.413466666667,0.4078,0.4179,0.413466666667
mnist_family,kmnist,rbla_plus,standard,medium,0.1,3,3,0.3853,0.3478,0.4188,0.3853
mnist_family,kmnist,rbla_plus,standard,medium,0.4,3,3,0.4037,0.3794,0.421,0.403033333333
mnist_family,kmnist,rbla_plus,standard,medium,0.8,3,3,0.425033333333,0.4199,0.4314,0.425033333333
mnist_family,kmnist,rbla_plus,standard,mismatch,0.1,3,3,0.272266666667,0.2604,0.2848,0.269866666667
mnist_family,kmnist,rbla_plus,standard,mismatch,0.4,3,3,0.399366666667,0.3799,0.412,0.399366666667
mnist_family,kmnist,rbla_plus,standard,mismatch,0.8,3,3,0.3678,0.3352,0.4143,0.3678
mnist_family,kmnist,sp,standard,correct,0.1,3,3,0.18,0.142,0.2514,0.1726
mnist_family,kmnist,sp,standard,correct,0.4,3,3,0.1601,0.1464,0.1683,0.132866666667
mnist_family,kmnist,sp,standard,correct,0.8,3,3,0.1449,0.1308,0.1651,0.143866666667
mnist_family,kmnist,sp,standard,medium,0.1,3,3,0.168,0.1257,0.1983,0.163633333333
mnist_family,kmnist,sp,standard,medium,0.4,3,3,0.1828,0.1424,0.2299,0.163533333333
mnist_family,kmnist,sp,standard,medium,0.8,3,3,0.154233333333,0.1342,0.1772,0.153666666667
mnist_family,kmnist,sp,standard,mismatch,0.1,3,3,0.162266666667,0.1549,0.174,0.1592
mnist_family,kmnist,sp,standard,mismatch,0.4,3,3,0.220033333333,0.1775,0.2693,0.177066666667
mnist_family,kmnist,sp,standard,mismatch,0.8,3,3,0.135133333333,0.1057,0.1858,0.132766666667
