Config,{"general": {"device": "cpu", "training_rounds": 30}, "aggregation": "sp", "rank_distribution": "[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]", "epoch": 10, "dataset": "kmnist", "batch_size": 64, "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "random", "round": 1, "number": 10, "random_seed": 42}}

accuracy,average_loss,precision,recall,f1_score,total_test_samples
0.1431,2.2919784496307374,0.10964946537246449,0.1431,0.10916081819469381,10000
0.1364,3.0003405891418455,0.13092942111957948,0.1364,0.048465273593978536,10000
0.1322,2.6442837184906005,0.028269751035128177,0.1322,0.04388149511037276,10000
0.1,6.437746656036377,0.010009008107296567,0.1,0.0181967063961423,10000
0.0999,3.0001261642456054,0.03931907523144714,0.0999,0.019099507869476208,10000
0.1194,3.5733335735321043,0.12904781913481336,0.11939999999999999,0.0387294108333433,10000
0.1017,2.7197269359588625,0.03573942250442604,0.10169999999999998,0.02202466744888572,10000
0.1017,3.5329604679107667,0.07802506265664161,0.10169999999999998,0.021540307794877495,10000
0.1001,3.4149725963592528,0.1100070049034324,0.1001,0.01839319599712577,10000
0.1079,4.377243608856201,0.08192940527622024,0.1079,0.03259970714516169,10000
0.1076,2.9341729614257814,0.06614711435405425,0.1076,0.03222030233848515,10000
0.1706,2.618306686782837,0.09133653670356856,0.1706,0.06880856790536062,10000
0.1059,2.7984682395935057,0.10402872002897894,0.10590000000000002,0.039439799008108054,10000
0.1483,4.534205195617676,0.029782999835450453,0.14830000000000002,0.049602924097952104,10000
0.1091,2.617733446121216,0.1671266929318247,0.1091,0.034197430873681295,10000
0.1757,2.529280690765381,0.06496677413341384,0.17570000000000002,0.08977286825076002,10000
0.1006,2.8327033226013185,0.16557760406227034,0.10059999999999998,0.01940331130251281,10000
0.1613,3.0884253971099853,0.08133099755275679,0.1613,0.09715210416058247,10000
0.1805,2.7987117389678957,0.265213745065078,0.1805,0.10702345237774813,10000
0.1452,2.840534209060669,0.08941683842403916,0.1452,0.07134890615310055,10000
0.1,4.198166621398926,0.01000100010001,0.1,0.018183471224656786,10000
0.1,3.7536122108459473,0.01,0.1,0.01818181818181818,10000
0.0982,2.705623664474487,0.0276734700231968,0.0982,0.021422266069961532,10000
0.106,2.818608810043335,0.06451382652047036,0.10600000000000001,0.035394486660088105,10000
0.1437,3.1095615268707277,0.08790952140648077,0.1437,0.05422799591099581,10000
0.1,3.322252731323242,0.01,0.1,0.01818181818181818,10000
0.1644,2.600876152420044,0.18655638819539883,0.16440000000000002,0.09875078643704861,10000
0.1558,2.6224161880493164,0.10919532490610144,0.1558,0.10151582810565171,10000
0.1207,2.9313249320983887,0.03347217954739426,0.1207,0.051933400025931956,10000
0.2295,3.031154913330078,0.2687965862810273,0.22950000000000004,0.16536815098763752,10000
0.1748,2.888602407455444,0.12675593959125497,0.17479999999999998,0.1026728155395499,10000
