round,selected_clients,weight_divergence,loss
0,client.3@group-1;client.5@group-1,0.235658,0.764342
1,client.4@group-1;client.6@group-1,0.423133,0.576867
2,client.6@group-1;client.7@group-1,0.391937,0.608063
3,client.4@group-1;client.8@group-1,0.467151,0.532849
4,client.2@group-1;client.5@group-1,0.426441,0.573559
5,client.3@group-1;client.7@group-1,0.371313,0.628687
6,client.4@group-1;client.7@group-1,0.496091,0.503909
7,client.2@group-1;client.5@group-1,0.402632,0.597368
8,client.3@group-1;client.7@group-1,0.357642,0.642358
9,client.1@group-1;client.9@group-1;client.10@group-1,0.440633,0.559367
10,client.3@group-1;client.7@group-1,0.424733,0.575267
11,client.4@group-1;client.7@group-1,0.467826,0.532174
12,client.5@group-1;client.6@group-1,0.360206,0.639794
13,client.7@group-1;client.8@group-1,0.454395,0.545605
14,client.3@group-1;client.7@group-1,0.389539,0.610461
15,client.4@group-1;client.7@group-1,0.462192,0.537808
16,client.3@group-1;client.5@group-1,0.414541,0.585459
17,client.2@group-1;client.4@group-1,0.393335,0.606665
18,client.3@group-1;client.7@group-1,0.485370,0.514630
19,client.1@group-1;client.9@group-1;client.10@group-1,0.456382,0.543618
20,client.3@group-1;client.4@group-1,0.479773,0.520227
21,client.2@group-1;client.5@group-1,0.591010,0.408990
22,client.3@group-1;client.6@group-1,0.427989,0.572011
23,client.4@group-1;client.8@group-1,0.380682,0.619318
24,client.2@group-1;client.5@group-1,0.450116,0.549884
25,client.3@group-1;client.7@group-1,0.448071,0.551929
26,client.2@group-1;client.4@group-1,0.394161,0.605839
27,client.3@group-1;client.5@group-1,0.457615,0.542385
28,client.2@group-1;client.5@group-1,0.434862,0.565138
29,client.1@group-1;client.9@group-1;client.10@group-1,0.476186,0.523814
30,client.3@group-1;client.5@group-1,0.452647,0.547353
31,client.2@group-1;client.5@group-1,0.348644,0.651356
32,client.3@group-1;client.6@group-1,0.449558,0.550442
33,client.7@group-1;client.8@group-1,0.373570,0.626430
34,client.3@group-1;client.5@group-1,0.450205,0.549795
35,client.2@group-1;client.5@group-1,0.368621,0.631379
36,client.3@group-1;client.4@group-1,0.437661,0.562339
37,client.2@group-1;client.5@group-1,0.450114,0.549886
38,client.3@group-1;client.8@group-1,0.436455,0.563545
39,client.1@group-1;client.9@group-1;client.10@group-1,0.396353,0.603647
40,client.3@group-1;client.5@group-1,0.435644,0.564356
41,client.2@group-1;client.5@group-1,0.419437,0.580563
42,client.3@group-1;client.6@group-1,0.443148,0.556852
43,client.7@group-1;client.10@group-1,0.458569,0.541431
44,client.3@group-1;client.4@group-1,0.459687,0.540313
45,client.2@group-1;client.5@group-1,0.476511,0.523489
46,client.3@group-1;client.8@group-1,0.480529,0.519471
47,client.2@group-1;client.4@group-1,0.395101,0.604899
48,client.3@group-1;client.5@group-1,0.427981,0.572019
49,client.1@group-1;client.9@group-1,0.460078,0.539922
50,client.3@group-1;client.4@group-1,0.383972,0.616028
51,client.2@group-1;client.5@group-1,0.490315,0.509685
52,client.3@group-1;client.6@group-1,0.461696,0.538304
53,client.7@group-1;client.10@group-1,0.436841,0.563159
54,client.3@group-1;client.4@group-1,0.482985,0.517015
55,client.2@group-1;client.5@group-1,0.471453,0.528547
56,client.3@group-1;client.8@group-1,0.485840,0.514160
57,client.4@group-1;client.10@group-1,0.381457,0.618543
58,client.3@group-1;client.5@group-1,0.394080,0.605920
59,client.1@group-1;client.9@group-1,0.393709,0.606291
60,client.3@group-1;client.4@group-1,0.404767,0.595233
61,client.5@group-1;client.10@group-1,0.473754,0.526246
62,client.3@group-1;client.6@group-1,0.486797,0.513203
63,client.6@group-1;client.7@group-1,0.423041,0.576959
64,client.3@group-1;client.8@group-1,0.545441,0.454559
65,client.2@group-1;client.4@group-1,0.419847,0.580153
66,client.3@group-1;client.4@group-1,0.445342,0.554658
67,client.2@group-1;client.5@group-1,0.424562,0.575438
68,client.3@group-1;client.4@group-1,0.558686,0.441314
69,client.1@group-1;client.9@group-1,0.502633,0.497367
70,client.3@group-1;client.4@group-1,0.458555,0.541445
71,client.5@group-1;client.10@group-1,0.475497,0.524503
72,client.3@group-1;client.4@group-1,0.506890,0.493110
73,client.6@group-1;client.7@group-1,0.479255,0.520745
74,client.3@group-1;client.8@group-1,0.492881,0.507119
75,client.4@group-1;client.8@group-1,0.351378,0.648622
76,client.3@group-1;client.5@group-1,0.379386,0.620614
77,client.2@group-1;client.5@group-1,0.461533,0.538467
78,client.3@group-1;client.9@group-1,0.538866,0.461134
79,client.1@group-1;client.4@group-1,0.442542,0.557458
80,client.3@group-1;client.5@group-1,0.369278,0.630722
81,client.5@group-1;client.10@group-1,0.462863,0.537137
82,client.3@group-1;client.4@group-1,0.507210,0.492790
83,client.6@group-1;client.7@group-1,0.465955,0.534045
84,client.3@group-1;client.8@group-1,0.513999,0.486001
85,client.4@group-1;client.10@group-1,0.410780,0.589220
86,client.3@group-1;client.5@group-1,0.431380,0.568620
87,client.2@group-1;client.4@group-1,0.433245,0.566755
88,client.3@group-1;client.9@group-1,0.456135,0.543865
89,client.1@group-1;client.4@group-1,0.439583,0.560417
90,client.3@group-1;client.5@group-1,0.328002,0.671998
91,client.2@group-1;client.5@group-1,0.433826,0.566174
92,client.3@group-1;client.4@group-1,0.554998,0.445002
93,client.6@group-1;client.7@group-1,0.486323,0.513677
94,client.3@group-1;client.8@group-1,0.583988,0.416012
95,client.4@group-1;client.10@group-1,0.383010,0.616990
96,client.3@group-1;client.5@group-1,0.433699,0.566301
97,client.4@group-1;client.5@group-1,0.456757,0.543243
98,client.3@group-1;client.9@group-1,0.371823,0.628177
99,client.1@group-1;client.4@group-1,0.464965,0.535035
100,client.3@group-1;client.5@group-1,0.464608,0.535392
