Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cifar10", "model": "cifar10_cnn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42, "fedgra_mode": "all_participate", "min_participate_round": 5}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra", "optimizer": "Adam", "lr": 0.0001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0,0.1,3.661488665008545,0.010002000400080016,0.1,0.01818512456810329,0.0,10000
1,0.2041,2.819026377105713,0.15401484296679196,0.2041,0.13025758195697784,0.15372715706190512,10000
2,0.1793,3.270188913345337,0.2144823328629078,0.17930000000000001,0.11119759783206273,0.125229282418485,10000
3,0.2621,2.6634615430831907,0.15917393831049495,0.2621,0.17171272787290437,0.21106149921796175,10000
4,0.3491,1.8366098875045775,0.3806125516100736,0.3491,0.2920652613675112,0.2916681744208133,10000
5,0.3081,2.3986160036087036,0.418540836144905,0.3081,0.2489418325277099,0.2589543457951111,10000
6,0.3839,2.0303181270599366,0.37979107060929024,0.3839,0.3068085949109366,0.33168056707861815,10000
7,0.4587,1.9719994331359862,0.41170654182549704,0.4587,0.41063571129799553,0.4102620020796289,10000
8,0.3485,1.9148871587753296,0.519888058403933,0.3485,0.24613800996711124,0.30057137986773563,10000
9,0.4686,1.6103250131607056,0.4756339537525423,0.4686,0.4215827274977606,0.42281139112126864,10000
10,0.4543,1.7021783338546752,0.5680150765574851,0.45430000000000004,0.4117159229550652,0.4065842831752193,10000
11,0.4181,2.0089790901184084,0.4725506051122668,0.4181,0.3685349586534301,0.38035205723407006,10000
12,0.376,2.2760821643829345,0.5759370866444202,0.376,0.32841482454149434,0.33245419215586924,10000
13,0.5321,1.6133395595550537,0.516966828540638,0.5321,0.5049562383285536,0.4889050346153434,10000
14,0.5105,1.430297272491455,0.5913102124072105,0.5105000000000001,0.47085215991121,0.46590267103470256,10000
15,0.4716,2.003126831436157,0.5086708474751473,0.4716,0.42390783531522436,0.42711916413671175,10000
16,0.4829,1.7904185968399047,0.5459370277883769,0.4829,0.42113847277936084,0.44455633580482995,10000
17,0.4354,2.009049171447754,0.5221439938402417,0.4354,0.3836698172931993,0.4021389328390116,10000
18,0.5257,1.559784899520874,0.6421868089406079,0.5257,0.47822480720884497,0.48512948094705816,10000
19,0.5565,1.2926877607345582,0.6516783253172684,0.5565,0.5267679770384905,0.5161681445465706,10000
20,0.5199,1.812381569290161,0.5351466305922209,0.5199,0.4787845613577021,0.47830228768923344,10000
21,0.5117,1.9141588190078735,0.5331110890851797,0.5116999999999999,0.4478176227964191,0.4710866151339817,10000
22,0.4651,2.0421073040008544,0.5706389135514248,0.46510000000000007,0.42164610828408555,0.43938458062141544,10000
23,0.5202,1.5811335317611694,0.6070638682842133,0.5202000000000001,0.4799893623498249,0.4765124231661845,10000
24,0.5682,1.5265559825897217,0.5504310163752366,0.5682,0.5364866480399889,0.5297479939369558,10000
25,0.5939,1.5507718700408935,0.6580050640199602,0.5939,0.557521134560593,0.5559506389802715,10000
26,0.4636,1.8304757427215577,0.6535880989763251,0.4636,0.41261233925931357,0.42051469151035875,10000
27,0.5461,1.6657642059326172,0.6459760990488571,0.5461,0.5002729324681473,0.5117181949556344,10000
28,0.5402,1.7137807062149049,0.6530543161313854,0.5402,0.49978154989940576,0.5007720824212164,10000
29,0.573,1.4257547721862793,0.6514320156672032,0.5730000000000001,0.550314827156351,0.5370861377558257,10000
30,0.4654,1.9824384960174561,0.6222442710108858,0.4654,0.4269029883555017,0.42574477108106984,10000
31,0.5462,1.5492045261383056,0.6440671475442483,0.5462,0.5225451575043047,0.5073300716055945,10000
32,0.5392,1.6021956829071045,0.6589578435568593,0.5391999999999999,0.5038211114587305,0.5003851207156844,10000
33,0.5723,1.777256251525879,0.6567214766635058,0.5723,0.5205249170936991,0.5343662549339026,10000
34,0.5985,1.3632489200592042,0.6409375380111342,0.5984999999999999,0.5722678329063705,0.5590817784712743,10000
35,0.5522,1.9240127407073975,0.6376588871718256,0.5522,0.5163346565013198,0.5129984974022148,10000
36,0.573,1.4976580047607422,0.6363564961681053,0.5730000000000001,0.5487410913607743,0.5366101644790273,10000
37,0.5381,1.7403370590209961,0.6629767211962797,0.5381,0.5113595132542199,0.5074297271690122,10000
