Config,{"general": {"device": "cpu", "training_rounds": 100}, "aggregation": "rbla", "rank_distribution": "[0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06]", "epoch": 3, "dataset": "mnist", "batch_size": 64, "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "random", "round": 1, "number": 10, "random_seed": 42}}

accuracy,average_loss,precision,recall,f1_score,total_test_samples
0.152,2.2603045177459715,0.27213379165559604,0.15438022503802595,0.12977071118541264,10000
0.1576,2.2715131637573243,0.19427537610610496,0.14412948191110384,0.06877067269182671,10000
0.0974,2.623334348678589,0.00974,0.1,0.017751047931474397,10000
0.1135,5.015682909393311,0.011351135113511351,0.1,0.02038800071851985,10000
0.1632,3.5158491287231444,0.07872084942544301,0.16403712401457526,0.0875679655992596,10000
0.1888,2.4909753692626952,0.09356881936534905,0.18696853093387877,0.09299978096234061,10000
0.2332,2.3143613513946533,0.13989163421237122,0.23304563134252984,0.13666385780173915,10000
0.1343,2.7982253833770754,0.03333596134712544,0.12062871527912036,0.041742187232601986,10000
0.1442,3.975733654022217,0.16794920840116992,0.14168569387225222,0.08199118475319704,10000
0.1853,3.079069468307495,0.2735876946318109,0.18476958926337247,0.13553744869919224,10000
0.3069,2.4051848068237303,0.230275812246106,0.30512122194575,0.22979625496922168,10000
0.2041,2.498596683883667,0.1732682193402651,0.1994710737963456,0.12801781383453442,10000
0.2361,3.293965104675293,0.20693173800687706,0.23517870862247087,0.1581064427825622,10000
0.3134,3.158038857650757,0.23416357765210946,0.31347409133188103,0.21192201774917446,10000
0.3735,2.4652933685302734,0.22890227382413314,0.36939488591942155,0.2662627348239243,10000
0.2055,2.404480835342407,0.190272041865801,0.20417724657533648,0.11463117494409918,10000
0.3589,2.9802775009155273,0.20611979138964265,0.3470651580923122,0.23127349784128254,10000
0.3055,2.854153532409668,0.14351553957516955,0.30864246814597457,0.1821816597439389,10000
0.3618,2.559084856414795,0.24411734985346406,0.3527449485181971,0.23680223664205968,10000
