Config,{"general": {"device": "cuda:0", "training_rounds": 200}, "aggregation": "fedavg", "epoch": 3, "dataset": "fmnist", "batch_size": 64, "model": "mnist_nn_brenden", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "fedgra", "round": 1, "number": 2, "random_seed": 42}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": ""}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.1837,2.2847063709259032,0.03673565209405114,0.1837,0.06122718437799274,0.1247734016787508,10000
0.1713,2.287261086654663,0.038139201786465425,0.1713,0.06075423761275611,0.11602479082542294,10000
0.1001,2.354904452133179,0.06000200040008001,0.1001,0.018384725366506486,0.005270989892294113,10000
0.1,2.3605174015045165,0.01,0.1,0.01818181818181818,0.0,10000
0.1016,2.35356775932312,0.06164399962464284,0.1016,0.021336985397256123,0.02145245922565374,10000
0.1494,2.304640249633789,0.03767589014870315,0.1494,0.05552879637815059,0.09280817852525274,10000
0.1777,2.299917205810547,0.11840079690118488,0.17770000000000002,0.08811993517375685,0.16357731105974738,10000
0.193,2.266916428756714,0.03946686564227029,0.193,0.06530702200522158,0.14035456783837835,10000
0.1932,2.2662255783081053,0.03890035361638339,0.19319999999999998,0.06470656282760098,0.13935674919310123,10000
0.1739,2.2855913497924805,0.09636546004335995,0.1739,0.08918836882726999,0.10682877603278908,10000
0.1839,2.2894577766418456,0.09333801295984857,0.1839,0.09221534052126848,0.1203593638585792,10000
0.1065,2.3200431732177735,0.1080008064127445,0.1065,0.03070780720119371,0.022149431898607647,10000
0.1316,2.3099347324371338,0.03376943283064021,0.1316,0.05305596233989644,0.04897369295773339,10000
0.1483,2.2878689533233643,0.04985257146314863,0.14830000000000002,0.064397942919068,0.08783037700533707,10000
0.1959,2.2642982067108153,0.04024493560583835,0.19590000000000002,0.06650163414784485,0.14504560798864768,10000
0.1916,2.2668123809814453,0.038315841280748095,0.1916,0.06386076260375832,0.13655020372201712,10000
0.1799,2.277972265625,0.040890303577367094,0.1799,0.06492699454922983,0.12987095933104562,10000
0.1854,2.2709435256958006,0.03748197256140197,0.1854,0.062172561130758905,0.1286589847503629,10000
0.1647,2.2781062965393066,0.041513479350830565,0.1647,0.0627403721117466,0.11186749112993914,10000
0.2064,2.2443889892578124,0.1342703674006493,0.2064,0.08535496887945049,0.16266111021243498,10000
0.261,2.194741700363159,0.1762185390888392,0.261,0.13888714068628766,0.21358166991348715,10000
0.1976,2.2606781295776366,0.1375690244591822,0.1976,0.07694248139997575,0.14924261850329984,10000
0.1534,2.2711244651794433,0.04069167408939057,0.1534,0.06389493349864413,0.07001715115370573,10000
0.2302,2.2378185604095457,0.08919957334757275,0.23020000000000002,0.1208277908930954,0.18709652243168828,10000
0.1794,2.239788216781616,0.13579461558606587,0.1794,0.06017034771259348,0.11896414123743843,10000
0.1893,2.2617527355194094,0.13942531458168028,0.1893,0.06528157772098477,0.13578107780374934,10000
0.2584,2.1980869049072265,0.13945583545030021,0.2584,0.14873091940374766,0.23149503315890108,10000
0.2225,2.2256284744262693,0.15042547059320377,0.2225,0.14315514803414459,0.1617982179779341,10000
0.3666,2.1024328132629395,0.23881688725595152,0.3666,0.2613274117619323,0.32122124585773587,10000
0.3405,2.1062552616119383,0.2800427070070338,0.3405,0.22270258463254758,0.30452200874184554,10000
0.364,2.1127993797302245,0.30291838285801936,0.364,0.2723692801335054,0.338037642010517,10000
0.2273,2.2249971466064453,0.24283887113454933,0.2273,0.1168897821784767,0.19179549609329483,10000
0.2339,2.205810943603516,0.1641968129354357,0.2339,0.12730341358535716,0.19540251511123816,10000
0.1971,2.2580521423339843,0.12068099426782282,0.1971,0.0701638076309072,0.14585759208381355,10000
0.3188,2.136853903961182,0.2574290812783274,0.3188,0.21635458364477117,0.28545725124141136,10000
0.2329,2.2192290649414064,0.24709105938994277,0.23289999999999997,0.12749914855909777,0.2070394527025021,10000
0.2952,2.153763483047485,0.2607454700908304,0.2952,0.2098603815924786,0.2679201918549437,10000
0.2654,2.184680100631714,0.2592966068589253,0.26539999999999997,0.19549353091134583,0.21518592473205392,10000
0.2958,2.1500178218841555,0.3567678489190214,0.2958,0.21640005976025428,0.25653788594475657,10000
0.2869,2.159730613708496,0.25767911954481165,0.2869,0.20708724296310818,0.2461586695206236,10000
0.3036,2.1374785526275635,0.2964457071681295,0.3036,0.2058994363024486,0.26350495477605995,10000
0.3278,2.132539408493042,0.33314739967441587,0.32780000000000004,0.23523922205919906,0.29645180931928417,10000
0.2851,2.1752293811798094,0.3270015920575142,0.2851,0.23049927896500147,0.2784771005061234,10000
0.2773,2.152226371002197,0.2366766731266968,0.2773,0.18861837548571742,0.23207053027152386,10000
0.3072,2.136830941772461,0.31669252097765754,0.30720000000000003,0.22096928846446015,0.25485104623867616,10000
0.4038,2.058601858139038,0.38227179523674554,0.40380000000000005,0.32446703143698613,0.3774824313140366,10000
0.2434,2.212231477355957,0.24019961485428815,0.24339999999999998,0.1465388085858287,0.21290624001442593,10000
0.3338,2.125506986236572,0.2971328356511432,0.3338,0.2501257523325092,0.29311191943547565,10000
0.1838,2.2499753704071046,0.3334039968997646,0.18380000000000002,0.12121658045911424,0.11822481182282125,10000
0.3804,2.068895962524414,0.3671861913014777,0.38039999999999996,0.30058389108310274,0.33876612941983764,10000
0.314,2.129101290512085,0.3347135544117753,0.314,0.20481636179222534,0.27439938223731175,10000
0.3974,2.0571655364990233,0.39539091322244696,0.39740000000000003,0.3069365158336356,0.36643187804029015,10000
0.3251,2.129950044631958,0.4259693749007617,0.3251,0.2716696471295369,0.29774013145097616,10000
0.4377,2.030636463546753,0.3457460471468292,0.4377000000000001,0.3384025477729295,0.40114832740561424,10000
0.4398,2.0196891860961914,0.33963131042590733,0.43979999999999997,0.3337545495624926,0.40350119021873804,10000
0.2876,2.161089241027832,0.3105690655812185,0.28759999999999997,0.21534963593152892,0.23647493052332125,10000
0.3893,2.070444259643555,0.32369084666159004,0.38930000000000003,0.3032825847006997,0.3467888632412662,10000
0.3507,2.1001019214630126,0.33914607739783037,0.3507,0.2581950078353135,0.3121096565377433,10000
0.3462,2.122794189071655,0.393532827974123,0.34619999999999995,0.2804771635488823,0.30229888843185587,10000
0.3749,2.088204535675049,0.47424495722205917,0.3749,0.3096944830010312,0.34779053260090814,10000
0.3936,2.0502784896850588,0.30292047783229736,0.3936,0.28587172392714716,0.35438530189991674,10000
0.2884,2.163627649307251,0.43704569179820163,0.2884,0.21933748400945735,0.2713605723535011,10000
0.3287,2.1196596767425535,0.35283095605175074,0.3287,0.2695964599084836,0.29279715962938196,10000
0.2843,2.1712180416107176,0.33510523456353386,0.2843,0.20120602210695893,0.24140589848672056,10000
0.3007,2.154689575576782,0.35589055684727794,0.3007,0.2184424543319734,0.259093419298255,10000
0.3742,2.088504542541504,0.3178251024477669,0.3742,0.27832380136486357,0.33074163309286914,10000
0.3108,2.1391560024261476,0.36852062893027,0.31079999999999997,0.21672179887075602,0.2728207401187899,10000
0.3561,2.098785059738159,0.499147787182051,0.35609999999999997,0.27054392831699164,0.33115168017748403,10000
0.3551,2.0933851848602294,0.3987624547692121,0.3551,0.2670050437088193,0.32215543552682324,10000
0.1927,2.242746336364746,0.33016056150614265,0.1927,0.14398133008374114,0.17061999017129037,10000
0.3975,2.0661301193237303,0.3495874985400037,0.3975,0.3245819169807166,0.3536400538885375,10000
0.3698,2.0877587177276613,0.3834399189498142,0.36979999999999996,0.28795036723067396,0.3393038093819607,10000
0.4571,1.9918265968322755,0.4361401978602446,0.45709999999999995,0.3597986790441119,0.42332726245453534,10000
0.3997,2.0625171310424806,0.38585761259897705,0.3997,0.346459835760134,0.38199158886625306,10000
0.4002,2.048302708816528,0.4095580337893159,0.4002,0.33708015565300026,0.358421124076782,10000
0.3915,2.0728669246673586,0.45836582305031304,0.39150000000000007,0.3505512351155695,0.36320469169850633,10000
0.4171,2.0365649909973143,0.4743695989375496,0.4171,0.3511509157305611,0.38078726455613005,10000
0.4299,2.0363695734024048,0.5286104048579409,0.42989999999999995,0.3556638247073626,0.3981481709024768,10000
0.4798,1.9981237689971925,0.5169191353416938,0.4798,0.41295639316811555,0.4603988989427705,10000
0.3624,2.0948228370666504,0.6632122520111626,0.3624,0.3478333512640725,0.3227723420907893,10000
0.3997,2.061912247085571,0.4339996146126442,0.3997,0.3441957985196792,0.35928232708905417,10000
0.3466,2.1041438621520996,0.44001259242540164,0.3466,0.2436747434229405,0.30938025398754365,10000
0.3525,2.0974519817352295,0.4326247374499489,0.3525,0.28354514584030643,0.31565273328377325,10000
0.3701,2.076583931350708,0.4642175168006749,0.3701,0.3134115785817898,0.33801025124969963,10000
0.3801,2.068768050003052,0.45569885886091754,0.3801,0.29453913176440255,0.349636867447036,10000
0.3804,2.075218003845215,0.4771892408048317,0.38039999999999996,0.2872358576733276,0.34446942790084845,10000
0.4336,2.0254518936157226,0.5241635879434652,0.43360000000000004,0.3715554251674347,0.41615453251381856,10000
0.4266,2.0347928844451904,0.5368635838282632,0.4266,0.3916382856464532,0.4035459837668843,10000
0.4219,2.046748726272583,0.5976606268012224,0.42190000000000005,0.3780115067722992,0.38525477316633444,10000
0.3227,2.140181029510498,0.3912782131665841,0.3227,0.2426309707143289,0.28498598643626494,10000
0.3898,2.0429823833465575,0.6336768731458403,0.38980000000000004,0.30487113273884264,0.34800260200750144,10000
0.2255,2.224971252822876,0.32745638102524544,0.22549999999999998,0.171497666393368,0.16682398186388428,10000
0.4127,2.0345555568695066,0.5244611662182411,0.41269999999999996,0.32969995635885047,0.38388656889886463,10000
0.3857,2.0646004322052,0.3772702927013536,0.38570000000000004,0.31080383695168434,0.34107030718082976,10000
0.4408,2.0293166940689087,0.4021197305774947,0.44079999999999997,0.3712182310980034,0.4090157205058522,10000
0.4218,2.03682257232666,0.43653077681864316,0.4218,0.3329294002106714,0.40648085910207077,10000
0.4188,2.0317931911468508,0.4894821768061474,0.41880000000000006,0.32254534310890703,0.3829450315701891,10000
0.4349,2.017919464302063,0.6156636079312509,0.43489999999999995,0.36620629054224263,0.3933459724829705,10000
0.4571,2.012599019241333,0.4875387309075395,0.45709999999999995,0.3964237430464125,0.44456895263942836,10000
0.5186,1.954108744430542,0.46942089177693963,0.5186,0.43392843068245457,0.49127892269870344,10000
0.3642,2.0989620361328125,0.5069174706214348,0.3642,0.32308616972289966,0.3390629050237734,10000
0.4534,1.9953581741333009,0.47755458921758825,0.45339999999999997,0.349769120118089,0.42572828638992366,10000
0.3912,2.061884878921509,0.5146314050428861,0.3912,0.35239492019599206,0.3615024374230704,10000
0.4904,1.9589041240692138,0.7545868381909447,0.4904,0.41137593529611827,0.46425809096020365,10000
0.4037,2.0529934604644775,0.521558358212718,0.4037,0.37130578035701073,0.36287168839219075,10000
0.4872,1.9729874786376953,0.6279846696383236,0.4872000000000001,0.44766838578779655,0.4522434852378694,10000
0.3853,2.0710592147827147,0.5456706122144521,0.38530000000000003,0.3153969854114439,0.36274619444219974,10000
0.4215,2.030399324798584,0.6193343998275488,0.4215,0.3795403706982731,0.41196231961390145,10000
0.4878,1.96493237991333,0.5673824757239279,0.4878,0.40711389418576216,0.45504315565433745,10000
0.3677,2.082368399810791,0.5757276911423257,0.3677,0.303936971833277,0.33309145521951156,10000
0.4744,1.988997805404663,0.4443340343674638,0.4744,0.41553714219776916,0.44497342010560265,10000
0.5281,1.9268002948760987,0.6788954383314592,0.5281,0.4768519821426532,0.5029158419349994,10000
0.3636,2.07539285697937,0.6132900499895548,0.3636,0.31217626271768584,0.3320902810771181,10000
0.5355,1.93363972530365,0.6210488936602002,0.5355000000000001,0.4942047369915943,0.5157424521751897,10000
0.4992,1.9660079162597657,0.6430221611215852,0.4992,0.45509419605073687,0.46709463398788215,10000
0.5957,1.871668474006653,0.6956040369639455,0.5957,0.5546191962986757,0.5714769016020057,10000
0.4171,2.0198883209228518,0.7124296705268153,0.4170999999999999,0.3630688270239431,0.38557165296757273,10000
0.453,1.996101826095581,0.680121279446505,0.453,0.437568908975253,0.4153745528717808,10000
0.4909,1.9643682571411132,0.5988838384666313,0.4909,0.42212684135744727,0.45915889761908857,10000
0.4152,2.0433401050567626,0.5406360660830598,0.4152,0.33061727452526374,0.390953824715973,10000
0.3748,2.0842036598205564,0.49501177840843447,0.3748,0.2973819188952079,0.33504633465243455,10000
0.5116,1.9492900062561036,0.5453255615805529,0.5115999999999999,0.42107893568212074,0.47873185694204395,10000
0.4226,2.0333029724121094,0.5857804209303408,0.4226,0.39865586720904994,0.39604557624684456,10000
0.483,1.972970023727417,0.6464314055815612,0.483,0.4304528903871508,0.4491298383138309,10000
0.3837,2.0690792667388918,0.5722096032762806,0.38370000000000004,0.3224787670053505,0.35539747907814484,10000
0.3893,2.0570946281433105,0.6274560494801537,0.38930000000000003,0.3458006800472674,0.35705686931184727,10000
0.3967,2.0559700479507446,0.6091542575274478,0.3967,0.37956936162154065,0.39117440261499914,10000
0.4606,2.007764888381958,0.5496893784173267,0.4606,0.42990922948291266,0.42649832658255227,10000
0.4484,2.007434772109985,0.5635830179265727,0.4484,0.3692223086532508,0.42156531632310346,10000
0.4769,1.983776619720459,0.6051711421744681,0.4769,0.4147803411100046,0.4488518857857884,10000
0.3235,2.134554220581055,0.6698982546962478,0.3235,0.30683553118131923,0.3033320689985844,10000
0.4351,2.022615744018555,0.5209936079916463,0.4351,0.36164236685079343,0.40153402778434444,10000
0.4918,1.9660359306335449,0.7067004935820055,0.4918000000000001,0.503787418830101,0.46951781307730434,10000
0.5675,1.9042844299316406,0.6544788139068344,0.5675,0.5542963299299948,0.5369616117747057,10000
0.4104,2.048976891708374,0.6521084273379365,0.41039999999999993,0.41178806838341825,0.3823319145326545,10000
0.5506,1.9157510236740112,0.6492833842978993,0.5506,0.4854074858949729,0.5277240918624913,10000
0.4382,2.0151472419738767,0.6625999238427209,0.4382,0.3955571705328607,0.40899091014277383,10000
0.5136,1.9432802141189576,0.6806151668969511,0.5136000000000001,0.47145163748696495,0.48560630712090724,10000
0.4823,1.9762223066329956,0.5900851623987666,0.48230000000000006,0.42558591861406303,0.4496879468109578,10000
0.4882,1.9662046949386596,0.6768172700495712,0.4882000000000001,0.4565216375887483,0.4540835650203367,10000
0.4263,2.021878416824341,0.6605008338223795,0.4263,0.3943158571033246,0.38965226998068064,10000
0.3181,2.1322214347839354,0.5911481827756692,0.3181,0.25709753488135134,0.28234945581495,10000
0.3835,2.0714400714874266,0.6242745105838392,0.3835,0.33007254325277313,0.35168662121375766,10000
0.4273,2.02681058921814,0.5662946731259157,0.42729999999999996,0.33488200099424775,0.3957656771361497,10000
0.5764,1.8895730304718017,0.675257272359952,0.5764,0.5269106893356839,0.5512544811675769,10000
0.3832,2.072395523071289,0.7194666935120658,0.38320000000000004,0.37286827927480404,0.35507265638764135,10000
0.441,2.011756879043579,0.6755850822736649,0.44099999999999995,0.41541306140514633,0.41582138168544824,10000
0.4315,2.022592377662659,0.6037661768777135,0.43149999999999994,0.37483699670675835,0.408591100555472,10000
0.4808,1.9795819437026978,0.726700767165119,0.4808,0.4554036239880018,0.47458894827504056,10000
0.5459,1.9078317623138428,0.7359211701769077,0.5459,0.5150840787993509,0.5356260074087209,10000
0.5473,1.9077366340637207,0.7279037920780767,0.5473000000000001,0.5023808908433877,0.516903522926141,10000
0.6127,1.8505740461349487,0.7212680383708755,0.6127,0.5926326128363788,0.5858147321915684,10000
0.5583,1.9067557796478272,0.6475566108054583,0.5583,0.5403250022655929,0.5309409386210149,10000
0.5272,1.9376260465621948,0.5454512376157072,0.5271999999999999,0.4669902404995458,0.49505809062826406,10000
0.5461,1.916365405845642,0.6384173235341912,0.5461,0.48756832035693815,0.5179624709302089,10000
0.4666,1.989310150718689,0.6206886937113664,0.4666,0.4457539739202252,0.433401005067877,10000
0.5775,1.8856752477645875,0.6702039531457076,0.5775,0.5623233241117428,0.5456620707131974,10000
0.428,2.0274614612579347,0.6205418006065598,0.42799999999999994,0.3783598281717831,0.4071463060736167,10000
0.5215,1.9423552865982057,0.6168307353481235,0.5215,0.4832707188160822,0.49282211557155386,10000
0.3922,2.0600447414398193,0.6993720355087283,0.3922,0.3404006989643422,0.36893366115629656,10000
0.476,1.9778032165527344,0.6757240633721893,0.4760000000000001,0.4043642550661676,0.4398607196448662,10000
0.3707,2.084337621307373,0.5775293011772378,0.3707,0.29657578594088074,0.339070271797736,10000
0.3677,2.0900261962890627,0.6295140984289102,0.3677,0.3038607803548867,0.34231949417948776,10000
0.451,1.9958109422683716,0.6639097875033617,0.45099999999999996,0.38881279515256834,0.42164274638053684,10000
0.5396,1.923570305633545,0.7588464232547227,0.5396,0.5261653432721247,0.5354250359293278,10000
0.6086,1.8542872509002686,0.7492480031816495,0.6085999999999999,0.5601718546390043,0.5870005970011118,10000
0.6518,1.8175242046356201,0.6831837373450667,0.6518,0.6160101589601789,0.6273960144067029,10000
0.4265,2.0329018062591553,0.7611176279670774,0.4265,0.40977144785096087,0.4136753191564745,10000
0.5177,1.9430630056381226,0.6502555133905827,0.5176999999999999,0.49457106088056857,0.49833535272552837,10000
0.4729,1.985744299697876,0.5841627979257532,0.4729,0.4398539893850799,0.45381001651385217,10000
0.6376,1.8286228338241577,0.7346645320987394,0.6376,0.6079042005437522,0.6142155323966967,10000
0.4882,1.966899607849121,0.7253667805212092,0.48819999999999997,0.4677778620685055,0.46447654707432606,10000
0.5215,1.9392852415084838,0.7208668399309337,0.5215,0.5076400331457949,0.5033898590084374,10000
0.6192,1.8462141124725342,0.6978569946354083,0.6192,0.5927381166512611,0.5938777682921523,10000
0.543,1.9183677724838257,0.6847983863288499,0.5429999999999999,0.5232773981624608,0.5283755850998785,10000
0.531,1.9345045057296752,0.7395665784138907,0.5309999999999999,0.5054046735138786,0.5088463206102886,10000
0.5357,1.9280083301544189,0.6993848163792287,0.5357000000000001,0.4988520054281914,0.5153635065821418,10000
0.5113,1.9446287492752075,0.7361782395893223,0.5113,0.4982569261455767,0.5016533726965624,10000
0.5491,1.9079962844848632,0.6843430948807572,0.5491,0.520649035331133,0.5223571221971202,10000
0.4276,2.0270935850143434,0.6820395853947054,0.4276,0.38553908823190125,0.4079991516424962,10000
0.5578,1.9036685041427612,0.7081510778112295,0.5578,0.511964841124154,0.5362191497360396,10000
0.493,1.9677377262115479,0.6508926214463406,0.49300000000000005,0.4356941091743331,0.46763129688256344,10000
0.6495,1.8170821125030518,0.7158305957451266,0.6495,0.6187236941162191,0.6201252770299885,10000
0.626,1.8343840560913085,0.6953156433370402,0.6260000000000001,0.5957313091430825,0.5991941015749616,10000
0.5594,1.9011885219573974,0.7765255026601867,0.5593999999999999,0.5691963964163406,0.5498161586822141,10000
0.6934,1.7739938482284545,0.7323637040453855,0.6934,0.6735311467228456,0.668348718482807,10000
0.4935,1.9618630025863648,0.767621917816768,0.49350000000000005,0.4957336939814672,0.482565814482639,10000
0.5681,1.8919609956741332,0.6709426677103736,0.5680999999999999,0.5476706288379333,0.546986024117893,10000
0.4764,1.982488120651245,0.717135643356662,0.47640000000000005,0.4668960460739758,0.4577109317639461,10000
0.6489,1.8187536632537842,0.7490541377131177,0.6488999999999999,0.6100010006490211,0.6298071717635102,10000
0.5413,1.9171333841323852,0.7800242476614857,0.5413,0.5225857309858941,0.5245516245226746,10000
0.6302,1.8381738948822022,0.7772696728835029,0.6302000000000001,0.5994091240339734,0.6118189591906449,10000
0.5873,1.87174931640625,0.721945500696991,0.5873,0.5386049111126646,0.5640739122040906,10000
0.544,1.9125494678497315,0.6981875955832024,0.5439999999999999,0.4927478061279068,0.5150477085929718,10000
0.5009,1.9587447732925416,0.742059992333283,0.5008999999999999,0.4762530669530299,0.4763173876688274,10000
0.3722,2.0830469261169435,0.7009484731409625,0.3722,0.32266671122991364,0.33949821205837893,10000
0.5742,1.8913801658630371,0.6862252746673252,0.5742,0.5464778169611002,0.5417682612920836,10000
0.5675,1.8901259466171265,0.7070113839711796,0.5675,0.5426397783783095,0.5428336505008662,10000
0.5219,1.9377276058197022,0.7535636796530144,0.5218999999999999,0.5189292439378685,0.4952083988870017,10000
0.6527,1.812001005935669,0.7575410482633755,0.6527000000000001,0.6219467755660593,0.6324324456089753,10000
0.4933,1.9636078788757325,0.7516264433985789,0.49330000000000007,0.5005055981370948,0.4625300992626372,10000
