Config,{"general": {"device": "cuda:0", "training_rounds": 200}, "aggregation": "fedavg", "epoch": 1, "dataset": "mnist", "batch_size": 64, "model": "mnist_nn_brenden", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "pyramidfl", "round": 1, "number": 2, "random_seed": 42}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": ""}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.2096,2.2379841918945313,0.048040996475014065,0.1980612244897959,0.075980148119413,0.16357825650723257,10000
0.2108,2.2359172492980957,0.047896758480419147,0.1993553897329857,0.07548135527586847,0.16892346973195793,10000
0.211,2.2356520732879637,0.042568032521076146,0.19950373100782165,0.06997780925787936,0.15796977434773565,10000
0.2112,2.236886898422241,0.04322608792189049,0.19970781264047469,0.0706905446844736,0.15974250009318178,10000
0.2112,2.237751816177368,0.04357409191038179,0.19970781264047469,0.07105749658277102,0.1605213753806471,10000
0.2112,2.238298079299927,0.043615735237166574,0.19970781264047469,0.07110143028170693,0.16061316987627966,10000
0.2112,2.2386578929901124,0.04359322920070584,0.19970781264047469,0.07107768636044157,0.1605635926926211,10000
0.2112,2.2389663673400877,0.04344407394758179,0.19970781264047469,0.07092034106005204,0.16023298617387086,10000
0.2112,2.23932287979126,0.04365476740929323,0.19970781264047469,0.07114260909532519,0.16069897225584498,10000
0.2113,2.2395695148468016,0.043727912721142924,0.19979591836734695,0.07123209643187342,0.16095849918332736,10000
0.2113,2.239725661087036,0.043610187941126456,0.19979591836734695,0.07110786062015817,0.1607001535416807,10000
0.2113,2.2399028343200684,0.04357523755669914,0.19979591836734695,0.07107097670454414,0.16062305837870502,10000
0.2113,2.240075333404541,0.04361980246942024,0.19979591836734695,0.07111800713212806,0.16072132879091205,10000
0.2113,2.2402102989196777,0.0436848079207166,0.19979591836734695,0.07118660889280727,0.16086413775895,10000
0.2113,2.2403156787872316,0.043812705849209606,0.19979591836734695,0.07132156709484028,0.1611433840905454,10000
0.2113,2.2404236892700196,0.04371790570133842,0.19979591836734695,0.07122153646729565,0.1609366157602339,10000
0.2113,2.2405331924438476,0.04359424245776037,0.19979591836734695,0.07109103291353634,0.16066500372949638,10000
0.2113,2.240561821746826,0.04347020057912408,0.19979591836734695,0.07096013873479079,0.16039017768694064,10000
0.2113,2.240768421936035,0.044022855443934826,0.19979591836734695,0.07154321094651506,0.16159774033839114,10000
0.2113,2.2407888515472414,0.044056167647019216,0.19979591836734695,0.07157832753149093,0.16166929759053192,10000
0.2113,2.2408393711090087,0.04388587848932676,0.19979591836734695,0.07139876089606953,0.16130218705918437,10000
0.2113,2.240862355804443,0.0436521073494136,0.19979591836734695,0.07115209945645322,0.1607923761532617,10000
0.2113,2.2410798889160155,0.04426709130206915,0.19979591836734695,0.07180052950134874,0.16211970516250088,10000
0.2113,2.241076664352417,0.04391066712210413,0.19979591836734695,0.07142490766882988,0.16135583544746396,10000
0.2113,2.2411805931091306,0.04416579896588996,0.19979591836734695,0.07169385459787445,0.16190396401956544,10000
0.2113,2.2412083515167236,0.04392492173801804,0.19979591836734695,0.07143994222255315,0.16138665252155052,10000
0.2113,2.241155369949341,0.04341050927396,0.19979591836734695,0.07089716420715567,0.1602569868270469,10000
0.2113,2.2414161548614504,0.04444507225114834,0.19979591836734695,0.07198779576980048,0.16249646525165018,10000
0.2113,2.2414665256500244,0.044294851776840796,0.19979591836734695,0.07182975327367318,0.16217865992027425,10000
0.2113,2.2414802616119385,0.044078562346824425,0.19979591836734695,0.07160193202320764,0.16171733583138292,10000
0.2113,2.2414504676818847,0.043655359575568785,0.19979591836734695,0.07115553161323654,0.16079952013760906,10000
0.2113,2.2416548038482667,0.0445840596277471,0.19979591836734695,0.0721338637443227,0.1627887758879786,10000
0.2113,2.241620987701416,0.04411621971359497,0.19979591836734695,0.0716416175319107,0.16179799396760913,10000
0.2113,2.241819506072998,0.045025407013259314,0.19979591836734695,0.07259655923832782,0.16370717312149338,10000
0.2113,2.241763876724243,0.04435100012750501,0.19979591836734695,0.07188884475133939,0.1622976836920617,10000
0.2113,2.241814999771118,0.044251321713398864,0.19979591836734695,0.07178392633487882,0.16208618299064717,10000
0.2113,2.2418836101531983,0.04436719675273318,0.19979591836734695,0.07190588612322991,0.16233196418612839,10000
0.2113,2.241842583465576,0.043964459267837167,0.19979591836734695,0.07148163871378271,0.16147200411479024,10000
0.2113,2.2418246356964113,0.04359424245776037,0.19979591836734695,0.07109103291353634,0.16066500372949638,10000
0.2113,2.2419427192687986,0.044015498225924224,0.19979591836734695,0.07153545447054852,0.16158192007044384,10000
0.2113,2.241960401916504,0.043871803054568954,0.19979591836734695,0.07138391329932137,0.16127169142935158,10000
0.2113,2.242108187866211,0.04431881271915167,0.19979591836734695,0.07185497292446356,0.16222948790457908,10000
0.2113,2.242166027069092,0.044432672379222035,0.19979591836734695,0.07197475666182288,0.16247030765733556,10000
0.2113,2.242181666946411,0.04422388818298382,0.19979591836734695,0.07175503872664393,0.16202780952559215,10000
0.2113,2.2422750061035157,0.04446998916231034,0.19979591836734695,0.0720139935487527,0.1625489877887339,10000
0.2113,2.2422192195892334,0.04357208380656843,0.19979591836734695,0.07106764852364686,0.1606160923209759,10000
0.2113,2.242360576248169,0.044120008391364804,0.19979591836734695,0.07164560981810977,0.16180610072553323,10000
0.2113,2.2424091678619384,0.044185056712109094,0.19979591836734695,0.0717141407159082,0.16194505827620037,10000
0.2113,2.242431703567505,0.04411621971359497,0.19979591836734695,0.0716416175319107,0.16179799396760913,10000
0.2113,2.242429067993164,0.04383343022153051,0.19979591836734695,0.07134343204094742,0.16118842924921423,10000
0.2113,2.242473580932617,0.04392135196086083,0.19979591836734695,0.071436177200661,0.16137893727394992,10000
