Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cifar10", "model": "cifar_lora_cnn", "loss_function": "CrossEntropyLoss", "aggregation": "close_optimal", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.1496,2.675568828201294,14.520607221739985,0.10069962221410637,0.1496,0.06458578255576145,0.07973917519094734,0.07973917519094734,10000
1,0.4742,1.5377794843673707,4.654243966688006,0.5334072149837847,0.4741999999999999,0.4158470506680758,0.42924077355000706,0.42924077355000706,10000
2,0.5659,1.29248394241333,3.6418214047341153,0.5612659425943094,0.5659,0.5306168559547165,0.5264409501849915,0.5264409501849915,10000
3,0.6095,1.2069232511520385,3.343182678927241,0.6832538754257647,0.6095,0.5756382377190219,0.5732900753484381,0.5732900753484381,10000
4,0.6238,1.2114550235748291,3.358367603319081,0.7004820566881939,0.6237999999999999,0.5897225437161512,0.5899574839324477,0.5899574839324477,10000
5,0.647,1.069178580379486,2.912985733332511,0.7104897206522588,0.647,0.6139976374738247,0.6150555495592049,0.6150555495592049,10000
6,0.6546,1.0720380917549133,2.9213273699918973,0.7307752157292103,0.6546000000000001,0.6245015826423943,0.6247441207294939,0.6247441207294939,10000
7,0.6675,1.0143936239242555,2.757690692623153,0.7330449235277968,0.6675,0.6364693916283077,0.6386223348916326,0.6386223348916326,10000
8,0.6841,0.9794061415672303,2.6628744018624215,0.7414869126863882,0.6841,0.6578758465654755,0.6559209873986265,0.6559209873986265,10000
9,0.6959,0.9619004259109497,2.6166645282876164,0.7478329259859182,0.6959,0.6684053436069969,0.6686903726948293,0.6686903726948293,10000
10,0.6883,0.9772597430229187,2.6571649417030367,0.7428121138264674,0.6883000000000001,0.6619318209961882,0.6603707942578106,0.6603707942578106,10000
11,0.6997,0.9165182119369507,2.500568764845868,0.7497492241732818,0.6997,0.67691315748238,0.6724720154520063,0.6724720154520063,10000
12,0.7023,0.9221814576148987,2.5147702754612995,0.7527837587991634,0.7022999999999999,0.6769479366529738,0.6758789703258775,0.6758789703258775,10000
13,0.7177,0.857214682483673,2.3565876990197747,0.7596024523605859,0.7177,0.6955043674410188,0.6921349449882027,0.6921349449882027,10000
14,0.7152,0.8813992530822754,2.414275526525021,0.7601674233453565,0.7152000000000001,0.6944686830941592,0.6894568293659454,0.6894568293659454,10000
15,0.7118,0.9134069336891174,2.492800889916859,0.7594861773965695,0.7118,0.6890013838460457,0.6860869214585806,0.6860869214585806,10000
16,0.7161,0.8831874676704407,2.4185966316215177,0.7642962919514174,0.7161,0.6970634987421979,0.6906681116790393,0.6906681116790393,10000
17,0.7128,0.8821072326660157,2.415985389509946,0.7584028119756154,0.7128,0.694513831969136,0.6863155973023516,0.6863155973023516,10000
18,0.7173,0.867813536643982,2.3816976617122547,0.7604764446427763,0.7173,0.7003557381739808,0.6915273312005193,0.6915273312005193,10000
