dataset,model,layer_or_aggregate,seed,round,R,r,normalized_rank,sp_plus_dense_difference,gap,analytic_optimal_error,experiment_type,checkpoint,d_out,d_in,spectrum,method,relative_error,numerical_checks_passed
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,7,8.7500000000000000e-01,1.3025522455744576e-15,1.8913895193538405e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5116409691580559e-02,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,7,8.7500000000000000e-01,1.3025522455744576e-15,1.8913895193538405e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.5116409691580556e-02,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,8,1.0000000000000000e+00,1.3031752822569765e-15,-7.9757763842207670e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,0.0000000000000000e+00,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,8,1.0000000000000000e+00,1.3031752822569765e-15,-7.9757763842207670e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),7.9757763842207670e-16,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,8,1.0000000000000000e+00,1.3031752822569765e-15,-7.9757763842207670e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,8.5096725103418551e-16,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,1,1.2500000000000000e-01,2.2929466138558095e-15,4.0874101694664455e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,9.7339461457317300e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,1,1.2500000000000000e-01,2.2929466138558095e-15,4.0874101694664455e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6465359762652845e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,1,1.2500000000000000e-01,2.2929466138558095e-15,4.0874101694664455e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6465359762652834e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,2,2.5000000000000000e-01,2.0229494247528767e-15,5.5247078548142892e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,8.7122661826031378e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,2,2.5000000000000000e-01,2.0229494247528767e-15,5.5247078548142892e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.1875583277888486e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,2,2.5000000000000000e-01,2.0229494247528767e-15,5.5247078548142892e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.1875583277888486e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,3,3.7500000000000000e-01,2.0023123102114533e-15,6.0175810825238196e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,7.8156277542237174e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,3,3.7500000000000000e-01,2.0023123102114533e-15,6.0175810825238196e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.7980466716998983e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,3,3.7500000000000000e-01,2.0023123102114533e-15,6.0175810825238196e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.7980466716998986e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,4,5.0000000000000000e-01,1.9775613821892526e-15,5.8739764724736754e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.8857712719480391e-01,True
synthetic,synthetic_low_rank_update,aggregate,43,-1,8,4,5.0000000000000000e-01,1.9775613821892526e-15,5.8739764724736754e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.0117947994743638e-01,True
