condition,alpha,rho,round,rank_ratio,client_index,weight,raw_residual,optimal_residual,spmi_abs,spmi_rel,layer_ranks,raw_loss,raw_accuracy,plus_loss,plus_accuracy
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,1.0,0,0.11116666666666666,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.282913024902344,0.1605,2.282913024902344,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.6,1,0.12138333333333333,2.1567731883411947e-05,6.877645505128729e-09,0.0579594343539256,0.9996811141040557,"{""_fc1.lora_A"": 96, ""_fc2.lora_A"": 96, ""_fc3.lora_A"": 10}",2.282905227661133,0.1605,2.2828931274414064,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.8,2,0.06723333333333334,1.3694121843768603e-05,8.447104491894624e-10,0.036809979249495035,0.9999383158366175,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.2829103546142577,0.1605,2.282905502319336,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.4,3,0.1356,4.103076353415251e-05,4.157239460958451e-08,0.11018628050905496,0.9989867993907795,"{""_fc1.lora_A"": 64, ""_fc2.lora_A"": 64, ""_fc3.lora_A"": 10}",2.282900100708008,0.1605,2.28286833190918,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.1,4,0.09725,9.817692649012726e-05,1.1842284886157002e-06,0.2607337283856385,0.9879378125700972,"{""_fc1.lora_A"": 16, ""_fc2.lora_A"": 16, ""_fc3.lora_A"": 10}",2.282888168334961,0.1605,2.282648178100586,0.162
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.2,5,0.056216666666666665,7.600301299190642e-05,2.951802883917478e-07,0.2035162016884604,0.9961162028086548,"{""_fc1.lora_A"": 32, ""_fc2.lora_A"": 32, ""_fc3.lora_A"": 10}",2.282893310546875,0.1605,2.2827943115234377,0.161
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.7,6,0.0609,1.7775327266964083e-05,2.5877621777030182e-09,0.04777630409494809,0.9998544183103446,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.282907958984375,0.1605,2.2829002380371093,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.9,7,0.0881,7.575658469229445e-06,1.743073656520506e-10,0.020364257006422474,0.9999769911267304,"{""_fc1.lora_A"": 144, ""_fc2.lora_A"": 144, ""_fc3.lora_A"": 10}",2.2829116058349608,0.1605,2.2829097747802733,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.5,8,0.15123333333333333,3.155640420325238e-05,1.703030433030703e-08,0.08478348078828048,0.9994603217711178,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.282903289794922,0.1605,2.282883255004883,0.1605
mnist_dirichlet_0_8_rho_zero,0.8,0.0,1,0.3,9,0.11091666666666666,5.8457818168856164e-05,1.050344415040465e-07,0.15686272447722022,0.9982032438980077,"{""_fc1.lora_A"": 48, ""_fc2.lora_A"": 48, ""_fc3.lora_A"": 10}",2.282897903442383,0.1605,2.2828436279296875,0.161
mnist_dirichlet_0_8_rho_zero,0.8,0.0,2,1.0,0,0.11116666666666666,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.2781500396728513,0.174,2.2781500396728513,0.174
