training_seed,rank_assignment_seed,gamma000_last5_accuracy,gamma050_last5_accuracy,last5_accuracy_delta,macro_f1_delta,mcc_delta,loss_delta,tail_energy_delta,tail_risk_delta
42,42,0.18474,0.72106,0.53632,0.6329678400791966,0.532342045662284,-5.00414482471466,-0.24694706698258717,-0.12548716720292466
42,43,0.19988,0.68204,0.48216,0.5668953004476248,0.4821998875091618,-5.363634019432068,-0.18960630098978676,-0.09566285825217902
42,44,0.18689999999999998,0.69698,0.5100800000000001,0.6120774230936975,0.5300558677056866,-5.058582754402161,-0.22566410402456918,-0.10963568010477903
43,42,0.18252000000000002,0.74202,0.5595,0.6483980814445582,0.5444966417391486,-5.4267709218215945,-0.2527340630690257,-0.13142635318795468
43,43,0.23066,0.6387,0.40804000000000007,0.49173597590640805,0.39576210730357875,-4.306327372188568,-0.21195438504219055,-0.10600280550038002
43,44,0.19154,0.73032,0.53878,0.6419830773612759,0.5554801522498971,-4.030261764755249,-0.22981414894262953,-0.11796135506504218
44,42,0.1828,0.69258,0.50978,0.5966696932938177,0.5028393415464018,-6.227469931468963,-0.2542956382036209,-0.12586025150582553
44,43,0.18948,0.57296,0.38348000000000004,0.4564827113302279,0.41075612278403095,-5.33537868927002,-0.20403026342391967,-0.09982079748463485
44,44,0.18762,0.68488,0.49726000000000004,0.5934599456984869,0.5138732109174449,-5.25943834148407,-0.23688374757766723,-0.11636173849433565
