communication_round,internal_round,method,seed,global_test_accuracy,global_test_loss,training_loss,aggregation_time_seconds,aggregation_core_time_seconds,canonicalization_time_seconds,activation_collection_time_seconds,heldout_activation_collection_time_seconds,activation_score_time_seconds,full_rank_probe_relative_error,maximum_core_reconstruction_error,extra_server_time_seconds,prefix_test_accuracy_r1,prefix_test_loss_r1,prefix_test_accuracy_r2,prefix_test_loss_r2,prefix_test_accuracy_r4,prefix_test_loss_r4,prefix_test_accuracy_r8,prefix_test_loss_r8,mean_functional_error_calibration_r1,weighted_functional_error_calibration_r1,mean_functional_error_heldout_r1,weighted_functional_error_heldout_r1,mean_weight_error_r1,weighted_weight_error_r1,mean_overlap_r1,mean_reorder_rate_r1,mean_functional_error_calibration_r2,weighted_functional_error_calibration_r2,mean_functional_error_heldout_r2,weighted_functional_error_heldout_r2,mean_weight_error_r2,weighted_weight_error_r2,mean_overlap_r2,mean_reorder_rate_r2,mean_functional_error_calibration_r4,weighted_functional_error_calibration_r4,mean_functional_error_heldout_r4,weighted_functional_error_heldout_r4,mean_weight_error_r4,weighted_weight_error_r4,mean_overlap_r4,mean_reorder_rate_r4,mean_functional_error_calibration_r8,weighted_functional_error_calibration_r8,mean_functional_error_heldout_r8,weighted_functional_error_heldout_r8,mean_weight_error_r8,weighted_weight_error_r8,mean_overlap_r8,mean_reorder_rate_r8,total_round_time_seconds
1,0,rbla_cc_svd,43,0.6488,1.3017050834655761,0.760523255442954,0.012742700055241585,0.006047699949704111,0.0055976000148803,0.024300799937918782,0.10002460004761815,0.0,7.732038581268888e-07,5.543444672184705e-07,0.0055976000148803,0.101,234.58952407226562,0.1232,83.65597482910157,0.335,7.184508390808105,0.6154,1.5344786743164063,0.5474562634763204,0.7733569806013649,0.5509743548531753,0.7827711645549359,0.49571332960438125,0.5359238269193657,1.0,0.0,0.3678917100472885,0.42273937106862264,0.3684609443150162,0.42589435993523095,0.22867066230242808,0.28511542909479626,1.0,0.0,0.028047567122197078,0.07081403412018938,0.02515990340799287,0.06284923110864993,0.035830112538150334,0.05665350942418031,1.0,0.0,0.00016628789340345505,0.00042376322261000076,0.0001531183950468244,0.00038583112419663106,0.0007267842721180275,0.0012613617811632518,1.0,0.0,16.388818499981426
2,1,rbla_cc_svd,43,0.8057,0.6618134055614472,2.3019984311399417,0.009670799947343767,0.005808899994008243,0.002903299988247454,0.016256799921393394,0.0768488000612706,0.0,9.039679285274468e-07,7.360554832303023e-07,0.002903299988247454,0.101,266.6658484863281,0.2068,78.3333248046875,0.7446,3.438406758117676,0.8089,0.8226531561851501,0.48282096315572826,0.6649595705714385,0.47639630767726376,0.6509339008435785,0.5993371088148001,0.6188395063908493,1.0,0.0,0.3545756028519085,0.48322978824303287,0.3467903199811084,0.46783102874935534,0.3558041346206855,0.40126452842796645,1.0,0.0,0.1481238563718459,0.22566798910448796,0.1425607112085235,0.20689072913730333,0.12606696567382114,0.18541419778873255,1.0,0.0,0.006414490225422894,0.011991685481094928,0.00589504688901667,0.010680231325180973,0.0097392762942752,0.01928653401786472,1.0,0.0,15.355352399987169
3,2,rbla_cc_svd,43,0.8303,0.5187027656555175,3.002626576792374,0.010108800022862852,0.006356199970468879,0.002813300001434982,0.01545599999371916,0.07293489994481206,0.0,5.285243498810201e-07,5.671088274539215e-07,0.002813300001434982,0.1012,257.57101520996093,0.275,64.40783696289063,0.6535,5.836063648223877,0.8305,0.6581835836410522,0.5762458295997214,0.6819040707578863,0.5697352203725189,0.6688974642111135,0.6462042191795098,0.6580099025516183,1.0,0.0,0.4438573391670286,0.5215646760385303,0.4350128496716546,0.5054396080016526,0.41668961785895225,0.45841068021303955,1.0,0.0,0.20854609071521935,0.2993091639232322,0.19929185035419364,0.2797078801162017,0.17629191609398864,0.2405527493037572,1.0,0.0,0.015143880425402226,0.026434777296323653,0.014081194307354912,0.024088655587963696,0.024865157496795433,0.04567459882824945,1.0,0.0,15.541407000040635
4,3,rbla_cc_svd,43,0.8498,0.4206526801586151,3.1551508484021795,0.009917299961671233,0.006098399986512959,0.0026262999745085835,0.015261600026860833,0.07247769995592535,0.0,6.312385249527215e-07,6.77651371461252e-07,0.0026262999745085835,0.1847,154.2960328125,0.286,56.37320370483398,0.657,6.496981652069092,0.8473,0.5741387858390808,0.6155738701456769,0.6952003896415798,0.6086812383155445,0.682696351214021,0.6794708548676748,0.6933957281776846,1.0,0.0,0.4618520290253145,0.5468743829135387,0.4548549529084522,0.5310144493719794,0.464088923125121,0.5068272466890107,1.0,0.0,0.25001821466030694,0.34404023744924,0.24719256814762938,0.3376586631704389,0.21925009943188303,0.2865996830936444,1.0,0.0,0.05190204788716707,0.08856697355154965,0.051042322614123586,0.08610864149949264,0.04236946068002994,0.07645702892209234,1.0,0.0,15.513708499958739
5,4,rbla_cc_svd,43,0.8667,0.36624030537605284,2.002271631552521,0.008869700017385185,0.005212099989876151,0.0026727999793365598,0.01612559997010976,0.07354499993380159,0.0,8.993021387726264e-07,8.016915558073379e-07,0.0026727999793365598,0.1874,71.6515649963379,0.2917,48.55300559082031,0.6588,5.889037879180909,0.8557,0.48539174304008487,0.6699294448483224,0.7183417514557523,0.6637584166938013,0.7089153814330145,0.7043670383722317,0.7224135743682998,1.0,0.0,0.4962637365350237,0.5782162695353933,0.4920743636823101,0.5647056441994993,0.5029375034563565,0.5458209062502826,1.0,0.0,0.2825066036344802,0.3741025142692421,0.2771503992237306,0.3650108067540662,0.2549509512152403,0.32252938928207675,1.0,0.0,0.06322880189597528,0.10877980367196238,0.062060957263992134,0.10559091565888341,0.05968389933384355,0.10737163865461415,1.0,0.0,15.13062800001353
6,5,rbla_cc_svd,43,0.8694,0.3577652339935303,0.7544885817955875,0.010217599919997156,0.006094599957577884,0.0029510000022128224,0.016559100011363626,0.08144800004083663,0.0,8.066298764243218e-07,8.063097425292653e-07,0.0029510000022128224,0.1012,29.23952871398926,0.2573,50.2435568359375,0.6506,5.164730813217163,0.8638,0.4889069674015045,0.7097914719540009,0.7440212539418694,0.7039404653892428,0.7341077104452125,0.722198390864218,0.7449863106451987,1.0,0.0,0.5364576480629225,0.6206069167539338,0.5309605101540873,0.6069266467565654,0.5325912156984486,0.5766324800035598,1.0,0.0,0.3288932988190357,0.4119520031447436,0.3209908648553372,0.4010501439862454,0.2814500760785735,0.35190122633097276,1.0,0.0,0.07915833246149669,0.13853186404316972,0.0782230797849799,0.1355240031530776,0.07530219154347444,0.13486833880742566,1.0,0.0,15.313428800087422
7,6,rbla_cc_svd,43,0.8904,0.2963635913848877,0.4238699786866739,0.01007479999680072,0.006030399934388697,0.002952600014396012,0.015293199918232858,0.0739568000426516,0.0,7.005936220873705e-07,7.555093475275498e-07,0.002952600014396012,0.1906,35.355509133911134,0.2212,60.37603695068359,0.6548,4.9849473594665525,0.8584,0.5366473040103913,0.7251459007020425,0.7634176937543034,0.7193732860338855,0.75445446414826,0.7360978098005972,0.7602115276725941,1.0,0.0,0.5639193339133018,0.643105106938547,0.5542350432575743,0.6280973870506386,0.5509391815840984,0.5948461459190084,1.0,0.0,0.3619802725446464,0.4293825233533395,0.3495560610968517,0.41727294024131006,0.2975561221175695,0.370458311741163,1.0,0.0,0.08941516783851745,0.15469475955997788,0.08858457748565222,0.15203042520064153,0.08720593119186526,0.15359543631068528,1.0,0.0,17.85532209998928
8,7,rbla_cc_svd,43,0.9064,0.2644373477458954,0.42685089139677784,0.010031700017862022,0.006159999989904463,0.002870500087738037,0.01827669993508607,0.0786669000517577,0.0,7.701399336026843e-07,8.359965022464166e-07,0.002870500087738037,0.1334,79.60388897705079,0.2027,66.77049923706055,0.6605,4.760297445297241,0.8672,0.5385866752147674,0.7387044977980494,0.7728578159039444,0.7344317662183335,0.7645664330283636,0.7477159964552603,0.7728370683923581,1.0,0.0,0.5719791612592764,0.6546080975591223,0.5610728356892247,0.6397071250551373,0.5658340822123448,0.6099302091435828,1.0,0.0,0.37129802575274007,0.4404776329702055,0.3574823111870571,0.4283440617386104,0.3129900146431922,0.3869838196413977,1.0,0.0,0.10008430097971958,0.17087548094693794,0.09913219076207785,0.16802612247209103,0.09699321852055677,0.16871869280081045,1.0,0.0,15.920141099952161
9,8,rbla_cc_svd,43,0.9189,0.2402846750497818,0.5718230054915796,0.008935899939388037,0.005262899911031127,0.002519400091841817,0.015609900001436472,0.07350189995486289,0.0,1.032415927089793e-06,9.662252296038787e-07,0.002519400091841817,0.1047,143.08088181152343,0.1816,74.15557123413086,0.5505,8.27637787399292,0.8525,0.6520117905139923,0.7568673479582498,0.7919266672279369,0.7522845420164943,0.7845127672607839,0.7589180382781021,0.7842358748582153,1.0,0.0,0.5956014764687354,0.6734994806546926,0.5837043329326291,0.6593813323925253,0.5795858257439034,0.6234880723048516,1.0,0.0,0.3899008100995987,0.4554091074384744,0.37538462926242017,0.44423839858384817,0.3255402903393055,0.40011994197555106,1.0,0.0,0.10802286230676987,0.18172443624095835,0.1073583238048265,0.17990674430174738,0.10449087928118989,0.1796770936431652,1.0,0.0,16.661160800023936
10,9,rbla_cc_svd,43,0.9182,0.23469592180252075,1.030514928815062,0.0092602000804618,0.00562290009111166,0.00262260006275028,0.01784569991286844,0.09767450008075684,0.0,8.438247825916088e-07,8.791380423645023e-07,0.00262260006275028,0.1038,251.46342690429688,0.1713,83.07520872192383,0.5102,9.261625796508788,0.8651,0.6026590754508973,0.7689719600196389,0.8025130850529647,0.7645183944081353,0.794751167045643,0.7665245091468762,0.7907881380038858,1.0,0.0,0.6075819843066842,0.6826925312194125,0.5952978474423029,0.668927809412291,0.5882492903925343,0.6311994646798766,1.0,0.0,0.39799425237362396,0.4620376554728274,0.38325566573547776,0.4507564956721532,0.33499207212217347,0.40762971431729217,1.0,0.0,0.11062629726267127,0.18441755788770728,0.10930903090505319,0.1813492742402219,0.10897890490391406,0.18443229791994611,1.0,0.0,15.577761300024576
