round,accuracy,loss,round_time,max_waiting_time,var_waiting_time,server_wait_time,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.1428000032901764,10.064537048339844,24.53356409072876,0.3761420249938965,0.0012263242903009085,3.2241880893707275,10,0.01,10,2
1,0.2199999988079071,9.403849601745605,9.201369524002075,0.37682318687438965,0.0015783781266583217,4.166276931762695,10,0.01,10,2
2,0.2468000054359436,7.7366719245910645,22.877654314041138,0.7787811756134033,0.03034796015886343,3.799001932144165,10,0.01,10,2
3,0.3068999946117401,7.370481014251709,9.498823404312134,0.7791905403137207,0.032069683903339405,4.4023919105529785,10,0.01,10,2
4,0.3176000118255615,7.533752918243408,22.95778799057007,0.7774479389190674,0.03793438568353395,3.8832125663757324,10,0.01,10,2
5,0.33160001039505005,7.632455348968506,9.267499446868896,0.7836883068084717,0.030263264481221196,4.510931015014648,10,0.01,10,2
6,0.2718999981880188,7.921562671661377,22.567627668380737,0.7968294620513916,0.037229050614976125,5.1440277099609375,10,0.01,10,2
7,0.24549999833106995,8.283783912658691,8.59824824333191,0.7891175746917725,0.03626310856504972,3.7003307342529297,10,0.01,10,2
8,0.24979999661445618,8.329657554626465,23.565697193145752,0.787907600402832,0.031028752262482723,5.558910846710205,10,0.01,10,2
9,0.25920000672340393,8.217050552368164,8.911974906921387,0.8039078712463379,0.028712221127941577,4.363508224487305,10,0.01,10,2
10,0.2919999957084656,7.761484146118164,23.444695234298706,0.7816784381866455,0.03612283210586895,4.2021167278289795,10,0.01,10,2
11,0.30570000410079956,7.614392280578613,8.720916032791138,0.7928974628448486,0.03974346062791255,3.9689676761627197,10,0.01,10,2
12,0.28619998693466187,7.85077428817749,23.540474891662598,0.7768533229827881,0.02896360219239625,5.760769367218018,10,0.01,10,2
13,0.28110000491142273,7.760030269622803,8.543989181518555,0.7983050346374512,0.027471292357875543,4.008539199829102,10,0.01,10,2
14,0.29829999804496765,7.041749000549316,23.893232583999634,0.7914543151855469,0.030511900385886293,5.458968162536621,10,0.01,10,2
15,0.3122999966144562,6.877466201782227,9.368319749832153,0.7880649566650391,0.03240435440202645,4.377824068069458,10,0.01,10,2
16,0.28870001435279846,6.8135294914245605,22.928649187088013,0.7886457443237305,0.0307809139730017,4.0252580642700195,10,0.01,10,2
17,0.2858000099658966,6.715968132019043,9.213922500610352,0.798295259475708,0.04232327385508426,4.718962669372559,10,0.01,10,2
18,0.32350000739097595,6.5388641357421875,22.937499046325684,0.8007829189300537,0.03020657227049469,5.462963104248047,10,0.01,10,2
19,0.35190001130104065,6.489593982696533,9.057677984237671,0.7799463272094727,0.030843586672338004,4.963897466659546,10,0.01,10,2
20,0.34869998693466187,6.36279821395874,22.65713930130005,0.7866499423980713,0.018255226383089393,5.04715633392334,10,0.01,10,2
21,0.34290000796318054,6.34743070602417,8.810100555419922,0.7885088920593262,0.02497192118877422,4.684976816177368,10,0.01,10,2
22,0.34450000524520874,6.416049957275391,23.34631586074829,0.7887728214263916,0.03386002896291359,5.338858366012573,10,0.01,10,2
23,0.34880000352859497,6.450351715087891,9.573770999908447,0.7898881435394287,0.030124005376051737,4.515842914581299,10,0.01,10,2
24,0.3476000130176544,6.461644172668457,22.618317365646362,0.7897834777832031,0.033688271132990055,3.687875747680664,10,0.01,10,2
25,0.3474999964237213,6.451939582824707,9.529943466186523,0.7917413711547852,0.03686834250245511,4.488297700881958,10,0.01,10,2
26,0.35659998655319214,6.3970255851745605,23.118088722229004,0.7993378639221191,0.035052137930861135,5.224528074264526,10,0.01,10,2
27,0.3490000069141388,6.34506368637085,8.931834936141968,0.7822844982147217,0.026113991083857396,4.6324896812438965,10,0.01,10,2
28,0.36880001425743103,6.325778961181641,22.641633987426758,0.7932596206665039,0.03331736394306972,4.5611653327941895,10,0.01,10,2
29,0.373199999332428,6.32214879989624,10.794098615646362,1.5185410976409912,0.1275746818992957,6.5626771450042725,10,0.01,10,2
30,0.36959999799728394,6.3007354736328125,23.888763189315796,0.7907018661499023,0.03314753717027372,6.027093172073364,10,0.01,10,2
31,0.3659999966621399,6.289534568786621,8.675740480422974,0.7776427268981934,0.024735805023087778,4.400173902511597,10,0.01,10,2
32,0.36640000343322754,6.263357639312744,22.4237539768219,0.7871954441070557,0.03430670611178868,3.827535390853882,10,0.01,10,2
33,0.3659000098705292,6.242921352386475,9.393228769302368,0.7927219867706299,0.030087063137214043,4.657380819320679,10,0.01,10,2
34,0.3472000062465668,6.182048320770264,23.56711196899414,0.7877442836761475,0.03726906053460425,4.701628923416138,10,0.01,10,2
35,0.3481000065803528,6.148126125335693,6.963787078857422,0.7879610061645508,0.03224506470853669,2.632211685180664,10,0.01,10,2
36,0.3601999878883362,6.2008490562438965,22.604243993759155,0.7839920520782471,0.028741309364914404,3.622624635696411,10,0.01,10,2
37,0.36489999294281006,6.235048770904541,9.42084813117981,0.794705867767334,0.029389858638248823,3.2590343952178955,10,0.01,10,2
38,0.34850001335144043,6.174861431121826,21.813791751861572,0.7896184921264648,0.03574322063404964,2.7861878871917725,10,0.01,10,2
39,0.34869998693466187,6.179806709289551,9.706183433532715,0.7875306606292725,0.03236925800223901,5.312390565872192,10,0.01,10,2
40,0.36329999566078186,6.316298484802246,23.10062289237976,0.7772142887115479,0.02746885679895513,4.7707695960998535,10,0.01,10,2
41,0.367900013923645,6.383783340454102,8.50593876838684,0.782893180847168,0.040881303788889906,4.221459627151489,10,0.01,10,2
42,0.36559998989105225,6.347524166107178,22.807313680648804,0.7906908988952637,0.03392669361429,2.9720208644866943,10,0.01,10,2
43,0.3573000133037567,6.327741622924805,9.711680173873901,0.7888350486755371,0.03117052015090906,4.615823030471802,10,0.01,10,2
44,0.33570000529289246,6.3505096435546875,23.645447731018066,0.7940120697021484,0.03676292008290431,5.2676496505737305,10,0.01,10,2
