round,accuracy,loss,round_time,max_waiting_time,var_waiting_time,server_wait_time,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.13459999859333038,7.408367156982422,25.725415229797363,0.09917640686035156,0.0016352090403188412,4.229488134384155,10,0.01,10,2
1,0.10140000283718109,5.341447830200195,8.968847751617432,0.10571956634521484,0.0019033005388996572,4.5394017696380615,10,0.01,10,2
2,0.21400000154972076,6.873249053955078,21.443401098251343,0.10850214958190918,0.0019091412549352073,2.639993906021118,10,0.01,10,2
3,0.2849000096321106,7.905378341674805,9.049464702606201,0.10844206809997559,0.0016340751982397705,4.607339859008789,10,0.01,10,2
4,0.3328000009059906,4.111196994781494,25.000404357910156,0.10179567337036133,0.0009947554524719255,4.705291032791138,30,0.01,30,2
5,0.3767000138759613,1.8919436931610107,10.773821830749512,0.10577559471130371,0.0005484280125655991,4.741235733032227,30,0.01,30,2
6,0.24169999361038208,3.2188401222229004,22.996636629104614,0.0941925048828125,0.0015031966596575329,4.562839984893799,10,0.01,10,2
7,0.20730000734329224,3.2257578372955322,9.149998188018799,0.10330677032470703,0.001682587440827774,4.767193794250488,10,0.01,10,2
8,0.3447999954223633,5.405177593231201,21.297039270401,0.10317397117614746,0.0018136527805523884,2.748378276824951,10,0.01,10,2
9,0.35530000925064087,7.277989864349365,8.817248821258545,0.09644126892089844,0.0014775257015821807,4.707573413848877,10,0.01,10,2
10,0.37290000915527344,1.8586255311965942,25.40635585784912,0.10448145866394043,0.0007665901389514654,5.050297498703003,30,0.01,30,2
11,0.45739999413490295,1.6549519300460815,11.236405611038208,0.08979558944702148,0.0006033262074232778,4.449612140655518,30,0.01,30,2
12,0.33160001039505005,2.502809524536133,22.92641830444336,0.10001444816589355,0.0017269145429372654,2.989563226699829,10,0.01,10,2
13,0.29760000109672546,3.1937434673309326,8.856872797012329,0.10244894027709961,0.0017317277303556013,3.874558687210083,10,0.01,10,2
14,0.36000001430511475,3.6088764667510986,24.07291293144226,0.10724878311157227,0.0016659343349198254,4.786663293838501,10,0.01,10,2
15,0.36719998717308044,4.756583213806152,7.237886428833008,0.10438299179077148,0.0015704743727661705,2.5697667598724365,10,0.01,10,2
16,0.39660000801086426,1.7045730352401733,26.800627946853638,0.09432840347290039,0.0008438590675607176,5.41348671913147,30,0.01,30,2
17,0.5031999945640564,1.6952998638153076,11.95890474319458,0.10465836524963379,0.000560291740588544,5.828480243682861,30,0.01,30,2
18,0.3887999951839447,1.8438810110092163,22.73551368713379,0.1027674674987793,0.0018279889462684193,3.6238224506378174,10,0.01,10,2
19,0.34439998865127563,3.1264395713806152,9.230717420578003,0.10851907730102539,0.001852459596421454,4.494324445724487,10,0.01,10,2
20,0.36390000581741333,2.25431752204895,22.268522262573242,0.10952329635620117,0.002018173736641984,2.668402671813965,10,0.01,10,2
21,0.37139999866485596,3.616281270980835,9.25249195098877,0.10620236396789551,0.0019828819097079987,4.343954801559448,10,0.01,10,2
22,0.41589999198913574,1.7003570795059204,25.63858652114868,0.10813021659851074,0.0011913669463122765,4.816266059875488,30,0.01,30,2
23,0.538100004196167,1.7256810665130615,11.032481670379639,0.09938788414001465,0.0009275400475823719,4.756006717681885,30,0.01,30,2
24,0.41190001368522644,1.7605347633361816,22.712101221084595,0.09750103950500488,0.0015658074087269824,3.5988357067108154,10,0.01,10,2
25,0.3783000111579895,2.7588307857513428,8.258384466171265,0.10126447677612305,0.0019407144791608745,3.2976980209350586,10,0.01,10,2
26,0.36719998717308044,1.9058318138122559,21.31674337387085,0.10942578315734863,0.0012523729352602686,3.1630208492279053,10,0.01,10,2
27,0.3734000027179718,2.654820203781128,9.387453556060791,0.10367035865783691,0.0016789512388237428,4.108810186386108,10,0.01,10,2
