round,accuracy,loss,round_time,max_waiting_time,var_waiting_time,server_wait_time,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.10000000149011612,11.909955024719238,26.268781185150146,0.1139523983001709,0.0012364615591286565,2.7925875186920166,10,0.1,10,2
1,0.10000000149011612,12.27785873413086,9.78511905670166,0.1204526424407959,0.0009460554208089889,4.409677028656006,10,0.1,10,2
2,0.10000000149011612,9.133600234985352,24.665177583694458,0.28791046142578125,0.0067486272376760335,3.779751777648926,10,0.1,10,2
3,0.11389999836683273,10.316888809204102,9.510783910751343,0.31858158111572266,0.007586341635572466,4.2110984325408936,10,0.1,10,2
4,0.10010000318288803,8.362773895263672,24.43353295326233,0.33966708183288574,0.00884745100679595,4.11443305015564,10,0.1,10,2
5,0.10000000149011612,10.00554084777832,9.593449115753174,0.34238171577453613,0.008828088581751672,4.685585975646973,10,0.1,10,2
6,0.1850000023841858,7.963329792022705,24.229068279266357,0.2631416320800781,0.005709202686998652,3.889457941055298,10,0.1,10,2
7,0.18809999525547028,7.789385795593262,9.557583570480347,0.2837643623352051,0.0059168850169589865,4.419616937637329,10,0.1,10,2
8,0.10000000149011612,8.840001106262207,25.13969373703003,0.28882813453674316,0.011130311906202337,5.018925428390503,10,0.1,10,2
9,0.10000000149011612,9.65729808807373,9.831981897354126,0.28305816650390625,0.01078304932788342,4.605758190155029,10,0.1,10,2
10,0.10000000149011612,7.293290615081787,24.894468307495117,0.22108745574951172,0.0039085158772769555,3.320125102996826,10,0.1,10,2
11,0.10000000149011612,7.527255535125732,9.825540781021118,0.2494816780090332,0.0042426005787456235,4.544296741485596,10,0.1,10,2
12,0.18799999356269836,5.305729389190674,23.71421194076538,0.3359389305114746,0.013636222805528179,3.8391997814178467,10,0.1,10,2
13,0.18950000405311584,7.6535115242004395,8.744219303131104,0.5183703899383545,0.024695999734001363,3.351696014404297,10,0.1,10,2
14,0.10199999809265137,6.56077241897583,24.46524667739868,0.5039169788360596,0.015664203967255617,4.4494383335113525,10,0.1,10,2
15,0.10029999911785126,7.552139759063721,8.952831506729126,0.31749939918518066,0.007843360440704713,3.1496455669403076,10,0.1,10,2
16,0.10679999738931656,5.23903751373291,25.11328673362732,0.11041259765625,0.0015383785519935598,4.478421926498413,10,0.1,10,2
17,0.13989999890327454,5.364964485168457,9.624598026275635,0.30511999130249023,0.010301457408514236,4.5197930335998535,10,0.1,10,2
18,0.12839999794960022,5.259570121765137,24.83918333053589,0.49782872200012207,0.014040704839474075,3.9083361625671387,10,0.1,10,2
19,0.13030000030994415,6.956607818603516,9.78795337677002,0.29725146293640137,0.006866467765369179,5.167529821395874,10,0.1,10,2
20,0.17949999868869781,5.426539897918701,25.103968858718872,0.17157626152038574,0.002515334351576257,4.805813312530518,10,0.1,10,2
21,0.19670000672340393,5.623294830322266,9.54308032989502,0.4592244625091553,0.011963955249751166,4.223176717758179,10,0.1,10,2
22,0.10029999911785126,4.503434658050537,24.22395086288452,0.28438639640808105,0.006501350211672729,3.153198719024658,10,0.1,10,2
23,0.16410000622272491,5.1212334632873535,9.69769024848938,0.2964498996734619,0.00715224885982991,4.282347202301025,10,0.1,10,2
24,0.17730000615119934,4.122646331787109,24.481236457824707,0.10358166694641113,0.0015529625175651062,4.563405513763428,10,0.1,10,2
25,0.15680000185966492,4.811886787414551,9.377712488174438,0.11461734771728516,0.0022921437961167614,3.985752820968628,10,0.1,10,2
26,0.18129999935626984,5.012601375579834,24.945413827896118,0.31039905548095703,0.006789612217085618,4.177615642547607,10,0.1,10,2
27,0.1881999969482422,5.674018383026123,9.957159519195557,0.3195822238922119,0.010930926709431788,4.245219707489014,10,0.1,10,2
28,0.10379999876022339,5.529724597930908,24.58822798728943,0.3143186569213867,0.009055546198310937,4.466129302978516,10,0.1,10,2
29,0.12809999287128448,6.2316389083862305,9.63456916809082,0.5455007553100586,0.020978223202937442,4.702758550643921,10,0.1,10,2
30,0.10249999910593033,6.449219703674316,24.70465922355652,0.29904842376708984,0.005767684497189407,4.438631772994995,10,0.1,10,2
31,0.10119999945163727,6.601311683654785,9.750950336456299,0.3450183868408203,0.012093390017356001,4.291715860366821,10,0.1,10,2
32,0.17659999430179596,4.811649799346924,24.01914691925049,0.33141231536865234,0.013337562137962777,3.6083810329437256,10,0.1,10,2
33,0.19670000672340393,5.054924011230469,9.673454284667969,0.8525710105895996,0.04780025337743439,4.12231707572937,10,0.1,10,2
34,0.11580000072717667,4.995116233825684,25.088675498962402,0.31048035621643066,0.007138288148951233,3.9592702388763428,10,0.1,10,2
35,0.10080000013113022,5.00719690322876,9.99163007736206,0.08423519134521484,0.0007296706587345625,4.245497941970825,10,0.1,10,2
