Wall time,Step,Value
1763782244.628651,2653,752.5333251953125
1763782245.1554394,3591,773.5499877929688
1763782246.3887436,5766,728.4857177734375
1763782246.5984905,6115,725.4053955078125
1763782247.3670533,7362,707.3043212890625
1763782248.658164,9562,721.5516967773438
1763782248.9232683,10032,733.25
1763782250.3552608,12317,713.9342041015625
1763782254.9911783,20694,727.5499877929688
1763782255.238903,21142,720.3699951171875
1763782255.8843436,22298,729.4199829101562
1763782257.0322888,24359,740.6300048828125
1763782257.153316,24567,730.8499755859375
1763782260.6139715,30783,752.3099975585938
1763782260.9842653,31457,754.6599731445312
1763782262.473705,34145,751.3900146484375
1763782262.8380198,34795,751.6799926757812
1763782263.3703985,35748,749.3099975585938
1763782263.742113,36393,737.1900024414062
1763782266.2892292,40942,732.3699951171875
1763782266.4023194,41124,731.3900146484375
1763782266.9144855,42021,730.4299926757812
1763782268.4643683,44780,718.47998046875
1763782269.2914104,46334,737.1099853515625
1763782270.966816,49407,746.489990234375
1763782274.956946,56522,755.4299926757812
1763782275.0561483,56707,758.5499877929688
1763782276.5016878,59291,763.739990234375
1763782276.7020025,59657,763.2100219726562
1763782277.903934,61855,771.1300048828125
1763782278.098104,62200,772.0599975585938
1763782278.198729,62390,768.0599975585938
1763782278.9343655,63678,742.47998046875
1763782280.305965,66102,730.0900268554688
1763782281.9495025,69054,753.7100219726562
1763782283.6518924,72126,750.3499755859375
1763782285.9122863,76204,765.0499877929688
1763782286.7094395,77639,776.4299926757812
1763782287.2155383,78558,770.97998046875
1763782287.7615366,79545,771.7000122070312
1763782287.8145173,79635,768.9199829101562
1763782290.3805947,84288,787.4500122070312
1763782290.5701008,84638,783.239990234375
1763782291.367475,86023,776.7899780273438
1763782291.8427496,86858,769.5399780273438
1763782291.908146,86974,768.7000122070312
1763782292.058143,87253,770.8200073242188
1763782292.299186,87693,768.280029296875
1763782292.4466538,87970,768.219970703125
1763782293.3641944,89611,769.0800170898438
1763782294.2851205,91304,771.4400024414062
1763782297.1046302,96282,726.030029296875
1763782297.7628143,97497,742.260009765625
1763782298.3092074,98476,736.9199829101562
1763782299.0393574,99818,720.239990234375
1763782306.5256739,101397,719.9600219726562
1763782309.2237253,101925,716.9400024414062
1763782317.6411955,103337,733.0800170898438
1763782321.6800265,103967,735.5999755859375
1763782322.8528965,104149,737.5800170898438
1763782324.2117581,104355,731.8200073242188
1763782331.0246267,105377,730.469970703125
1763782335.2356772,105969,725.97998046875
1763782336.522932,106151,726.8699951171875
1763782341.3287103,106879,714.0999755859375
1763782342.7977693,107103,716.0
1763782346.417315,107615,710.6599731445312
1763782349.7902415,108128,716.5800170898438
1763782354.9295142,108903,720.219970703125
1763782355.5591316,108995,718.280029296875
1763782375.9307077,112012,732.0599975585938
1763782380.0738378,112546,737.0800170898438
1763782413.3734343,117057,735.280029296875
1763782419.0442202,117844,728.7899780273438
1763782424.5239525,118553,728.0800170898438
1763782447.5891128,121666,710.2000122070312
1763782449.3917189,121848,710.5399780273438
1763782461.125996,122941,711.469970703125
1763782480.4891102,124689,707.6199951171875
1763782496.7312055,126256,715.2100219726562
1763782502.0693593,126744,715.1900024414062
1763782511.3944814,127939,723.97998046875
1763782521.196734,129365,738.2999877929688
1763782530.1173282,130632,733.2000122070312
1763782531.0759866,130768,733.1400146484375
1763782538.5384762,131663,744.5
1763782539.9914987,131800,746.5
1763782547.4515471,132500,743.52001953125
1763782573.1293273,134906,748.6099853515625
1763782576.4762447,135222,743.9099731445312
1763782589.6848,136495,750.72998046875
1763782638.9391046,142289,765.3499755859375
1763782649.3404145,143176,767.010009765625
1763782655.3761418,143722,770.010009765625
1763782657.748884,143948,773.6500244140625
1763782664.5956984,144600,774.8800048828125
1763782671.2033384,145214,764.6799926757812
1763782678.5711606,145914,755.4600219726562
1763782690.7030928,147045,739.9500122070312
1763782698.2204309,147761,738.030029296875
1763782706.3361385,148541,739.5999755859375
1763782719.7162871,149835,744.47998046875
1763782788.1567695,157056,801.1900024414062
1763782795.5911057,157775,814.1400146484375
1763782796.5511274,157867,811.760009765625
1763782797.9587474,158003,805.5700073242188
1763782830.5731091,161105,826.7999877929688
1763782847.2949104,163141,836.7100219726562
1763782867.7751527,165440,861.6799926757812
1763782932.118676,171449,894.3200073242188
1763782950.1345532,173188,895.9400024414062
1763782955.9873486,173809,901.77001953125
1763782961.1271284,174342,901.3200073242188
1763782987.426378,177157,872.9400024414062
1763782997.9352129,178150,874.7999877929688
1763783010.6247988,179337,865.280029296875
1763783023.410382,180546,874.8099975585938
1763783058.1394837,183593,894.0999755859375
1763783065.8132288,184302,911.7999877929688
1763783085.234401,186434,915.7100219726562
1763783093.1555758,187274,923.0399780273438
1763783097.4593794,187694,922.6400146484375
1763783098.7303054,187814,923.6199951171875
1763783198.7361808,197626,1013.1500244140625
1763783208.9875233,198473,1015.780029296875
1763783214.962456,199013,1033.469970703125
1763783217.5986147,199233,1036.0899658203125
1763783262.7865353,203526,1069.3699951171875
1763783281.617793,205492,1060.8399658203125
1763783300.9799747,207268,1052.739990234375
1763783308.6614876,207982,1055.7900390625
1763783354.340603,212495,1038.1199951171875
1763783356.8428743,212793,1043.1300048828125
1763783380.5591323,215012,1041.9000244140625
1763783400.2986841,216863,1037.06005859375
1763783412.817832,218024,1038.260009765625
1763783475.8666682,224058,1016.97998046875
1763783484.767557,225036,1030.25
1763783552.4123454,230980,1085.06005859375
1763783585.8709853,234518,1112.25
1763783587.4068246,234687,1111.300048828125
1763783617.5407329,237295,1104.050048828125
1763783626.9158182,238087,1113.9000244140625
1763783668.1700103,241814,1129.9000244140625
1763783669.6606421,241952,1119.6700439453125
1763783720.802976,247145,1155.7099609375
1763783749.3928905,249691,1177.0899658203125
1763783755.008446,250195,1176.6099853515625
1763783767.219824,251288,1179.510009765625
1763783772.6317492,251769,1177.43994140625
1763783816.570251,255674,1136.3299560546875
1763783847.4766464,258681,1135.68994140625
1763783873.580353,260999,1149.7099609375
1763783883.8028016,261874,1146.6500244140625
1763783887.2663212,262177,1148.27001953125
1763783892.1189697,262602,1146.25
1763783900.080987,263339,1161.3399658203125
1763783915.2575722,264689,1169.06005859375
1763783935.7602406,266549,1166.8499755859375
1763783966.6114016,269226,1140.739990234375
1763783973.3204157,269803,1145.5699462890625
1763783980.5951087,270473,1143.22998046875
1763783994.5856717,271715,1147.27001953125
1763784002.3842938,272517,1153.949951171875
1763784003.9698346,272701,1147.800048828125
1763784068.1795127,278043,1170.9200439453125
1763784090.8696277,280031,1183.8499755859375
1763784102.7938447,281282,1192.8900146484375
1763784119.7754104,282741,1199.219970703125
1763784121.9628658,282928,1199.5999755859375
1763784144.8420837,284774,1178.4599609375
1763784165.7400868,286417,1190.6500244140625
1763784217.4858193,290943,1186.31005859375
1763784227.1729882,291861,1188.5
1763784253.5000756,293923,1186.2900390625
1763784267.1649075,295055,1194.4200439453125
1763784294.5087905,297159,1217.1099853515625
1763784327.0356038,299735,1203.3499755859375
1763784334.1647131,300557,1207.1700439453125
1763784349.2968144,301807,1198.4300537109375
1763784354.4423575,302226,1190.5899658203125
1763784450.4126225,310159,1179.449951171875
1763784466.2819636,311466,1182.280029296875
1763784519.6071494,315687,1203.5
1763784550.5625398,318452,1221.5799560546875
1763784559.118764,319061,1223.1199951171875
1763784570.570553,319886,1230.25
1763784630.1418726,324489,1273.010009765625
1763784665.2925904,327314,1244.9100341796875
1763784671.2316425,327781,1248.6600341796875
1763784726.441802,332104,1276.8199462890625
1763784739.2797322,333040,1285.18994140625
1763784757.8612876,334635,1263.93994140625
1763784803.4084234,338355,1247.56005859375
1763784821.2182207,339764,1254.6800537109375
1763784880.352303,344727,1215.739990234375
1763784924.3834567,348088,1223.4200439453125
1763784932.429609,348727,1199.780029296875
1763784935.61056,348979,1204.469970703125
1763784948.0968893,349969,1198.43994140625
1763784960.3417141,351127,1202.97998046875
1763784968.6772366,351944,1195.969970703125
1763784987.324846,353436,1187.3299560546875
1763785028.7797208,356584,1191.31005859375
1763785137.0764537,365265,1236.31005859375
1763785150.899521,366338,1233.18994140625
1763785169.2113671,367811,1234.0799560546875
1763785200.245918,370235,1249.739990234375
1763785270.6678174,375911,1290.800048828125
1763785276.6478426,376430,1303.22998046875
1763785280.3716433,376718,1286.3299560546875
1763785299.866608,378111,1293.260009765625
1763785307.9594514,378674,1285.22998046875
1763785330.690246,380431,1273.56005859375
1763785341.8335807,381318,1266.489990234375
1763785404.1767693,386273,1302.0999755859375
1763785422.464348,387691,1315.0
1763785425.931395,387960,1310.4000244140625
1763785429.811408,388260,1305.260009765625
1763785437.6898587,388872,1301.4000244140625
1763785449.6283793,389997,1288.0699462890625
1763785452.105482,390177,1287.8499755859375
1763785478.5683541,392201,1268.8900146484375
1763785493.8576236,393382,1300.0799560546875
1763785505.006781,394197,1286.9200439453125
1763785557.1315496,398372,1292.18994140625
1763785599.7375886,401712,1310.7900390625
1763785616.4666533,403035,1299.969970703125
